Date,home_team,away_team,home_odds,away_odds
2025-06-23,Oklahoma City Thunder,Indiana Pacers,1.37,3.16
2025-06-20,Indiana Pacers,Oklahoma City Thunder,2.8,1.46
2025-06-17,Oklahoma City Thunder,Indiana Pacers,1.25,4.03
2025-06-14,Indiana Pacers,Oklahoma City Thunder,2.9,1.43
2025-06-12,Indiana Pacers,Oklahoma City Thunder,2.77,1.46
2025-06-09,Oklahoma City Thunder,Indiana Pacers,1.17,5.21
2025-06-06,Oklahoma City Thunder,Indiana Pacers,1.21,4.6
2025-06-01,Indiana Pacers,New York Knicks,1.56,2.47
2025-05-30,New York Knicks,Indiana Pacers,1.54,2.52
2025-05-29,Oklahoma City Thunder,Minnesota Timberwolves,1.26,3.97
2025-05-28,Indiana Pacers,New York Knicks,1.65,2.28
2025-05-27,Minnesota Timberwolves,Oklahoma City Thunder,2.28,1.66
2025-05-26,Indiana Pacers,New York Knicks,1.77,2.26
2025-05-25,Minnesota Timberwolves,Oklahoma City Thunder,2.24,1.68
2025-05-24,New York Knicks,Indiana Pacers,1.41,3.02
2025-05-23,Oklahoma City Thunder,Minnesota Timberwolves,1.3,3.64
2025-05-22,New York Knicks,Indiana Pacers,1.53,2.55
2025-05-21,Oklahoma City Thunder,Minnesota Timberwolves,1.35,3.3
2025-05-18,Oklahoma City Thunder,Denver Nuggets,1.3,3.59
2025-05-17,New York Knicks,Boston Celtics,1.68,2.23
2025-05-16,Denver Nuggets,Oklahoma City Thunder,2.63,1.51
2025-05-15,Minnesota Timberwolves,Golden State Warriors,1.23,4.35
2025-05-15,Boston Celtics,New York Knicks,1.5,2.62
2025-05-14,Oklahoma City Thunder,Denver Nuggets,1.23,4.32
2025-05-14,Cleveland Cavaliers,Indiana Pacers,1.29,3.71
2025-05-13,Golden State Warriors,Minnesota Timberwolves,2.64,1.51
2025-05-13,New York Knicks,Boston Celtics,2.95,1.42
2025-05-12,Indiana Pacers,Cleveland Cavaliers,2.82,1.45
2025-05-11,Denver Nuggets,Oklahoma City Thunder,3.17,1.38
2025-05-11,Golden State Warriors,Minnesota Timberwolves,2.95,1.42
2025-05-10,New York Knicks,Boston Celtics,3.02,1.4
2025-05-10,Denver Nuggets,Oklahoma City Thunder,3.01,1.4
2025-05-10,Indiana Pacers,Cleveland Cavaliers,2.7,1.49
2025-05-09,Minnesota Timberwolves,Golden State Warriors,1.19,4.93
2025-05-08,Oklahoma City Thunder,Denver Nuggets,1.2,4.69
2025-05-08,Boston Celtics,New York Knicks,1.19,4.8
2025-05-07,Minnesota Timberwolves,Golden State Warriors,1.41,3.0
2025-05-07,Cleveland Cavaliers,Indiana Pacers,1.39,3.13
2025-05-06,Oklahoma City Thunder,Denver Nuggets,1.21,4.62
2025-05-06,Boston Celtics,New York Knicks,1.25,4.07
2025-05-05,Houston Rockets,Golden State Warriors,1.73,2.16
2025-05-05,Cleveland Cavaliers,Indiana Pacers,1.26,3.95
2025-05-04,Denver Nuggets,LA Clippers,1.82,2.03
2025-05-03,Golden State Warriors,Houston Rockets,1.42,2.96
2025-05-02,LA Clippers,Denver Nuggets,1.4,3.05
2025-05-02,Detroit Pistons,New York Knicks,1.82,2.02
2025-05-01,Los Angeles Lakers,Minnesota Timberwolves,1.4,3.06
2025-05-01,Houston Rockets,Golden State Warriors,1.54,2.54
2025-04-30,Denver Nuggets,LA Clippers,2.11,1.75
2025-04-30,Boston Celtics,Orlando Magic,1.14,5.74
2025-04-30,New York Knicks,Detroit Pistons,1.44,2.82
2025-04-30,Indiana Pacers,Milwaukee Bucks,1.27,3.9
2025-04-29,Golden State Warriors,Houston Rockets,1.59,2.41
2025-04-29,Miami Heat,Cleveland Cavaliers,3.87,1.27
2025-04-28,Milwaukee Bucks,Indiana Pacers,1.56,2.49
2025-04-28,Orlando Magic,Boston Celtics,3.68,1.29
2025-04-27,Minnesota Timberwolves,Los Angeles Lakers,1.7,2.2
2025-04-27,Detroit Pistons,New York Knicks,1.72,2.17
2025-04-27,Golden State Warriors,Houston Rockets,1.75,2.13
2025-04-27,LA Clippers,Denver Nuggets,1.37,3.19
2025-04-26,Memphis Grizzlies,Oklahoma City Thunder,8.28,1.08
2025-04-26,Miami Heat,Cleveland Cavaliers,2.7,1.49
2025-04-26,Minnesota Timberwolves,Los Angeles Lakers,1.58,2.44
2025-04-26,Milwaukee Bucks,Indiana Pacers,1.5,2.68
2025-04-26,Orlando Magic,Boston Celtics,2.9,1.43
2025-04-25,LA Clippers,Denver Nuggets,1.44,2.86
2025-04-25,Memphis Grizzlies,Oklahoma City Thunder,4.3,1.23
2025-04-25,Detroit Pistons,New York Knicks,2.05,1.8
2025-04-24,Houston Rockets,Golden State Warriors,1.57,2.47
2025-04-24,Cleveland Cavaliers,Miami Heat,1.15,5.62
2025-04-24,Boston Celtics,Orlando Magic,1.19,4.79
2025-04-23,Los Angeles Lakers,Minnesota Timberwolves,1.4,3.03
2025-04-23,Oklahoma City Thunder,Memphis Grizzlies,1.09,7.6
2025-04-23,Indiana Pacers,Milwaukee Bucks,1.55,2.5
2025-04-22,Denver Nuggets,LA Clippers,1.92,1.93
2025-04-22,New York Knicks,Detroit Pistons,1.37,3.18
2025-04-21,Houston Rockets,Golden State Warriors,1.81,2.05
2025-04-21,Cleveland Cavaliers,Miami Heat,1.13,6.22
2025-04-20,Boston Celtics,Orlando Magic,1.12,6.44
2025-04-20,Oklahoma City Thunder,Memphis Grizzlies,1.11,7.03
2025-04-20,Los Angeles Lakers,Minnesota Timberwolves,1.5,2.66
2025-04-20,New York Knicks,Detroit Pistons,1.34,3.34
2025-04-19,Denver Nuggets,LA Clippers,1.68,2.24
2025-04-19,Indiana Pacers,Milwaukee Bucks,1.42,2.95
2025-04-19,Memphis Grizzlies,Dallas Mavericks,1.42,2.95
2025-04-19,Atlanta Hawks,Miami Heat,2.13,1.75
2025-04-17,Sacramento Kings,Dallas Mavericks,1.41,2.99
2025-04-17,Chicago Bulls,Miami Heat,1.78,2.09
2025-04-16,Golden State Warriors,Memphis Grizzlies,1.35,3.27
2025-04-16,Orlando Magic,Atlanta Hawks,1.42,2.95
2025-04-13,Golden State Warriors,LA Clippers,1.6,2.41
2025-04-13,Houston Rockets,Denver Nuggets,2.99,1.42
2025-04-13,Memphis Grizzlies,Dallas Mavericks,2.09,1.77
2025-04-13,Minnesota Timberwolves,Utah Jazz,1.02,18.19
2025-04-13,New Orleans Pelicans,Oklahoma City Thunder,6.14,1.13
2025-04-13,Portland Trail Blazers,Los Angeles Lakers,1.44,2.88
2025-04-13,Sacramento Kings,Phoenix Suns,1.11,7.24
2025-04-13,San Antonio Spurs,Toronto Raptors,1.55,2.54
2025-04-13,Atlanta Hawks,Orlando Magic,2.34,1.63
2025-04-13,Boston Celtics,Charlotte Hornets,1.2,4.73
2025-04-13,Brooklyn Nets,New York Knicks,2.65,1.51
2025-04-13,Cleveland Cavaliers,Indiana Pacers,3.11,1.39
2025-04-13,Miami Heat,Washington Wizards,1.28,3.79
2025-04-13,Milwaukee Bucks,Detroit Pistons,4.07,1.25
2025-04-13,Philadelphia 76ers,Chicago Bulls,3.79,1.28
2025-04-12,Los Angeles Lakers,Houston Rockets,1.11,6.95
2025-04-12,Phoenix Suns,San Antonio Spurs,1.49,2.72
2025-04-12,Portland Trail Blazers,Golden State Warriors,8.17,1.08
2025-04-12,Sacramento Kings,LA Clippers,3.22,1.37
2025-04-12,Utah Jazz,Oklahoma City Thunder,4.06,1.26
2025-04-12,Denver Nuggets,Memphis Grizzlies,1.34,3.34
2025-04-12,Minnesota Timberwolves,Brooklyn Nets,1.03,15.66
2025-04-12,Dallas Mavericks,Toronto Raptors,1.17,5.26
2025-04-12,Chicago Bulls,Washington Wizards,1.11,7.19
2025-04-12,New Orleans Pelicans,Miami Heat,8.13,1.09
2025-04-12,Boston Celtics,Charlotte Hornets,1.03,13.54
2025-04-12,New York Knicks,Cleveland Cavaliers,1.66,2.28
2025-04-12,Detroit Pistons,Milwaukee Bucks,1.54,2.53
2025-04-12,Indiana Pacers,Orlando Magic,1.62,2.34
2025-04-12,Philadelphia 76ers,Atlanta Hawks,5.45,1.16
2025-04-11,Memphis Grizzlies,Minnesota Timberwolves,2.14,1.75
2025-04-11,Milwaukee Bucks,New Orleans Pelicans,1.07,8.9
2025-04-11,Brooklyn Nets,Atlanta Hawks,6.81,1.11
2025-04-11,Detroit Pistons,New York Knicks,1.6,2.39
2025-04-11,Indiana Pacers,Cleveland Cavaliers,1.22,4.39
2025-04-10,LA Clippers,Houston Rockets,1.19,4.75
2025-04-10,Golden State Warriors,San Antonio Spurs,1.06,10.18
2025-04-10,Phoenix Suns,Oklahoma City Thunder,3.31,1.35
2025-04-10,Sacramento Kings,Denver Nuggets,2.58,1.53
2025-04-10,Utah Jazz,Portland Trail Blazers,3.12,1.38
2025-04-10,Chicago Bulls,Miami Heat,2.13,1.75
2025-04-10,Dallas Mavericks,Los Angeles Lakers,2.61,1.51
2025-04-10,Toronto Raptors,Charlotte Hornets,1.18,5.06
2025-04-10,Orlando Magic,Boston Celtics,1.29,3.65
2025-04-10,Washington Wizards,Philadelphia 76ers,2.23,1.68
2025-04-09,LA Clippers,San Antonio Spurs,1.12,6.34
2025-04-09,Phoenix Suns,Golden State Warriors,4.38,1.23
2025-04-09,Milwaukee Bucks,Minnesota Timberwolves,2.87,1.43
2025-04-09,Oklahoma City Thunder,Los Angeles Lakers,1.25,4.02
2025-04-09,Brooklyn Nets,New Orleans Pelicans,1.8,2.04
2025-04-09,New York Knicks,Boston Celtics,2.14,1.74
2025-04-09,Charlotte Hornets,Memphis Grizzlies,7.62,1.08
2025-04-09,Cleveland Cavaliers,Chicago Bulls,1.08,7.75
2025-04-09,Indiana Pacers,Washington Wizards,1.03,12.23
2025-04-09,Orlando Magic,Atlanta Hawks,1.5,2.64
2025-04-08,Miami Heat,Philadelphia 76ers,1.14,5.75
2025-04-08,Detroit Pistons,Sacramento Kings,1.44,2.8
2025-04-07,Golden State Warriors,Houston Rockets,1.46,2.78
2025-04-07,New Orleans Pelicans,Milwaukee Bucks,2.98,1.41
2025-04-07,Denver Nuggets,Indiana Pacers,1.41,3.01
2025-04-07,New York Knicks,Phoenix Suns,1.24,4.11
2025-04-07,Atlanta Hawks,Utah Jazz,1.11,6.83
2025-04-07,Boston Celtics,Washington Wizards,1.05,11.8
2025-04-07,Cleveland Cavaliers,Sacramento Kings,1.24,4.21
2025-04-07,Portland Trail Blazers,San Antonio Spurs,1.61,2.4
2025-04-06,Brooklyn Nets,Toronto Raptors,2.17,1.73
2025-04-06,Oklahoma City Thunder,Los Angeles Lakers,1.26,4.01
2025-04-06,Charlotte Hornets,Chicago Bulls,3.94,1.27
2025-04-06,LA Clippers,Dallas Mavericks,1.25,4.08
2025-04-06,Miami Heat,Milwaukee Bucks,1.95,1.91
2025-04-06,Detroit Pistons,Memphis Grizzlies,2.11,1.78
2025-04-06,Philadelphia 76ers,Minnesota Timberwolves,9.29,1.07
2025-04-05,Atlanta Hawks,New York Knicks,2.06,1.81
2025-04-05,LA Clippers,Dallas Mavericks,1.15,5.68
2025-04-05,Los Angeles Lakers,New Orleans Pelicans,1.08,8.86
2025-04-05,Golden State Warriors,Denver Nuggets,1.68,2.26
2025-04-05,Chicago Bulls,Portland Trail Blazers,1.39,3.09
2025-04-05,Houston Rockets,Oklahoma City Thunder,2.89,1.43
2025-04-05,San Antonio Spurs,Cleveland Cavaliers,6.25,1.13
2025-04-05,Boston Celtics,Phoenix Suns,1.08,7.85
2025-04-05,Toronto Raptors,Detroit Pistons,4.64,1.2
2025-04-05,Charlotte Hornets,Sacramento Kings,5.28,1.17
2025-04-05,Indiana Pacers,Utah Jazz,1.05,10.87
2025-04-04,Los Angeles Lakers,Golden State Warriors,1.87,1.97
2025-04-04,Brooklyn Nets,Minnesota Timberwolves,7.16,1.1
2025-04-04,Miami Heat,Memphis Grizzlies,2.76,1.46
2025-04-04,Toronto Raptors,Portland Trail Blazers,2.58,1.52
2025-04-04,Philadelphia 76ers,Milwaukee Bucks,5.58,1.15
2025-04-04,Washington Wizards,Orlando Magic,9.08,1.07
2025-04-03,LA Clippers,New Orleans Pelicans,1.04,12.32
2025-04-03,Oklahoma City Thunder,Detroit Pistons,1.12,6.58
2025-04-03,Denver Nuggets,San Antonio Spurs,1.72,2.18
2025-04-03,Dallas Mavericks,Atlanta Hawks,1.61,2.37
2025-04-03,Houston Rockets,Utah Jazz,1.07,9.01
2025-04-03,Boston Celtics,Miami Heat,1.2,4.76
2025-04-03,Cleveland Cavaliers,New York Knicks,1.19,4.84
2025-04-03,Indiana Pacers,Charlotte Hornets,1.08,8.24
2025-04-03,Washington Wizards,Sacramento Kings,6.66,1.11
2025-04-02,Denver Nuggets,Minnesota Timberwolves,1.79,2.08
2025-04-02,Chicago Bulls,Toronto Raptors,1.58,2.43
2025-04-02,Memphis Grizzlies,Golden State Warriors,2.43,1.58
2025-04-02,San Antonio Spurs,Orlando Magic,2.7,1.49
2025-04-02,Atlanta Hawks,Portland Trail Blazers,1.44,2.84
2025-04-02,Milwaukee Bucks,Phoenix Suns,1.37,3.15
2025-04-02,New York Knicks,Philadelphia 76ers,1.11,6.86
2025-04-01,Los Angeles Lakers,Houston Rockets,1.55,2.52
2025-04-01,Dallas Mavericks,Brooklyn Nets,1.22,4.43
2025-04-01,Oklahoma City Thunder,Chicago Bulls,1.08,8.07
2025-04-01,Memphis Grizzlies,Boston Celtics,2.53,1.55
2025-04-01,Charlotte Hornets,Utah Jazz,1.56,2.49
2025-04-01,Indiana Pacers,Sacramento Kings,1.57,2.44
2025-04-01,Orlando Magic,LA Clippers,2.25,1.67
2025-04-01,Washington Wizards,Miami Heat,4.28,1.23
2025-03-31,Phoenix Suns,Houston Rockets,2.15,1.75
2025-03-31,Philadelphia 76ers,Toronto Raptors,3.0,1.41
2025-03-31,Milwaukee Bucks,Atlanta Hawks,1.56,2.48
2025-03-31,Minnesota Timberwolves,Detroit Pistons,1.35,3.3
2025-03-31,New Orleans Pelicans,Charlotte Hornets,1.71,2.19
2025-03-31,San Antonio Spurs,Golden State Warriors,5.41,1.16
2025-03-31,New York Knicks,Portland Trail Blazers,1.34,3.39
2025-03-30,Cleveland Cavaliers,LA Clippers,1.37,3.24
2025-03-30,Chicago Bulls,Dallas Mavericks,1.71,2.19
2025-03-30,Memphis Grizzlies,Los Angeles Lakers,1.79,2.09
2025-03-30,Oklahoma City Thunder,Indiana Pacers,1.27,3.91
2025-03-30,San Antonio Spurs,Boston Celtics,6.09,1.13
2025-03-30,Philadelphia 76ers,Miami Heat,3.68,1.29
2025-03-30,Washington Wizards,Brooklyn Nets,1.76,2.11
2025-03-29,Orlando Magic,Sacramento Kings,1.89,1.96
2025-03-29,Denver Nuggets,Utah Jazz,1.04,12.72
2025-03-29,Milwaukee Bucks,New York Knicks,1.85,2.02
2025-03-29,Minnesota Timberwolves,Phoenix Suns,1.32,3.5
2025-03-29,New Orleans Pelicans,Golden State Warriors,8.79,1.07
2025-03-29,Brooklyn Nets,LA Clippers,6.45,1.12
2025-03-29,Toronto Raptors,Charlotte Hornets,1.43,2.9
2025-03-29,Detroit Pistons,Cleveland Cavaliers,3.11,1.39
2025-03-28,Sacramento Kings,Portland Trail Blazers,1.41,2.96
2025-03-28,Utah Jazz,Houston Rockets,6.58,1.12
2025-03-28,Chicago Bulls,Los Angeles Lakers,2.44,1.58
2025-03-28,Oklahoma City Thunder,Memphis Grizzlies,1.19,4.94
2025-03-28,Miami Heat,Atlanta Hawks,1.82,2.03
2025-03-28,Cleveland Cavaliers,San Antonio Spurs,1.1,7.12
2025-03-28,Orlando Magic,Dallas Mavericks,1.39,3.09
2025-03-28,Washington Wizards,Indiana Pacers,6.22,1.13
2025-03-27,Phoenix Suns,Boston Celtics,2.7,1.48
2025-03-27,Denver Nuggets,Milwaukee Bucks,1.17,5.17
2025-03-27,Brooklyn Nets,Toronto Raptors,1.72,2.17
2025-03-27,Indiana Pacers,Los Angeles Lakers,1.98,1.87
2025-03-27,New York Knicks,LA Clippers,2.56,1.53
2025-03-27,Philadelphia 76ers,Washington Wizards,1.68,2.25
2025-03-26,Portland Trail Blazers,Cleveland Cavaliers,3.09,1.39
2025-03-26,Sacramento Kings,Oklahoma City Thunder,3.89,1.27
2025-03-26,Utah Jazz,Memphis Grizzlies,5.08,1.18
2025-03-26,Houston Rockets,Atlanta Hawks,1.31,3.56
2025-03-26,Miami Heat,Golden State Warriors,2.53,1.55
2025-03-26,New York Knicks,Dallas Mavericks,1.18,5.06
2025-03-26,Charlotte Hornets,Orlando Magic,2.64,1.51
2025-03-26,Detroit Pistons,San Antonio Spurs,1.26,3.98
2025-03-25,Phoenix Suns,Milwaukee Bucks,1.66,2.29
2025-03-25,Sacramento Kings,Boston Celtics,2.63,1.51
2025-03-25,Denver Nuggets,Chicago Bulls,1.71,2.21
2025-03-25,New Orleans Pelicans,Philadelphia 76ers,1.66,2.29
2025-03-25,Brooklyn Nets,Dallas Mavericks,2.33,1.64
2025-03-25,Indiana Pacers,Minnesota Timberwolves,2.0,1.85
2025-03-25,Orlando Magic,Los Angeles Lakers,2.47,1.57
2025-03-25,Washington Wizards,Toronto Raptors,1.75,2.13
2025-03-24,LA Clippers,Oklahoma City Thunder,2.02,1.84
2025-03-24,Houston Rockets,Denver Nuggets,1.34,3.37
2025-03-23,Atlanta Hawks,Philadelphia 76ers,1.2,4.69
2025-03-23,Miami Heat,Charlotte Hornets,1.35,3.27
2025-03-23,Portland Trail Blazers,Boston Celtics,3.11,1.39
2025-03-23,Toronto Raptors,San Antonio Spurs,1.91,1.94
2025-03-23,Utah Jazz,Cleveland Cavaliers,10.01,1.07
2025-03-23,Detroit Pistons,New Orleans Pelicans,1.14,6.11
2025-03-23,Los Angeles Lakers,Chicago Bulls,1.2,4.76
2025-03-23,Sacramento Kings,Milwaukee Bucks,1.83,2.03
2025-03-23,New York Knicks,Washington Wizards,1.08,8.47
2025-03-23,Atlanta Hawks,Golden State Warriors,2.19,1.72
2025-03-22,Indiana Pacers,Brooklyn Nets,1.14,5.98
2025-03-22,LA Clippers,Memphis Grizzlies,1.39,3.1
2025-03-22,Phoenix Suns,Cleveland Cavaliers,3.76,1.29
2025-03-22,Portland Trail Blazers,Denver Nuggets,2.04,1.82
2025-03-22,Utah Jazz,Boston Celtics,7.91,1.08
2025-03-22,Dallas Mavericks,Detroit Pistons,4.14,1.25
2025-03-22,Miami Heat,Houston Rockets,2.55,1.53
2025-03-22,Minnesota Timberwolves,New Orleans Pelicans,1.07,8.51
2025-03-22,Oklahoma City Thunder,Charlotte Hornets,1.04,12.83
2025-03-22,San Antonio Spurs,Philadelphia 76ers,1.44,2.84
2025-03-22,Washington Wizards,Orlando Magic,3.75,1.28
2025-03-21,Los Angeles Lakers,Milwaukee Bucks,3.59,1.31
2025-03-21,Golden State Warriors,Toronto Raptors,1.09,7.64
2025-03-21,Sacramento Kings,Chicago Bulls,1.34,3.39
2025-03-21,Charlotte Hornets,New York Knicks,3.45,1.33
2025-03-21,Indiana Pacers,Brooklyn Nets,1.3,3.64
2025-03-20,Los Angeles Lakers,Denver Nuggets,1.48,2.73
2025-03-20,Phoenix Suns,Chicago Bulls,1.45,2.8
2025-03-20,Portland Trail Blazers,Memphis Grizzlies,2.53,1.54
2025-03-20,Sacramento Kings,Cleveland Cavaliers,3.09,1.39
2025-03-20,Utah Jazz,Washington Wizards,1.71,2.19
2025-03-20,Minnesota Timberwolves,New Orleans Pelicans,1.12,6.5
2025-03-20,Oklahoma City Thunder,Philadelphia 76ers,1.16,5.39
2025-03-20,San Antonio Spurs,New York Knicks,3.86,1.27
2025-03-20,Miami Heat,Detroit Pistons,2.64,1.51
2025-03-20,Indiana Pacers,Dallas Mavericks,1.19,4.79
2025-03-20,Orlando Magic,Houston Rockets,2.14,1.74
2025-03-19,LA Clippers,Cleveland Cavaliers,2.16,1.74
2025-03-19,Golden State Warriors,Milwaukee Bucks,2.09,1.78
2025-03-19,Boston Celtics,Brooklyn Nets,1.13,6.41
2025-03-19,Charlotte Hornets,Atlanta Hawks,3.63,1.3
2025-03-18,Los Angeles Lakers,San Antonio Spurs,1.25,4.17
2025-03-18,Golden State Warriors,Denver Nuggets,1.17,5.18
2025-03-18,Phoenix Suns,Toronto Raptors,1.26,4.1
2025-03-18,Portland Trail Blazers,Washington Wizards,1.43,2.93
2025-03-18,Sacramento Kings,Memphis Grizzlies,1.7,2.24
2025-03-18,Utah Jazz,Chicago Bulls,2.59,1.53
2025-03-18,Houston Rockets,Philadelphia 76ers,1.06,10.29
2025-03-18,Minnesota Timberwolves,Indiana Pacers,1.18,5.03
2025-03-18,New Orleans Pelicans,Detroit Pistons,3.08,1.4
2025-03-18,New York Knicks,Miami Heat,1.36,3.29
2025-03-17,Milwaukee Bucks,Oklahoma City Thunder,2.77,1.47
2025-03-17,LA Clippers,Charlotte Hornets,1.12,6.4
2025-03-17,Minnesota Timberwolves,Utah Jazz,1.11,7.08
2025-03-16,Brooklyn Nets,Atlanta Hawks,2.95,1.43
2025-03-16,Portland Trail Blazers,Toronto Raptors,1.36,3.31
2025-03-16,Los Angeles Lakers,Phoenix Suns,1.73,2.17
2025-03-16,Cleveland Cavaliers,Orlando Magic,1.2,4.83
2025-03-16,Dallas Mavericks,Philadelphia 76ers,1.38,3.18
2025-03-16,Denver Nuggets,Washington Wizards,1.14,6.13
2025-03-16,Golden State Warriors,New York Knicks,1.39,3.14
2025-03-16,San Antonio Spurs,New Orleans Pelicans,2.05,1.83
2025-03-16,Houston Rockets,Chicago Bulls,1.29,3.76
2025-03-16,Memphis Grizzlies,Miami Heat,1.43,2.96
2025-03-16,Milwaukee Bucks,Indiana Pacers,1.6,2.41
2025-03-16,Detroit Pistons,Oklahoma City Thunder,2.49,1.57
2025-03-15,Brooklyn Nets,Boston Celtics,5.21,1.18
2025-03-15,Phoenix Suns,Sacramento Kings,1.77,2.1
2025-03-15,Denver Nuggets,Los Angeles Lakers,1.09,7.91
2025-03-15,Utah Jazz,Toronto Raptors,1.8,2.06
2025-03-15,Houston Rockets,Dallas Mavericks,1.15,5.64
2025-03-15,Memphis Grizzlies,Cleveland Cavaliers,2.13,1.76
2025-03-15,Minnesota Timberwolves,Orlando Magic,1.18,5.05
2025-03-15,San Antonio Spurs,Charlotte Hornets,1.72,2.18
2025-03-15,Atlanta Hawks,LA Clippers,2.68,1.5
2025-03-15,Miami Heat,Boston Celtics,3.55,1.32
2025-03-15,Philadelphia 76ers,Indiana Pacers,6.93,1.11
2025-03-14,Golden State Warriors,Sacramento Kings,1.35,3.36
2025-03-14,Chicago Bulls,Brooklyn Nets,1.82,2.04
2025-03-14,New Orleans Pelicans,Orlando Magic,2.09,1.78
2025-03-14,Milwaukee Bucks,Los Angeles Lakers,1.42,2.98
2025-03-14,Detroit Pistons,Washington Wizards,1.13,6.57
2025-03-13,Denver Nuggets,Minnesota Timberwolves,1.78,2.11
2025-03-13,Portland Trail Blazers,New York Knicks,2.43,1.6
2025-03-13,Houston Rockets,Phoenix Suns,1.55,2.53
2025-03-13,Memphis Grizzlies,Utah Jazz,1.21,4.69
2025-03-13,Miami Heat,LA Clippers,1.8,2.08
2025-03-13,San Antonio Spurs,Dallas Mavericks,1.42,2.98
2025-03-13,Atlanta Hawks,Charlotte Hornets,1.34,3.42
2025-03-13,Boston Celtics,Oklahoma City Thunder,1.68,2.27
2025-03-13,Toronto Raptors,Philadelphia 76ers,1.69,2.24
2025-03-12,New Orleans Pelicans,LA Clippers,3.52,1.33
2025-03-12,Indiana Pacers,Milwaukee Bucks,1.92,1.93
2025-03-12,Cleveland Cavaliers,Brooklyn Nets,1.1,7.89
2025-03-12,Detroit Pistons,Washington Wizards,1.1,7.77
2025-03-11,Sacramento Kings,New York Knicks,2.05,1.82
2025-03-11,Golden State Warriors,Portland Trail Blazers,1.15,5.79
2025-03-11,San Antonio Spurs,Dallas Mavericks,1.39,3.14
2025-03-11,Chicago Bulls,Indiana Pacers,2.45,1.59
2025-03-11,Houston Rockets,Orlando Magic,1.65,2.32
2025-03-11,Memphis Grizzlies,Phoenix Suns,1.69,2.23
2025-03-11,Oklahoma City Thunder,Denver Nuggets,1.27,4.02
2025-03-11,Atlanta Hawks,Philadelphia 76ers,1.23,4.35
2025-03-11,Boston Celtics,Utah Jazz,1.08,8.86
2025-03-11,Brooklyn Nets,Los Angeles Lakers,2.83,1.46
2025-03-11,Miami Heat,Charlotte Hornets,1.25,4.17
2025-03-11,Toronto Raptors,Washington Wizards,1.37,3.22
2025-03-10,LA Clippers,Sacramento Kings,1.41,3.02
2025-03-10,Portland Trail Blazers,Detroit Pistons,2.41,1.6
2025-03-10,Milwaukee Bucks,Cleveland Cavaliers,3.25,1.37
