time_remaining_total,period,time_remaining_period,home_score,away_score,score_diff,clock,action_number,game_id
2520,1,360,11,11,0,PT05M57.00S,96,0022400001
2160,1,0,31,29,2,PT00M00.00S,180,0022400001
1800,2,360,41,40,1,PT06M04.00S,262,0022400001
1440,2,0,63,54,9,PT00M00.40S,355,0022400001
1080,3,360,81,66,15,PT06M01.00S,426,0022400001
1000,3,280,81,70,11,PT04M29.00S,445,0022400001
840,3,120,86,80,6,PT01M58.00S,473,0022400001
720,3,0,91,84,7,PT00M00.00S,503,0022400001
300,4,300,104,101,3,PT05M03.00S,584,0022400001
180,4,180,107,106,1,PT03M05.00S,614,0022400001
60,4,60,116,113,3,PT00M54.20S,638,0022400001
30,4,30,116,115,1,PT00M42.80S,640,0022400001
2520,1,360,17,6,11,PT05M59.00S,67,0022400002
2160,1,0,32,21,11,PT00M00.00S,167,0022400002
1800,2,360,43,36,7,PT06M00.00S,257,0022400002
1440,2,0,57,51,6,PT00M00.00S,328,0022400002
1080,3,360,71,67,4,PT06M00.00S,413,0022400002
1000,3,280,74,70,4,PT04M50.00S,425,0022400002
840,3,120,83,80,3,PT01M41.00S,467,0022400002
720,3,0,91,82,9,PT00M00.00S,482,0022400002
300,4,300,105,94,11,PT04M59.00S,558,0022400002
180,4,180,109,101,8,PT03M07.00S,576,0022400002
60,4,60,111,108,3,PT00M55.20S,602,0022400002
30,4,30,111,111,0,PT00M32.20S,605,0022400002
2520,1,360,20,18,2,PT05M53.00S,62,0022400003
2160,1,0,31,29,2,PT00M00.00S,160,0022400003
1800,2,360,46,35,11,PT05M45.00S,250,0022400003
1440,2,0,58,47,11,PT00M00.00S,326,0022400003
1080,3,360,68,62,6,PT05M52.00S,398,0022400003
1000,3,280,72,64,8,PT04M49.00S,418,0022400003
840,3,120,82,64,18,PT01M54.00S,454,0022400003
720,3,0,89,66,23,PT00M00.00S,487,0022400003
300,4,300,104,76,28,PT05M04.00S,592,0022400003
180,4,180,111,84,27,PT02M55.00S,627,0022400003
60,4,60,114,87,27,PT01M00.00S,665,0022400003
30,4,30,114,88,26,PT00M02.40S,677,0022400003
2520,1,360,11,14,-3,PT06M31.00S,58,0022400004
2160,1,0,25,27,-2,PT00M00.00S,149,0022400004
1800,2,360,38,40,-2,PT06M17.00S,251,0022400004
1440,2,0,50,54,-4,PT00M00.30S,340,0022400004
1080,3,360,63,70,-7,PT06M10.00S,419,0022400004
1000,3,280,66,74,-8,PT04M40.00S,431,0022400004
840,3,120,72,76,-4,PT01M26.00S,489,0022400004
720,3,0,75,78,-3,PT00M00.00S,528,0022400004
300,4,300,83,97,-14,PT04M38.00S,624,0022400004
180,4,180,86,101,-15,PT03M01.00S,648,0022400004
60,4,60,95,105,-10,PT01M11.00S,673,0022400004
30,4,30,97,108,-11,PT00M36.40S,680,0022400004
2520,1,360,19,11,8,PT06M17.00S,77,0022400005
2160,1,0,26,21,5,PT00M00.00S,165,0022400005
1800,2,360,37,31,6,PT05M49.00S,258,0022400005
1440,2,0,54,43,11,PT00M00.00S,346,0022400005
1080,3,360,65,59,6,PT05M54.00S,429,0022400005
1000,3,280,72,59,13,PT04M30.00S,444,0022400005
840,3,120,77,64,13,PT02M12.00S,486,0022400005
720,3,0,81,67,14,PT00M00.30S,521,0022400005
300,4,300,91,81,10,PT05M09.00S,630,0022400005
180,4,180,94,81,13,PT03M11.00S,651,0022400005
60,4,60,99,83,16,PT01M23.00S,685,0022400005
30,4,30,99,85,14,PT00M27.00S,697,0022400005
