game_id,model,strategy,bet,prob,odds,value,stake,WL,profit
0022500274,rf_pca,fixed,home,0.8386470544117932,1.2,0.0063764652941518,1,L,-1.0
0022500274,xgb_shallow,fixed,away,0.2628393173217773,5.0,0.3141965866088865,1,W,4.0
0022500274,xgb_tuned,fixed,home,0.960070550441742,1.2,0.1520846605300905,1,L,-1.0
0022500274,ensemble,fixed,home,0.8452927625105859,1.2,0.014351315012703,1,L,-1.0
0022500277,rf_pca,fixed,home,0.7057963273008092,1.56,0.1010422705892624,1,,
0022500277,xgb_shallow,fixed,away,0.4237063527107239,2.56,0.0846882629394532,1,,
0022500277,xgb_tuned,fixed,home,0.8294373154640198,1.56,0.2939222121238709,1,,
0022500277,ensemble,fixed,home,0.7038424300180349,1.56,0.0979941908281345,1,,
0022500278,rf_pca,fixed,away,0.365035405023265,3.75,0.3688827688372436,1,,
0022500278,xgb_shallow,fixed,away,0.3450807332992553,3.75,0.2940527498722074,1,,
0022500278,xgb_tuned,fixed,-,0.0,0.0,-1.0,0,,
0022500278,ensemble,fixed,away,0.3221832680249771,3.75,0.2081872550936641,1,,
0022500279,rf_pca,fixed,away,0.2981725046444522,6.0,0.7890350278667133,1,,
0022500279,xgb_shallow,fixed,away,0.2687788605690002,6.0,0.612673163414001,1,,
0022500279,xgb_tuned,fixed,home,0.9498339891433716,1.15,0.0923090875148773,1,,
0022500279,ensemble,fixed,away,0.2057057920233602,6.0,0.2342347521401611,1,,
0022500280,rf_pca,fixed,away,0.2931044350156543,8.25,1.4181115888791482,1,,
0022500280,xgb_shallow,fixed,away,0.3806649446487427,8.25,2.140485793352127,1,,
0022500280,xgb_tuned,fixed,away,0.1839993596076965,8.25,0.5179947167634962,1,,
0022500280,ensemble,fixed,away,0.2859229130906978,8.25,1.3588640329982566,1,,
0022500281,rf_pca,fixed,away,0.4784106812629443,2.2,0.0525034987784776,1,,
0022500281,xgb_shallow,fixed,-,0.0,0.0,-1.0,0,,
0022500281,xgb_tuned,fixed,home,0.6694989204406738,1.74,0.1649281215667724,1,,
0022500281,ensemble,fixed,home,0.585385037734994,1.74,0.0185699656588895,1,,
0022500282,rf_pca,fixed,home,0.4912125883692816,4.25,1.0876535005694468,1,,
0022500282,xgb_shallow,fixed,home,0.5435606837272644,4.25,1.3101329058408735,1,,
0022500282,xgb_tuned,fixed,home,0.5351553559303284,4.25,1.2744102627038956,1,,
0022500282,ensemble,fixed,home,0.5233095426756248,4.25,1.2240655563714051,1,,
