match_id,home_team,home_team_id,away_team,away_team_id,wins_home,wins_away,overtimes,total_non_overtime,home_win_rate,home_team_avg_rating,home_team_std_rating,home_team_avg_ADR,home_team_std_ADR,home_team_avg_Swing,home_team_std_Swing,away_team_avg_rating,away_team_std_rating,away_team_avg_ADR,away_team_std_ADR,away_team_avg_Swing,away_team_std_Swing,source_url
2385329,The MongolZ,6248,FURIA,8297,9,3,2,12,0.75,0.992,0.1701,69.02,10.2,-0.87,2.27,1.11,0.1246,73.78,9.42,0.87,1.45,https://www.hltv.org/matches/2385329/the-mongolz-vs-furia-fissure-playground-2
2385328,FURIA,8297,Falcons,11283,3,3,2,6,0.5,1.092,0.1627,75.46,13.95,1.1,1.45,1.044,0.1559,76.9,4.4,-1.1,1.41,https://www.hltv.org/matches/2385328/furia-vs-falcons-fissure-playground-2
2385327,The MongolZ,6248,Liquid,5973,9,2,0,11,0.8182,1.188,0.2237,79.46,15.65,1.57,2.17,0.948,0.1584,73.7,9.95,-1.64,1.93,https://www.hltv.org/matches/2385327/the-mongolz-vs-liquid-fissure-playground-2
2385326,Falcons,11283,paiN,4773,3,3,1,6,0.5,1.292,0.2274,85.36,18.26,2.67,2.42,0.794,0.1822,60.12,12.88,-2.95,2.4,https://www.hltv.org/matches/2385326/falcons-vs-pain-fissure-playground-2
2385325,FURIA,8297,Astralis,6665,7,2,1,9,0.7778,1.148,0.1379,79.38,7.51,1.26,2.21,0.928,0.3177,69.82,14.78,-1.31,3.35,https://www.hltv.org/matches/2385325/furia-vs-astralis-fissure-playground-2
2385324,Aurora,11861,Liquid,5973,4,2,1,6,0.6667,0.968,0.2111,67.82,14.78,-1.42,3.07,1.188,0.2782,76.32,21.48,1.42,3.25,https://www.hltv.org/matches/2385324/aurora-vs-liquid-fissure-playground-2
2385323,G2,5995,The MongolZ,6248,3,6,2,9,0.3333,1.052,0.0708,74.96,9.76,-0.15,1.26,1.028,0.2062,72.92,13.12,0.03,2.14,https://www.hltv.org/matches/2385323/g2-vs-the-mongolz-fissure-playground-2
2385322,paiN,4773,Virtus.pro,5378,6,3,1,9,0.6667,1.11,0.1448,76.8,2.41,1.49,2.22,0.962,0.1222,72.78,6.22,-1.49,1.42,https://www.hltv.org/matches/2385322/pain-vs-virtuspro-fissure-playground-2
2385321,Astralis,6665,GamerLegion,9928,0,2,0,2,0.0,1.184,0.1632,80.38,11.09,1.44,1.9,0.942,0.13,68.98,10.4,-1.44,3.03,https://www.hltv.org/matches/2385321/astralis-vs-gamerlegion-fissure-playground-2
2385320,FaZe,6667,Liquid,5973,12,2,2,14,0.8571,0.794,0.1392,60.96,7.9,-2.56,1.49,1.266,0.3188,80.52,13.34,2.53,3.66,https://www.hltv.org/matches/2385320/faze-vs-liquid-fissure-playground-2
2385319,Astralis,6665,Legacy,12468,2,1,1,3,0.6667,1.154,0.2319,75.84,20.95,1.81,2.85,0.9,0.109,66.8,4.74,-1.81,1.45,https://www.hltv.org/matches/2385319/astralis-vs-legacy-fissure-playground-2
2385318,FURIA,8297,paiN,4773,3,4,1,7,0.4286,1.174,0.1603,81.12,7.24,1.64,1.78,0.91,0.1407,59.02,12.29,-1.64,1.06,https://www.hltv.org/matches/2385318/furia-vs-pain-fissure-playground-2
2385317,TYLOO,4863,Liquid,5973,0,0,0,0,,1.03,0.1336,71.9,9.35,-0.47,1.28,1.126,0.174,73.66,8.47,0.47,2.06,https://www.hltv.org/matches/2385317/tyloo-vs-liquid-fissure-playground-2
2385316,FaZe,6667,The MongolZ,6248,2,4,1,6,0.3333,0.994,0.1935,70.38,9.81,-0.31,2.12,1.086,0.2197,75.9,9.16,0.31,2.52,https://www.hltv.org/matches/2385316/faze-vs-the-mongolz-fissure-playground-2
2385315,3DMAX,4914,Virtus.pro,5378,2,1,0,3,0.6667,1.028,0.096,70.28,2.53,0.42,1.76,1.004,0.1664,68.64,10.34,-0.45,2.05,https://www.hltv.org/matches/2385315/3dmax-vs-virtuspro-fissure-playground-2
2385314,G2,5995,GamerLegion,9928,5,2,1,7,0.7143,1.138,0.1165,77.7,12.97,0.75,1.05,0.95,0.1225,71.4,5.65,-0.75,2.35,https://www.hltv.org/matches/2385314/g2-vs-gamerlegion-fissure-playground-2
2385307,Astralis,6665,paiN,4773,7,3,0,10,0.7,0.906,0.1805,67.02,11.6,-1.85,1.72,1.162,0.2536,75.78,7.27,1.85,2.89,https://www.hltv.org/matches/2385307/astralis-vs-pain-fissure-playground-2
2385313,Aurora,11861,FURIA,8297,7,7,2,14,0.5,1.164,0.3468,76.04,23.58,1.7,4.65,0.89,0.0986,64.56,6.06,-1.7,1.84,https://www.hltv.org/matches/2385313/aurora-vs-furia-fissure-playground-2
2385312,Falcons,11283,FaZe,6667,6,1,1,7,0.8571,1.178,0.1592,76.12,9.86,1.71,1.33,0.862,0.1053,63.26,7.74,-1.71,1.5,https://www.hltv.org/matches/2385312/falcons-vs-faze-fissure-playground-2
2385309,Legacy,12468,G2,5995,0,0,0,0,,0.714,0.2043,56.42,13.54,-3.5,3.08,1.37,0.3227,85.34,20.44,3.5,4.34,https://www.hltv.org/matches/2385309/legacy-vs-g2-fissure-playground-2
2385308,3DMAX,4914,GamerLegion,9928,3,5,1,8,0.375,0.996,0.0965,71.56,4.82,-0.6,1.28,0.996,0.0662,71.04,8.01,0.46,0.74,https://www.hltv.org/matches/2385308/3dmax-vs-gamerlegion-fissure-playground-2
2385310,Liquid,5973,HEROIC,7175,2,4,0,6,0.3333,1.096,0.1965,80.58,11.52,0.05,2.84,1.002,0.2147,71.54,12.61,-0.05,2.81,https://www.hltv.org/matches/2385310/liquid-vs-heroic-fissure-playground-2
2385306,TYLOO,4863,The MongolZ,6248,8,9,1,17,0.4706,0.94,0.091,69.9,8.68,-1.3,1.0,1.134,0.2623,75.28,12.38,1.3,2.37,https://www.hltv.org/matches/2385306/tyloo-vs-the-mongolz-fissure-playground-2
2385311,Virtus.pro,5378,Lynn Vision,8840,0,0,0,0,,1.108,0.1301,73.14,14.03,0.59,1.51,0.944,0.1606,66.46,9.79,-0.59,2.04,https://www.hltv.org/matches/2385311/virtuspro-vs-lynn-vision-fissure-playground-2
2385305,HEROIC,7175,paiN,4773,0,0,0,0,,1.002,0.1949,70.56,10.69,-0.29,2.77,1.092,0.0618,75.04,2.92,0.28,1.43,https://www.hltv.org/matches/2385305/heroic-vs-pain-fissure-playground-2
2385304,FURIA,8297,G2,5995,2,4,1,6,0.3333,1.162,0.2303,73.54,9.3,1.59,3.37,0.984,0.1113,71.9,3.21,-1.59,1.51,https://www.hltv.org/matches/2385304/furia-vs-g2-fissure-playground-2
2385302,Aurora,11861,TYLOO,4863,2,2,1,4,0.5,1.158,0.232,75.82,14.37,1.0,2.85,0.916,0.1603,63.74,8.11,-1.15,1.92,https://www.hltv.org/matches/2385302/aurora-vs-tyloo-fissure-playground-2
2385303,GamerLegion,9928,Liquid,5973,0,0,0,0,,1.416,0.1337,80.36,15.85,5.12,0.74,0.75,0.106,62.02,4.97,-5.15,3.04,https://www.hltv.org/matches/2385303/gamerlegion-vs-liquid-fissure-playground-2
2385300,Falcons,11283,Legacy,12468,0,0,0,0,,1.274,0.1691,82.3,14.2,2.16,1.43,0.856,0.1256,68.82,6.48,-2.16,0.93,https://www.hltv.org/matches/2385300/falcons-vs-legacy-fissure-playground-2
2385301,Virtus.pro,5378,Astralis,6665,3,2,1,5,0.6,0.936,0.2453,70.16,17.11,-1.99,3.34,1.13,0.2735,72.58,16.42,1.99,1.9,https://www.hltv.org/matches/2385301/virtuspro-vs-astralis-fissure-playground-2
2385298,3DMAX,4914,FaZe,6667,2,5,0,7,0.2857,0.91,0.1413,69.64,12.36,-1.92,1.82,1.17,0.2948,78.46,19.63,1.82,3.92,https://www.hltv.org/matches/2385298/3dmax-vs-faze-fissure-playground-2
2385299,The MongolZ,6248,Lynn Vision,8840,12,5,2,17,0.7059,1.152,0.0842,75.38,14.01,1.9,1.48,0.886,0.2087,68.72,14.5,-1.9,2.45,https://www.hltv.org/matches/2385299/the-mongolz-vs-lynn-vision-fissure-playground-2
2385297,FURIA,8297,Liquid,5973,3,11,1,14,0.2143,1.11,0.186,75.18,14.37,0.31,2.57,1.028,0.2348,71.08,11.34,-0.31,2.68,https://www.hltv.org/matches/2385297/furia-vs-liquid-fissure-playground-2
2385296,FaZe,6667,paiN,4773,8,4,2,12,0.6667,1.178,0.3064,76.36,17.61,1.29,4.01,0.912,0.1628,68.36,9.13,-1.38,2.32,https://www.hltv.org/matches/2385296/faze-vs-pain-fissure-playground-2
2385295,G2,5995,Lynn Vision,8840,2,0,0,2,1.0,1.15,0.2399,71.52,14.67,1.64,3.05,0.896,0.197,64.5,15.84,-1.8,1.85,https://www.hltv.org/matches/2385295/g2-vs-lynn-vision-fissure-playground-2
2385294,HEROIC,7175,Legacy,12468,0,0,0,0,,0.968,0.178,72.02,11.85,-1.07,2.02,1.12,0.0701,75.42,3.72,1.02,1.0,https://www.hltv.org/matches/2385294/heroic-vs-legacy-fissure-playground-2
2385293,Aurora,11861,Astralis,6665,1,5,0,6,0.1667,1.006,0.1059,73.64,14.89,-0.29,1.2,1.056,0.2174,70.5,11.12,0.24,2.33,https://www.hltv.org/matches/2385293/aurora-vs-astralis-fissure-playground-2
2385292,Falcons,11283,Virtus.pro,5378,1,2,2,3,0.3333,1.556,0.4521,92.5,22.56,6.14,6.48,0.72,0.2108,62.44,7.35,-6.14,1.91,https://www.hltv.org/matches/2385292/falcons-vs-virtuspro-fissure-playground-2
2385291,The MongolZ,6248,3DMAX,4914,11,7,0,18,0.6111,1.016,0.1586,72.54,7.42,-0.07,2.5,1.064,0.1609,75.12,8.06,-0.01,2.05,https://www.hltv.org/matches/2385291/the-mongolz-vs-3dmax-fissure-playground-2
2385290,GamerLegion,9928,TYLOO,4863,4,1,2,5,0.8,0.79,0.1212,63.22,10.61,-4.27,2.08,1.392,0.4344,83.4,22.73,4.27,4.84,https://www.hltv.org/matches/2385290/gamerlegion-vs-tyloo-fissure-playground-2
2384856,Vitality,9565,G2,5995,2,0,0,2,1.0,1.044,0.1739,72.88,8.08,-0.68,2.14,1.06,0.1302,73.98,5.08,0.68,1.12,https://www.hltv.org/matches/2384856/vitality-vs-g2-blast-open-london-2025-finals
