minute,value
1.0,4
2.0,51
3.0,91
4.0,48
5.0,22
6.0,22
7.0,8
8.0,-17
9.0,-33
10.0,-18
11.0,-32
12.0,-5
13.0,37
14.0,27
15.0,15
16.0,9
17.0,-33
18.0,-55
19.0,-33
20.0,-17
21.0,-10
22.0,-3
23.0,2
24.0,2
25.0,2
26.0,2
27.0,11
28.0,-22
29.0,-22
30.0,32
31.0,14
32.0,62
33.0,28
34.0,14
35.0,16
36.0,36
37.0,18
38.0,9
39.0,20
40.0,15
41.0,-25
42.0,-7
43.0,14
44.0,-9
45.0,-19
45.5,-3
46.0,7
47.0,11
48.0,19
49.0,17
50.0,16
51.0,50
52.0,30
53.0,7
54.0,-5
55.0,14
56.0,16
57.0,22
58.0,9
59.0,-16
60.0,-10
61.0,19
62.0,10
63.0,5
64.0,-6
65.0,-34
66.0,-24
67.0,-18
68.0,-13
69.0,-10
70.0,-18
71.0,11
72.0,32
73.0,77
74.0,66
75.0,38
76.0,35
77.0,15
78.0,-19
79.0,-5
80.0,-9
81.0,-10
82.0,68
83.0,35
84.0,-46
85.0,-19
86.0,13
87.0,16
88.0,4
89.0,-16
90.0,42
90.5,-6
