minute,value
1.0,3
2.0,41
3.0,23
4.0,10
5.0,13
6.0,4
7.0,7
8.0,46
9.0,35
10.0,22
11.0,77
12.0,57
13.0,17
14.0,19
15.0,17
16.0,-6
17.0,-2
18.0,9
19.0,11
20.0,7
21.0,-16
22.0,-43
23.0,-26
24.0,-3
25.0,-36
26.0,-15
27.0,-2
28.0,5
29.0,29
30.0,19
31.0,22
32.0,12
33.0,27
34.0,32
35.0,27
36.0,19
37.0,15
38.0,-14
39.0,-3
40.0,11
41.0,9
42.0,37
43.0,14
44.0,-10
45.0,-24
45.5,3
46.0,4
47.0,-22
48.0,-10
49.0,-21
50.0,32
51.0,18
52.0,61
53.0,38
54.0,-27
55.0,-22
56.0,19
57.0,-1
58.0,-1
59.0,19
60.0,-34
61.0,18
62.0,8
63.0,11
64.0,40
65.0,39
66.0,31
67.0,28
68.0,19
69.0,9
70.0,6
71.0,4
72.0,-2
73.0,-22
74.0,-13
75.0,-37
76.0,-22
77.0,-9
78.0,-3
79.0,-9
80.0,-15
81.0,-13
82.0,-15
83.0,27
84.0,21
85.0,32
86.0,28
87.0,26
88.0,34
89.0,17
90.0,11
90.5,-16
