name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,errorLeadToAGoal,keyPass,aerialWon,wonContest,outfielderBlock,wonTackle,fouls,bigChanceCreated,unsuccessfulTouch,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,wasFouled,totalOffside,firstName,lastName,dispossessed,goals,savedShotsFromInsideTheBox,saves,punches,clearanceOffLine,goalAssist
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",45.0,29.0,24.0,9.0,25.0,26.0,4.0,19.0,6.0,1.0,90.0,49.0,6.3,16.0,0.0,0.0,0.0010367,"{'original': 6.3, 'alternative': 6}",0,-0.6298,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",38.0,33.0,4.0,2.0,10.0,11.0,24.0,31.0,3.0,,78.0,60.0,5.8,11.0,0.009,0.0,0.027978,"{'original': 5.8, 'alternative': 5.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",67.0,55.0,19.0,12.0,33.0,35.0,22.0,32.0,4.0,,90.0,79.0,7.4,12.0,0.0,0.0,0.0581159,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,5.0,5.0,1.0,1.0,,5.0,,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",54.0,45.0,5.0,2.0,30.0,33.0,15.0,21.0,11.0,,90.0,66.0,6.6,9.0,0.0,0.0,0.00321603,"{'original': 6.6, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,7.0,8.0,,,,2.0,2.0,4.0,,,4.0,,,1.0,3.0,,,,,,,,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",71.0,55.0,7.0,4.0,25.0,35.0,31.0,41.0,10.0,,90.0,116.0,7.7,24.0,0.0,0.0,0.212025,"{'original': 7.7, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,3.0,3.0,10.0,,1.0,,2.0,,8.0,,3.0,1.0,1.0,,4.0,,1.0,1.0,,,,,,,,,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",41.0,31.0,4.0,3.0,6.0,7.0,26.0,39.0,4.0,,90.0,58.0,7.4,17.0,0.7468,0.0,0.883287,"{'original': 7.4, 'alternative': 7.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,,2.0,4.0,,2.0,,,,,,3.0,3.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195,6827,M,its_onana,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",86.0,71.0,8.0,7.0,29.0,36.0,42.0,50.0,14.0,,90.0,107.0,7.3,21.0,0.4801,0.3348,0.172037,"{'original': 7.3, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,9.0,13.0,,6.0,,1.0,1.0,3.0,,1.0,6.0,2.0,,2.0,2.0,,2.0,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,iganagueye,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",43.0,36.0,3.0,1.0,15.0,18.0,21.0,25.0,6.0,,45.0,54.0,7.0,8.0,0.0934,0.0,0.0226445,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,6.0,,1.0,,1.0,,2.0,,,1.0,1.0,,2.0,,,1.0,,1.0,,,3.0,,,,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",40.0,33.0,1.0,,9.0,12.0,25.0,36.0,5.0,,84.0,75.0,7.4,22.0,0.1192,0.0,0.748135,"{'original': 7.4, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,1.0,1.0,6.0,8.0,1.0,5.0,2.0,,,2.0,,2.0,2.0,2.0,1.0,1.0,,1.0,3.0,,1.0,,,2.0,,Dwight,McNeil,1.0,,,,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",39.0,35.0,2.0,2.0,14.0,14.0,22.0,27.0,4.0,,60.0,52.0,6.9,9.0,0.3668,0.8603,0.203227,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,3.0,,1.0,,,,,4.0,1.0,,1.0,,,,,,,,,,,,
