minute,value
1.0,-7
2.0,-12
3.0,-23
4.0,-44
5.0,-19
6.0,-15
7.0,65
8.0,27
9.0,17
10.0,28
11.0,14
12.0,25
13.0,18
14.0,15
15.0,-8
16.0,-5
17.0,-10
18.0,-11
19.0,22
20.0,8
21.0,-13
22.0,-93
23.0,-51
24.0,-32
25.0,-57
26.0,-20
27.0,21
28.0,15
29.0,5
30.0,47
31.0,20
32.0,-11
33.0,-6
34.0,12
35.0,11
36.0,17
37.0,69
38.0,37
39.0,11
40.0,7
41.0,-7
42.0,-38
43.0,-31
44.0,-13
45.0,-7
45.5,-22
46.0,5
47.0,8
48.0,38
49.0,22
50.0,16
51.0,12
52.0,10
53.0,9
54.0,1
55.0,-6
56.0,-27
57.0,-3
58.0,-7
59.0,-12
60.0,-5
61.0,2
62.0,2
63.0,49
64.0,89
65.0,39
66.0,28
67.0,20
68.0,12
69.0,9
70.0,3
71.0,-4
72.0,40
73.0,19
74.0,4
75.0,-4
76.0,-5
77.0,-10
78.0,-9
79.0,-9
80.0,-9
81.0,-19
82.0,-5
83.0,-6
84.0,-7
85.0,-41
86.0,-27
87.0,-20
88.0,-25
89.0,-22
90.0,-14
90.5,-29
