name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAGoal,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,dispossessed,outfielderBlock,wasFouled,goalAssist,clearanceOffLine,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,goals,shotOffTarget,totalOffside,penaltyConceded,firstName,lastName,punches,totalKeeperSweeper,bigChanceCreated,errorLeadToAShot,bigChanceMissed,lastManTackle,penaltyWon
José Sá,jose-sa,J. Sá,G,1,192,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",21.0,13.0,12.0,4.0,10.0,12.0,3.0,9.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,90.0,29.0,6.1,8.0,0.00097257,"{'original': 6.1, 'alternative': 5.7}",0,-0.0576,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",38.0,27.0,2.0,,9.0,15.0,18.0,26.0,2.0,8.0,3.0,2.0,,,,,90.0,66.0,6.9,18.0,0.107941,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,nelsonsemedo50,3.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",47.0,41.0,6.0,2.0,27.0,30.0,14.0,17.0,1.0,6.0,3.0,6.0,,,,,90.0,62.0,7.2,7.0,0.00393309,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,1.0,,,,1.0,5.0,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",39.0,32.0,7.0,3.0,23.0,26.0,9.0,13.0,1.0,5.0,4.0,6.0,,,,,90.0,51.0,6.9,7.0,0.00286589,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,,,,,2.0,2.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",36.0,30.0,3.0,1.0,17.0,19.0,13.0,17.0,,2.0,2.0,3.0,,,,,90.0,46.0,7.6,7.0,0.0525687,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
Pedro Neto,pedro-neto,P. Neto,M,7,172,39950,M,879349,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,952560000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو نيتو', 'hi': 'पेड्रो नेटो', 'bn': 'পেড্রো নেটো'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'hi': 'पी. नेटो', 'bn': 'পি. নেটো'}}",28.0,21.0,2.0,1.0,5.0,7.0,18.0,29.0,,7.0,,2.0,,,,,77.0,51.0,7.3,19.0,0.0839196,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,pedroneto_30,8.0,1.0,4.0,1.0,5.0,3.0,,1.0,,4.0,,1.0,,,3.0,1.0,,2.0,1.0,1.0,0.1082,0.0629,,,,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",41.0,40.0,2.0,2.0,21.0,21.0,19.0,21.0,1.0,7.0,,13.0,,,,,86.0,51.0,7.8,2.0,0.0417152,"{'original': 7.8, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,3.0,2.0,2.0,2.0,,3.0,2.0,,1.0,1.0,,,1.0,,,,1.0,,0.0738,0.189,1.0,,,,,,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183,1017,M,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",31.0,28.0,4.0,2.0,15.0,16.0,13.0,15.0,,3.0,,3.0,,,,,54.0,41.0,6.3,7.0,0.00464833,"{'original': 6.3, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,7.0,2.0,,,,2.0,2.0,1.0,2.0,,3.0,,1.0,,,,,1.0,0.0316,,,1.0,,,,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",25.0,23.0,,,10.0,10.0,13.0,16.0,,13.0,3.0,5.0,,,,,90.0,54.0,7.5,7.0,0.0266581,"{'original': 7.5, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,r_aitnouri,1.0,,2.0,1.0,4.0,3.0,4.0,6.0,3.0,3.0,,,,,4.0,,,,,,0.0297,,,1.0,1.0,,,,,,,,,,
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6495,M,786186,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,822614400,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",28.0,24.0,2.0,1.0,12.0,14.0,12.0,15.0,,4.0,1.0,6.0,,,,,90.0,42.0,7.2,10.0,0.100074,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Hwangso,1.0,,9.0,1.0,4.0,3.0,,,,1.0,4.0,2.0,3.0,,1.0,,,,1.0,,0.3491,0.4376,1.0,,1.0,1.0,,,,,,,,,
