name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialWon,errorLeadToAShot,wasFouled,blockedScoringAttempt,accurateCross,keyPass,dispossessed,onTargetScoringAttempt,sofascoreId,totalOffside,errorLeadToAGoal,punches,goalAssist,bigChanceCreated,goals,bigChanceMissed
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",30.0,14.0,20.0,5.0,12.0,17.0,2.0,13.0,1.0,4.0,6.0,7.0,90.0,42.0,6.5,16.0,0.0,0.0,0.00030348,"{'original': 6.5, 'alternative': 5.7}",0,-1.1796,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",42.0,35.0,2.0,,25.0,28.0,10.0,15.0,1.0,7.0,,,90.0,59.0,5.6,10.0,0.1117,0.0,0.0373155,"{'original': 5.6, 'alternative': 5.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
John Egan,,,john-egan,J. Egan,D,15,185,214,M,100578,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,719539200,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون إيغن', 'hi': 'जॉन एगन', 'bn': 'জন ইগান'}, 'shortNameTranslation': {'ar': 'ج. إيغن', 'hi': 'जे. एगन', 'bn': 'জে. ইগান'}}",43.0,27.0,10.0,,21.0,27.0,6.0,16.0,7.0,7.0,,,90.0,62.0,5.3,18.0,0.0,0.0,0.00116776,"{'original': 5.3, 'alternative': 5.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,2.0,3.0,,,,,,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",48.0,41.0,7.0,3.0,29.0,31.0,12.0,17.0,8.0,3.0,,,90.0,65.0,5.5,10.0,0.3508,0.0,0.00308815,"{'original': 5.5, 'alternative': 5.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,1.0,,,,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",17.0,13.0,2.0,,8.0,8.0,6.0,10.0,,3.0,,,45.0,25.0,6.5,6.0,0.0,0.0,0.0186016,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,1.0,,,,,,2.0,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",52.0,39.0,8.0,2.0,26.0,29.0,13.0,26.0,,10.0,,,62.0,58.0,6.2,16.0,0.0,0.0,0.00708019,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,2.0,4.0,2.0,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",52.0,47.0,3.0,2.0,26.0,29.0,21.0,23.0,2.0,10.0,,,90.0,68.0,6.4,7.0,0.0139,0.2117,0.00984355,"{'original': 6.4, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,9.0,1.0,,,,1.0,,6.0,1.0,,3.0,1.0,,2.0,,,,2.0,1.0,,,,,,,,
Luke Thomas,,,luke-thomas,L. Thomas,D,33,178,494,M,991584,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,992131200,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",35.0,29.0,2.0,,16.0,18.0,13.0,17.0,3.0,1.0,,,90.0,54.0,6.5,7.0,0.2664,0.0,0.00603235,"{'original': 6.5, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,2.0,7.0,,4.0,3.0,1.0,,1.0,,,,,2.0,,2.0,1.0,,,,,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",21.0,17.0,,,9.0,10.0,9.0,12.0,,5.0,,,75.0,31.0,6.3,10.0,0.0,0.0,0.0707445,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,9.0,2.0,1.0,3.0,1.0,,,,,,1.0,1.0,,,1.0,,1.0,2.0,2.0,,jamesmcatee_,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",23.0,18.0,1.0,1.0,12.0,14.0,6.0,9.0,2.0,4.0,,,66.0,34.0,6.5,8.0,0.1015,0.0,0.0047798,"{'original': 6.5, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,6.0,1.0,2.0,,,1.0,,1.0,,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,
