name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,totalClearance,interceptionWon,totalTackle,unsuccessfulTouch,fouls,challengeLost,clearanceOffLine,outfielderBlock,wonTackle,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,goalAssist,totalContest,wonContest,goals,shotOffTarget,totalOffside,bigChanceMissed,bigChanceCreated,accurateCross
Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",12.0,5.0,3.0,,3.0,7.0,2.0,6.0,1.0,3.0,4.0,1.0,,,,,,90.0,35.0,6.3,18.0,0.00330295,,"{'original': 6.3, 'alternative': 6.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,9.0,1.0,1.0,1.0,4.0,1.0,,,,,4.0,1.0,1.0,0.1937,0.0678,,2.0,,,1.0,1.0,,,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",6.0,5.0,,,2.0,2.0,3.0,5.0,,,1.0,,,,,,,45.0,12.0,6.8,4.0,0.0897227,2.0,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3079,M,,975937,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,991008000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب رامزي', 'hi': 'जैकब रैमसे', 'bn': 'জ্যাকব রামসে'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'hi': 'जे. रैमसे', 'bn': 'জে. রামসে'}}",10.0,6.0,1.0,,3.0,3.0,3.0,7.0,,1.0,7.0,,,,,,,34.0,22.0,6.2,11.0,0.00254365,,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,7.0,1.0,,1.0,,,,,,1.0,4.0,,,,,,3.0,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",3.0,2.0,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,,24.0,13.0,6.8,3.0,0.00083575,,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,0.0241,,,,,,1.0,,,,
Leander Dendoncker,leander-dendoncker,L. Dendoncker,M,20,188,1731,M,,190405,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,797904000,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندير ديندونكير', 'hi': 'लिऐंडर डेन्डोन्कर', 'bn': 'লিয়েন্ডার ডেনডনকার'}, 'shortNameTranslation': {'ar': 'ل. ديندونكير', 'hi': 'एल. डेन्डोन्कर', 'bn': 'এল. ডেনডনকার'}}",5.0,1.0,3.0,,1.0,3.0,,2.0,1.0,3.0,,,,,,,,23.0,10.0,6.5,4.0,1.19e-06,,"{'original': 6.5, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,2.0,,2.0,,1.0,,,,1.0,,,1.0,0.0321,,,,,,,,,,
Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1209,M,,294593,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,739497600,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",3.0,2.0,,,1.0,2.0,1.0,1.0,,2.0,,,,,,,,12.0,7.0,6.7,1.0,0.00120509,,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,
Filip Marschall,filip-marschall,F. Marschall,G,1,196,130,M,,994557,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1051142400,"{'value': 880000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب مارشال', 'hi': 'फ़िलिप मार्शल', 'bn': 'ফিলিপ মার্শাল'}, 'shortNameTranslation': {'ar': 'ف. مارشال', 'hi': 'एफ. मार्शल', 'bn': 'এফ. মার্শাল'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,10,189,9354,M,nicolozaniolo,864898,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,930873600,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhon Durán,jhon-duran,J. Durán,F,10,185,30568,M,jaderduran9,974577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1071273600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
