minute,value
1.0,1
2.0,28
3.0,-22
4.0,-40
5.0,-28
6.0,-15
7.0,-56
8.0,-36
9.0,-25
10.0,30
11.0,13
12.0,17
13.0,16
14.0,14
15.0,-22
16.0,13
17.0,-4
18.0,17
19.0,-49
20.0,-60
21.0,-39
22.0,-55
23.0,-36
24.0,-19
25.0,-11
26.0,29
27.0,18
28.0,85
29.0,52
30.0,35
31.0,27
32.0,29
33.0,47
34.0,29
35.0,18
36.0,12
37.0,11
38.0,36
39.0,23
40.0,17
41.0,25
42.0,16
43.0,73
44.0,52
45.0,32
45.5,-28
46.0,-8
47.0,-8
48.0,-27
49.0,-21
50.0,-17
51.0,-34
52.0,69
53.0,27
54.0,16
55.0,1
56.0,4
57.0,-1
58.0,-10
59.0,-20
60.0,-19
61.0,-17
62.0,-21
63.0,-56
64.0,-21
65.0,15
66.0,-6
67.0,-9
68.0,-31
69.0,-18
70.0,-39
71.0,-35
72.0,-37
73.0,-23
74.0,-18
75.0,38
76.0,15
77.0,74
78.0,45
79.0,24
80.0,4
81.0,-4
82.0,-37
83.0,-26
84.0,-17
85.0,-17
86.0,-14
87.0,-9
88.0,-2
89.0,6
90.0,-4
90.5,17
