name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,sofascoreId
Remi Matthews,,,remi-matthews,R. Matthews,G,31,187,M,581610,"{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",9.2888888888889,48.2,9,home,
Michael Olise,,,michael-olise,M. Olise,M,17,65968,M,978838,"{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",67.1,22.219047619048,21,home,MOlise
Naouirou Ahamada,,,naouirou-ahamada,N. Ahamada,M,28,422,M,997104,"{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",44.411111111111,80.522222222222,9,home,
Sam Johnstone,,,sam-johnstone,S. Johnstone,G,31,643,M,98427,"{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",13.258064516129,51.009677419355,31,home,
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,5777,M,795228,"{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",57.368,41.104,25,home,
Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,9259,M,848276,"{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",63.996153846154,40.465384615385,26,home,Matetajphilippe
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,674,M,43215,"{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",36.032352941176,82.805882352941,34,home,
Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,762,M,148710,"{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",52.8625,71.105,40,home,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,14311,M,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",59.415384615385,39.884615384615,39,home,jordanayew9
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,2408,M,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",34.633333333333,37.307142857143,42,home,
Joel Ward,,,joel-ward,J. Ward,D,,256,M,39183,"{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",44.78085106383,23.723404255319,47,home,
Chris Richards,,,chris-richards,C. Richards,D,26,2004,M,931844,"{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",41.210256410256,56.602564102564,39,home,
Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,5382,M,355796,"{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",55.542105263158,64.635087719298,57,home,jeffersonlerma
David Ozoh,,,david-ozoh,D. Ozoh,M,18,301,M,1212155,"{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",63.066666666667,41.8,3,home,
Marc Guéhi,,,marc-guehi,M. Guéhi,D,6,7807,M,877994,"{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",34.921052631579,59.178947368421,38,home,MarcGuehi13
Will Hughes,,,will-hughes,W. Hughes,M,19,1013,M,193554,"{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",53.098039215686,46.192156862745,51,home,
Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,53434,M,862967,"{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",60.120833333333,28.029166666667,24,away,CodyGakpo
Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,74506,M,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",62.665384615385,43.661538461538,26,away,Darwin
Curtis Jones,,,curtis-jones,C. Jones,M,17,17493,M,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",49.7,73.630769230769,26,away,curtisjones
Alisson,,,alisson,Alisson,G,1,66760,M,243609,"{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",13.328571428571,47.408163265306,49,away,AlissonBecker
Harvey Elliott,,,harvey-elliott,H. Elliott,M,19,21929,M,955245,"{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",60.214705882353,32.188235294118,34,away,harvelliott
