name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,totalTackle,wonTackle,fouls,expectedGoals,wasFouled,firstName,lastName,totalCross,unsuccessfulTouch,keyPass,goalAssist,accurateCross,bigChanceCreated,outfielderBlock,interceptionWon,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoalsOnTarget,totalOffside,hitWoodwork,bigChanceMissed,goodHighClaim,savedShotsFromInsideTheBox,errorLeadToAGoal
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",40.0,39.0,2.0,1.0,39.0,40.0,4.0,1.0,90.0,44.0,6.3,1.0,8.036e-05,"{'original': 6.3, 'alternative': 6.2}",0,-0.0413,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",54.0,51.0,6.0,3.0,32.0,33.0,5.0,,90.0,68.0,6.6,7.0,0.103265,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,19.0,21.0,1.0,1.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.1081,,,,,,,,,,,,,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",84.0,77.0,6.0,2.0,56.0,60.0,2.0,,90.0,92.0,6.6,7.0,0.00883375,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,21.0,24.0,,2.0,,4.0,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",40.0,37.0,4.0,2.0,26.0,27.0,4.0,,45.0,48.0,6.2,7.0,0.00456565,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,11.0,13.0,,1.0,5.0,1.0,,3.0,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1209,M,,294593,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,739497600,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",27.0,25.0,1.0,1.0,16.0,16.0,1.0,,59.0,40.0,6.4,6.0,0.087888,"{'original': 6.4, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,12.0,,1.0,5.0,4.0,3.0,,2.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",42.0,39.0,2.0,1.0,18.0,20.0,3.0,,90.0,66.0,7.5,10.0,0.154514,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,22.0,27.0,,,6.0,7.0,4.0,,4.0,2.0,,4.0,3.0,3.0,,,2.0,,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",61.0,59.0,3.0,2.0,35.0,37.0,4.0,,90.0,82.0,8.2,12.0,0.0536688,"{'original': 8.2, 'alternative': 8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,25.0,27.0,,,7.0,6.0,2.0,3.0,2.0,,,,2.0,1.0,,0.5474,4.0,,,3.0,2.0,,,1.0,,,,2.0,1.0,2.0,0.9934,,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",26.0,17.0,2.0,1.0,5.0,7.0,6.0,,89.0,43.0,8.3,15.0,0.66013,"{'original': 8.3, 'alternative': 8.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,20.0,,,4.0,3.0,,,4.0,2.0,,2.0,,,2.0,1.0537,1.0,,,1.0,4.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,0.6538,1.0,,,,,
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",24.0,21.0,1.0,1.0,8.0,8.0,2.0,,82.0,40.0,7.2,9.0,0.0260283,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,17.0,,,4.0,7.0,1.0,2.0,3.0,2.0,1.0,,3.0,1.0,,0.2136,2.0,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3079,M,,975937,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,991008000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب رامزي', 'hi': 'जैकब रैमसे', 'bn': 'জ্যাকব রামসে'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'hi': 'जे. रैमसे', 'bn': 'জে. রামসে'}}",40.0,35.0,,,13.0,13.0,3.0,,90.0,49.0,7.4,7.0,0.419752,"{'original': 7.4, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,22.0,27.0,,,5.0,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,,1.0,0.1714,,,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,
Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",11.0,10.0,,,5.0,5.0,2.0,,89.0,27.0,7.3,7.0,0.0388918,"{'original': 7.3, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,6.0,1.0,,4.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,1.3962,3.0,,,,4.0,1.0,,,,,,2.0,1.0,1.0,1.1825,,,1.0,,,
Calum Chambers,calum-chambers,C. Chambers,D,12,183,615,M,,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",36.0,34.0,2.0,,27.0,28.0,1.0,,45.0,40.0,6.4,2.0,0.00225012,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,7.0,8.0,1.0,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",23.0,21.0,1.0,1.0,8.0,9.0,1.0,,31.0,35.0,6.8,4.0,0.0245138,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,13.0,16.0,,,,2.0,,,,,,,1.0,,,0.0618,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,
