Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,Y,GK,90,12,4,8,75.0,0,4.9,1,1,0,0,11,26,42.3,25,6,72.0,45.0,11,72.7,49.8,18,0,0.0,0,8.0,Match Report,1caa93a5
2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,Y,GK,90,8,3,5,62.5,0,2.7,0,0,0,0,5,20,25.0,26,4,65.4,43.7,8,37.5,33.6,11,0,0.0,1,28.0,Match Report,1caa93a5
2023-09-01,Fri,Premier League,Matchweek 4,Home,L 1–2,Luton Town,West Ham,Y,GK,90,3,2,1,33.3,0,1.3,0,0,0,0,8,30,26.7,36,1,77.8,48.7,3,66.7,53.3,12,1,8.3,1,18.5,Match Report,1caa93a5
2023-09-09,Sat,UEFA Euro Qualifying,Group stage,Away,W 1–0,be Belgium,az Azerbaijan,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,1caa93a5
2023-09-12,Tue,UEFA Euro Qualifying,Group stage,Home,W 5–0,be Belgium,ee Estonia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,1caa93a5
2023-09-16,Sat,Premier League,Matchweek 5,Away,L 0–1,Luton Town,Fulham,Y,GK,90,2,1,1,50.0,0,1.0,0,0,0,0,5,17,29.4,19,7,36.8,34.4,10,100.0,66.0,22,2,9.1,0,3.7,Match Report,1caa93a5
2023-09-23,Sat,Premier League,Matchweek 6,Home,D 1–1,Luton Town,Wolves,Y,GK,90,3,1,2,66.7,0,0.8,0,0,0,0,3,15,20.0,29,5,48.3,38.1,2,50.0,52.5,5,0,0.0,1,24.0,Match Report,1caa93a5
2023-09-30,Sat,Premier League,Matchweek 7,Away,W 2–1,Luton Town,Everton,Y,GK,90,4,1,3,75.0,0,1.3,0,0,0,0,13,33,39.4,23,5,73.9,50.2,18,88.9,59.2,28,2,7.1,1,13.7,Match Report,1caa93a5
2023-10-03,Tue,Premier League,Matchweek 2,Home,L 1–2,Luton Town,Burnley,Y,GK,90,4,2,2,50.0,0,1.7,0,0,0,0,11,33,33.3,31,4,77.4,50.0,10,90.0,56.7,8,0,0.0,3,30.0,Match Report,1caa93a5
2023-10-07,Sat,Premier League,Matchweek 8,Home,L 0–1,Luton Town,Tottenham,Y,GK,90,4,1,3,75.0,0,1.1,0,0,0,0,13,26,50.0,24,3,70.8,47.1,10,90.0,60.2,10,0,0.0,0,9.0,Match Report,1caa93a5
2023-10-13,Fri,UEFA Euro Qualifying,Group stage,Away,W 3–2,be Belgium,at Austria,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,1caa93a5
2023-10-16,Mon,UEFA Euro Qualifying,Group stage,Home,D 1–1,be Belgium,se Sweden,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,1caa93a5
2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Luton Town,Nott'ham Forest,Y,GK,90,8,2,6,75.0,0,2.9,0,0,0,0,10,30,33.3,34,3,67.6,44.9,8,87.5,57.1,15,0,0.0,8,24.9,Match Report,1caa93a5
2023-10-29,Sun,Premier League,Matchweek 10,Away,L 1–3,Luton Town,Aston Villa,Y,GK,90,6,3,4,50.0,0,3.5,0,0,0,0,8,18,44.4,19,7,42.1,36.5,10,100.0,59.5,12,1,8.3,0,6.7,Match Report,1caa93a5
2023-11-05,Sun,Premier League,Matchweek 11,Home,D 1–1,Luton Town,Liverpool,Y,GK,90,6,1,5,83.3,0,2.4,0,0,0,0,9,31,29.0,17,1,88.2,52.6,16,100.0,65.8,30,1,3.3,0,11.0,Match Report,1caa93a5
