Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2024-03-04,Mon,Premier League,Matchweek 27,Home,L 0–6,Sheffield Utd,Arsenal,N,LB,74,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,23,73.9,2,15,0,0,0,Match Report,79bc4c45
2024-03-09,Sat,Premier League,Matchweek 28,Away,D 2–2,Sheffield Utd,Bournemouth,Y,WB,90,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,14,25,56.0,3,16,0,0,0,Match Report,79bc4c45
2024-03-30,Sat,Premier League,Matchweek 30,Home,D 3–3,Sheffield Utd,Fulham,Y,WB,90,0,0,0,0,0,0,0,0,37,3,2,1,0.0,0.0,0.0,1,1,15,25,60.0,2,11,2,0,0,Match Report,79bc4c45
2024-04-04,Thu,Premier League,Matchweek 31,Away,L 1–3,Sheffield Utd,Liverpool,N,"CM,LW",28,0,0,0,0,0,0,0,0,6,0,0,2,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,1,0,Match Report,79bc4c45
2024-04-07,Sun,Premier League,Matchweek 32,Home,D 2–2,Sheffield Utd,Chelsea,Y,"CM,LB,WB",90,0,0,0,0,1,0,0,0,50,3,0,1,0.1,0.1,0.0,1,0,29,39,74.4,5,31,3,3,2,Match Report,79bc4c45
2024-04-13,Sat,Premier League,Matchweek 33,Away,L 0–2,Sheffield Utd,Brentford,Y,"CM,WB",90,0,0,0,0,1,0,0,0,55,4,1,1,0.0,0.0,0.1,1,0,31,41,75.6,2,25,0,1,1,Match Report,79bc4c45
2024-04-20,Sat,Premier League,Matchweek 34,Home,L 1–4,Sheffield Utd,Burnley,Y,LB,90,0,0,0,0,0,0,1,0,73,1,0,1,0.0,0.0,0.0,2,0,48,69,69.6,5,39,3,0,0,Match Report,79bc4c45
2024-04-24,Wed,Premier League,Matchweek 29,Away,L 2–4,Sheffield Utd,Manchester Utd,Y,WB,90,0,1,0,0,0,0,0,0,53,1,1,1,0.0,0.0,0.3,2,1,35,45,77.8,3,17,0,0,0,Match Report,79bc4c45
2024-04-27,Sat,Premier League,Matchweek 35,Away,L 1–5,Sheffield Utd,Newcastle Utd,Y,WB,90,0,0,0,0,0,0,0,0,66,0,2,0,0.0,0.0,0.0,2,0,49,62,79.0,5,51,3,0,0,Match Report,79bc4c45
2024-05-04,Sat,Premier League,Matchweek 36,Home,L 1–3,Sheffield Utd,Nott'ham Forest,Y,WB,90,0,0,0,0,0,0,0,0,51,0,0,2,0.0,0.0,0.0,3,0,36,45,80.0,3,31,1,2,1,Match Report,79bc4c45
2024-05-19,Sun,Premier League,Matchweek 38,Home,L 0–3,Sheffield Utd,Tottenham,Y,CM,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,1,0,0,0,Match Report,79bc4c45
