Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2024-01-30,Tue,Premier League,Matchweek 22,Away,L 0–4,Brighton,Luton Town,Y,CB,90,0,0,0,0,0,0,0,0,66,2,0,3,0.0,0.0,0.0,1,0,37,53,69.8,3,34,1,3,2,Match Report,4fd08daa
2024-02-03,Sat,Premier League,Matchweek 23,Home,W 4–1,Brighton,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,162,1,0,1,0.0,0.0,0.0,2,1,153,159,96.2,7,143,0,0,0,Match Report,4fd08daa
2024-02-10,Sat,Premier League,Matchweek 24,Away,L 1–2,Brighton,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,74,3,4,5,0.0,0.0,0.0,1,0,47,56,83.9,2,44,0,1,0,Match Report,4fd08daa
2024-02-18,Sun,Premier League,Matchweek 25,Away,W 5–0,Brighton,Sheffield Utd,Y,CB,90,0,0,0,0,1,0,0,0,155,3,0,0,0.0,0.0,0.5,5,0,138,144,95.8,10,135,2,1,0,Match Report,4fd08daa
2024-02-24,Sat,Premier League,Matchweek 26,Home,D 1–1,Brighton,Everton,Y,CB,90,0,0,0,0,2,2,1,0,101,0,2,0,0.1,0.1,0.0,0,0,90,97,92.8,9,85,3,0,0,Match Report,4fd08daa
2024-02-28,Wed,FA Cup,Fifth round proper,Away,L 0–1,Brighton,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report,4fd08daa
2024-03-02,Sat,Premier League,Matchweek 27,Away,L 0–3,Brighton,Fulham,Y,"CM,CB",90,0,0,0,0,0,0,0,0,112,3,3,2,0.0,0.0,0.1,5,0,92,100,92.0,12,87,4,1,1,Match Report,4fd08daa
2024-03-07,Thu,Europa Lg,Round of 16,Away,L 0–4,eng Brighton,it Roma,Y,CB,90,0,0,0,0,0,0,1,0,86,1,1,1,0.0,0.0,0.0,0,0,75,80,93.8,5,71,0,0,0,Match Report,4fd08daa
2024-03-10,Sun,Premier League,Matchweek 28,Home,W 1–0,Brighton,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,108,0,0,0,0.0,0.0,0.0,1,0,100,108,92.6,8,95,0,0,0,Match Report,4fd08daa
2024-03-14,Thu,Europa Lg,Round of 16,Home,W 1–0,eng Brighton,it Roma,Y,CB,90,0,0,0,0,2,0,0,0,87,2,0,0,0.2,0.2,0.1,4,0,68,80,85.0,17,67,7,1,1,Match Report,4fd08daa
2024-03-31,Sun,Premier League,Matchweek 30,Away,L 1–2,Brighton,Liverpool,Y,CB,90,0,0,0,0,0,0,1,0,73,2,0,4,0.0,0.0,0.0,0,0,59,64,92.2,3,56,0,2,1,Match Report,4fd08daa
2024-04-03,Wed,Premier League,Matchweek 31,Away,D 0–0,Brighton,Brentford,Y,CB,90,0,0,0,0,1,0,0,0,48,1,0,1,0.0,0.0,0.0,1,0,39,43,90.7,2,25,0,0,0,Match Report,4fd08daa
2024-04-06,Sat,Premier League,Matchweek 32,Home,L 0–3,Brighton,Arsenal,Y,CB,90,0,0,0,0,1,0,0,0,86,2,1,3,0.0,0.0,0.0,2,0,62,76,81.6,4,63,2,0,0,Match Report,4fd08daa
2024-04-13,Sat,Premier League,Matchweek 33,Away,D 1–1,Brighton,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,0,0,66,73,90.4,0,49,0,0,0,Match Report,4fd08daa
2024-04-25,Thu,Premier League,Matchweek 29,Home,L 0–4,Brighton,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,76,4,3,1,0.0,0.0,0.1,1,0,54,64,84.4,1,42,0,0,0,Match Report,4fd08daa
