Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,GK,90,2,1,1,50.0,0,1.1,0,0,0,0,9,19,47.4,25,1,56.0,40.7,9,55.6,46.4,9,0,0.0,0,,Match Report,4806ec67
2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,GK,90,7,4,3,57.1,0,3.1,1,1,0,0,4,10,40.0,20,4,30.0,34.3,6,66.7,45.5,8,0,0.0,0,,Match Report,4806ec67
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,Y,GK,90,2,1,1,50.0,0,1.1,0,0,0,0,8,19,42.1,32,3,50.0,35.9,7,42.9,33.1,11,0,0.0,4,29.3,Match Report,4806ec67
2023-08-30,Wed,EFL Cup,Second round,Away,W 2–1,Everton,Doncaster,Y*,GK,90,5,1,4,80.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,GK,90,7,2,6,71.4,0,1.9,0,0,0,0,7,22,31.8,34,7,58.8,42.7,2,100.0,66.0,11,2,18.2,4,21.9,Match Report,4806ec67
2023-09-09,Sat,UEFA Euro Qualifying,Group stage,Away,D 1–1,eng England,ua Ukraine,Y,GK,90,1,1,0,0.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-09-12,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,eng England,sct Scotland,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,4806ec67
2023-09-17,Sun,Premier League,Matchweek 5,Home,L 0–1,Everton,Arsenal,Y,GK,90,4,1,3,75.0,0,0.8,0,0,0,0,9,32,28.1,36,3,72.2,48.5,9,66.7,55.6,14,0,0.0,0,4.0,Match Report,4806ec67
2023-09-23,Sat,Premier League,Matchweek 6,Away,W 3–1,Everton,Brentford,Y,GK,90,2,1,1,50.0,0,0.9,0,0,0,0,7,20,35.0,31,5,51.6,39.7,4,100.0,63.3,9,1,11.1,0,11.3,Match Report,4806ec67
2023-09-27,Wed,EFL Cup,Third round,Away,W 2–1,Everton,Aston Villa,Y,GK,90,3,1,2,66.7,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-09-30,Sat,Premier League,Matchweek 7,Home,L 1–2,Everton,Luton Town,Y,GK,90,2,2,0,0.0,0,1.4,0,0,0,0,3,18,16.7,39,2,28.2,33.8,8,87.5,59.6,10,1,10.0,2,21.7,Match Report,4806ec67
2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–0,Everton,Bournemouth,Y,GK,90,3,0,3,100.0,1,0.4,0,0,0,0,17,26,65.4,34,7,55.9,43.3,8,87.5,64.5,15,1,6.7,4,20.6,Match Report,4806ec67
2023-10-13,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,au Australia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,4806ec67
2023-10-17,Tue,UEFA Euro Qualifying,Group stage,Home,W 3–1,eng England,it Italy,Y,GK,90,4,1,3,75.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–2,Everton,Liverpool,Y,GK,90,6,2,4,83.3,0,1.8,1,1,0,0,8,31,25.8,25,6,68.0,50.3,14,100.0,67.1,20,2,10.0,2,12.4,Match Report,4806ec67
2023-10-29,Sun,Premier League,Matchweek 10,Away,W 1–0,Everton,West Ham,Y,GK,90,2,0,2,100.0,1,0.3,0,0,0,0,8,19,42.1,30,4,50.0,40.0,8,50.0,47.1,16,0,0.0,0,9.0,Match Report,4806ec67
2023-11-01,Wed,EFL Cup,Fourth round,Home,W 3–0,Everton,Burnley,Y,GK,90,1,0,1,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-11-04,Sat,Premier League,Matchweek 11,Home,D 1–1,Everton,Brighton,Y,GK,90,2,1,2,50.0,0,0.3,0,0,0,0,16,31,51.6,30,3,80.0,49.4,8,87.5,60.8,9,2,22.2,0,6.7,Match Report,4806ec67
2023-11-11,Sat,Premier League,Matchweek 12,Away,W 3–2,Everton,Crystal Palace,Y,GK,90,4,2,2,75.0,0,2.1,1,1,0,0,5,22,22.7,31,3,54.8,40.8,8,62.5,50.6,21,0,0.0,0,8.5,Match Report,4806ec67
2023-11-17,Fri,UEFA Euro Qualifying,Group stage,Home,W 2–0,eng England,mt Malta,Y,GK,90,0,0,0,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-11-20,Mon,UEFA Euro Qualifying,Group stage,Away,D 1–1,eng England,mk N. Macedonia,Y,GK,90,1,1,1,0.0,0,,1,0,1,0,,,,,,,,,,,,,,,,Match Report,4806ec67
2023-11-26,Sun,Premier League,Matchweek 13,Home,L 0–3,Everton,Manchester Utd,Y,GK,90,4,3,1,50.0,0,2.4,1,1,0,0,9,21,42.9,39,5,51.3,38.6,5,20.0,22.6,10,0,0.0,0,,Match Report,4806ec67
2023-12-02,Sat,Premier League,Matchweek 14,Away,W 1–0,Everton,Nott'ham Forest,Y,GK,90,2,0,2,100.0,1,0.5,0,0,0,0,8,18,44.4,23,1,65.2,42.7,8,37.5,35.1,22,0,0.0,0,,Match Report,4806ec67
2023-12-07,Thu,Premier League,Matchweek 15,Home,W 3–0,Everton,Newcastle Utd,Y,GK,90,3,0,3,100.0,1,0.6,0,0,0,0,16,33,48.5,37,4,70.3,47.5,9,77.8,59.7,11,1,9.1,2,17.0,Match Report,4806ec67
2023-12-10,Sun,Premier League,Matchweek 16,Home,W 2–0,Everton,Chelsea,Y,GK,90,4,0,4,100.0,1,0.8,0,0,0,0,10,28,35.7,31,0,74.2,47.5,8,62.5,50.5,13,1,7.7,2,22.0,Match Report,4806ec67
2023-12-16,Sat,Premier League,Matchweek 17,Away,W 2–0,Everton,Burnley,Y,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,14,27,51.9,31,3,80.6,46.2,7,28.6,34.0,17,0,0.0,0,,Match Report,4806ec67
