Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Away,W 1–0,Fulham,Everton,Y,GK,90,9,0,9,100.0,1,3.3,0,0,0,0,3,11,27.3,49,8,20.4,29.0,6,16.7,24.7,16,0,0.0,1,9.5,Match Report,2628fd2b
2023-08-19,Sat,Premier League,Matchweek 2,Home,L 0–3,Fulham,Brentford,Y,GK,90,8,3,5,75.0,0,3.4,1,1,0,0,6,19,31.6,51,4,31.4,33.7,4,75.0,55.0,11,2,18.2,1,13.0,Match Report,2628fd2b
2023-08-26,Sat,Premier League,Matchweek 3,Away,D 2–2,Fulham,Arsenal,Y,GK,90,10,2,8,90.0,0,2.0,1,1,0,0,10,19,52.6,37,7,37.8,33.8,6,83.3,55.3,27,0,0.0,1,12.5,Match Report,2628fd2b
2023-08-29,Tue,EFL Cup,Second round,Home,D 1 (5)–1 (3),Fulham,Tottenham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,2628fd2b
2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–5,Fulham,Manchester City,Y,GK,90,5,5,0,20.0,0,3.4,1,1,0,0,6,14,42.9,40,4,35.0,32.6,1,0.0,17.0,6,0,0.0,0,10.0,Match Report,2628fd2b
2023-09-16,Sat,Premier League,Matchweek 5,Home,W 1–0,Fulham,Luton Town,Y,GK,90,2,0,2,100.0,1,0.9,0,0,0,0,3,8,37.5,19,2,15.8,26.6,5,100.0,67.4,10,0,0.0,0,,Match Report,2628fd2b
2023-09-23,Sat,Premier League,Matchweek 6,Away,D 0–0,Fulham,Crystal Palace,Y,GK,90,3,0,3,100.0,1,0.7,0,0,0,0,1,3,33.3,42,6,7.1,20.4,2,0.0,14.5,11,1,9.1,2,15.6,Match Report,2628fd2b
2023-09-27,Wed,EFL Cup,Third round,Home,W 2–1,Fulham,Norwich City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,2628fd2b
2023-10-02,Mon,Premier League,Matchweek 7,Home,L 0–2,Fulham,Chelsea,Y,GK,90,4,2,2,50.0,0,0.8,0,0,0,0,5,5,100.0,57,11,7.0,20.6,4,25.0,26.0,4,1,25.0,1,16.8,Match Report,2628fd2b
2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–1,Fulham,Sheffield Utd,Y,GK,90,2,1,2,50.0,0,0.2,0,0,0,0,3,4,75.0,29,4,13.8,29.3,1,0.0,33.0,12,0,0.0,1,17.3,Match Report,2628fd2b
