name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,totalCross,accurateCross,outfielderBlock,errorLeadToAShot,unsuccessfulTouch,keyPass,blockedScoringAttempt,wasFouled,bigChanceMissed,onTargetScoringAttempt,fouls,shotOffTarget,totalOffside,challengeLost,bigChanceCreated,goals,errorLeadToAGoal,goalAssist,penaltyWon,penaltyFaced,punches,penaltyConceded,clearanceOffLine
Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,ARamsdale,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",28.0,25.0,5.0,2.0,22.0,23.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,90.0,35.0,6.2,3.0,0.0,0.0,0.00074362,"{'original': 6.2, 'alternative': 6.2}",0,-1.5723,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Partey,,,thomas-partey,T. Partey,M,16,185,46092,M,TPartey5,316148,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,739929600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس بارتي', 'hi': 'थॉमस पार्टी', 'bn': 'টমাস পার্টি'}, 'shortNameTranslation': {'ar': 'ت. بارتي', 'hi': 'टी. पार्टी', 'bn': 'টি. পার্টি'}}",62.0,57.0,6.0,3.0,19.0,20.0,38.0,42.0,7.0,,,,,56.0,76.0,7.0,9.0,0.0,0.0,0.0754693,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,6.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ben White,,,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",91.0,82.0,12.0,8.0,40.0,42.0,43.0,52.0,5.0,,,,,90.0,108.0,7.2,15.0,0.0,0.0,0.096544,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,1.0,,1.0,,3.0,,,,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
William Saliba,,,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",93.0,89.0,4.0,4.0,38.0,41.0,51.0,52.0,9.0,,,,,90.0,106.0,7.0,7.0,0.0403,0.0,0.031843,"{'original': 7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,3.0,3.0,1.0,1.0,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
Jakub Kiwior,,,kiwior-jakub,J. Kiwior,D,4,189,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",59.0,51.0,7.0,4.0,20.0,20.0,31.0,41.0,1.0,,,,,90.0,76.0,7.1,12.0,0.4233,0.0,0.0313331,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,4.0,3.0,,,,2.0,,2.0,2.0,2.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",50.0,45.0,3.0,3.0,10.0,11.0,35.0,40.0,6.0,,,,,84.0,67.0,7.7,12.0,0.0984,0.0906,0.143359,"{'original': 7.7, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,6.0,5.0,3.0,4.0,3.0,,,2.0,1.0,1.0,,,,2.0,,,,,2.0,2.0,1.0,,,,,,,,,,,
Declan Rice,,,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",71.0,68.0,5.0,4.0,26.0,26.0,42.0,45.0,8.0,,,,,89.0,82.0,7.3,5.0,0.0,0.0,0.0737691,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,5.0,1.0,,,2.0,2.0,5.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",22.0,20.0,,,5.0,5.0,15.0,18.0,5.0,,,,,56.0,28.0,7.0,4.0,0.2763,0.0,0.400203,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,3.0,,,,,,2.0,,1.0,,,,1.0,2.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,
Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",59.0,49.0,,,8.0,10.0,44.0,57.0,2.0,,,,,90.0,93.0,7.5,21.0,1.3555,1.0124,1.08254,"{'original': 7.5, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,7.0,9.0,,9.0,6.0,,,2.0,,8.0,3.0,,,3.0,4.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
Leandro Trossard,,,leandro-trossard,L. Trossard,F,19,172,31309,M,leandrotrossard,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",17.0,12.0,,,5.0,6.0,10.0,15.0,1.0,,,,,45.0,26.0,7.1,10.0,0.0,0.0,0.684261,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,,1.0,,,,,,,4.0,3.0,,,3.0,3.0,,,,,,,,,1.0,,,,,,,,
