name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalClearance,outfielderBlock,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,totalCross,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,challengeLost,interceptionWon,wasFouled,totalContest,wonContest,shotOffTarget,fouls,totalOffside,accurateCross,goodHighClaim,punches,goalAssist,bigChanceCreated,goals
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",34.0,27.0,12.0,5.0,26.0,27.0,1.0,7.0,5.0,2.0,5.0,90.0,42.0,7.6,9.0,0.00026441,"{'original': 7.6, 'alternative': 7.5}",0,0.2427,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",31.0,28.0,,,10.0,10.0,18.0,21.0,2.0,,,87.0,42.0,7.1,5.0,0.0303031,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",80.0,65.0,14.0,5.0,35.0,41.0,30.0,41.0,10.0,,,90.0,93.0,7.1,18.0,0.0184624,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,1.0,7.0,1.0,3.0,,,3.0,3.0,,2.0,1.0,1.0,0.0454,0.0686,1.0,,,,,,,,,,,,,,
Jonny Evans,,,jonny-evans,J. Evans,D,,188,4632,M,6jevans,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",62.0,53.0,3.0,,35.0,40.0,18.0,22.0,4.0,,,75.0,73.0,6.8,9.0,0.00744752,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,4.0,5.0,,3.0,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",41.0,34.0,2.0,,8.0,8.0,26.0,37.0,3.0,,,90.0,72.0,7.5,14.0,0.0801637,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,8.0,,3.0,1.0,,5.0,4.0,1.0,4.0,,,0.0228,,,,,,3.0,3.0,1.0,2.0,1.0,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",52.0,50.0,,,12.0,14.0,38.0,39.0,5.0,,,90.0,70.0,6.8,10.0,0.0380994,"{'original': 6.8, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,9.0,7.0,3.0,1.0,,,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,1.0,7.0,4.0,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",73.0,65.0,3.0,1.0,29.0,31.0,37.0,44.0,7.0,,,87.0,86.0,7.0,10.0,0.0376436,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,4.0,1.0,,,,2.0,1.0,,2.0,,1.0,0.0184,,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",25.0,23.0,2.0,2.0,6.0,7.0,17.0,19.0,2.0,,,70.0,46.0,6.8,13.0,0.062754,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,7.0,4.0,2.0,,,2.0,,3.0,1.0,,,,,2.0,,,1.0,7.0,4.0,,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",29.0,24.0,,,10.0,12.0,14.0,17.0,3.0,,,90.0,47.0,6.5,12.0,0.0161456,"{'original': 6.5, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,6.0,1.0,5.0,2.0,,,,,2.0,,,,0.0356,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",37.0,28.0,2.0,,11.0,14.0,17.0,29.0,2.0,,,90.0,62.0,7.2,19.0,0.0639927,"{'original': 7.2, 'alternative': 6.7}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,,,,,,,2.0,6.0,,4.0,0.2614,,1.0,1.0,1.0,,7.0,5.0,3.0,,,,,,,,
