minute,value
1.0,2
2.0,3
3.0,14
4.0,10
5.0,-7
6.0,-51
7.0,-32
8.0,-11
9.0,20
10.0,58
11.0,35
12.0,-65
13.0,-23
14.0,-10
15.0,-5
16.0,-13
17.0,10
18.0,8
19.0,17
20.0,15
21.0,13
22.0,47
23.0,42
24.0,22
25.0,12
26.0,6
27.0,10
28.0,-27
29.0,-2
30.0,2
31.0,15
32.0,4
33.0,-5
34.0,-6
35.0,-34
36.0,-64
37.0,-32
38.0,-13
39.0,-2
40.0,100
41.0,96
42.0,62
43.0,64
44.0,53
45.0,16
45.5,27
46.0,-5
47.0,6
48.0,20
49.0,85
50.0,54
51.0,31
52.0,30
53.0,45
54.0,13
55.0,2
56.0,-9
57.0,41
58.0,6
59.0,33
60.0,18
61.0,10
62.0,4
63.0,36
64.0,17
65.0,85
66.0,48
67.0,68
68.0,52
69.0,29
70.0,36
71.0,19
72.0,2
73.0,-10
74.0,23
75.0,3
76.0,18
77.0,9
78.0,-7
79.0,-5
80.0,-5
81.0,-7
82.0,-6
83.0,20
84.0,-16
85.0,-12
86.0,-12
87.0,-6
88.0,-24
89.0,-24
90.0,-20
90.5,-44
