name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,fouls,expectedGoals,expectedGoalsOnTarget,sofascoreId,aerialLost,dispossessed,shotOffTarget,firstName,accurateCross,keyPass,goals,outfielderBlock,lastName,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,totalOffside,punches,errorLeadToAGoal,goalAssist
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",15.0,10.0,1.0,,3.0,5.0,7.0,10.0,1.0,,,,,,90.0,30.0,6.8,10.0,0.0311815,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,6.0,6.0,1.0,,,,,,,4.0,1.0,1.0,,0.1552,0.1284,Dom_Solanke,4.0,1.0,,,,,,,,,1.0,,2.0,,,
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,32038,M,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",4.0,2.0,,,2.0,4.0,,,1.0,,,,,,21.0,7.0,6.5,3.0,3.748e-05,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,1.0,,,1.0,,,,,,d.ouattara15,,,,Dango Ouattara,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",3.0,1.0,2.0,,,,1.0,3.0,1.0,,,,,,8.0,5.0,6.6,2.0,0.00070607,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,1.0,1.0,,,,,0.0142,,miloskerkez,,,,Milos,,,,,Kerkez,,1.0,,,,,
Joe Rothwell,joe-rothwell,J. Rothwell,M,6,185,269,M,190853,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789782400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو روثويل', 'hi': 'जो रोथवेल', 'bn': 'জো রথওয়েল'}, 'shortNameTranslation': {'ar': 'ج. روثويل', 'hi': 'जे. रोथवेल', 'bn': 'জে. রথওয়েল'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,8.0,1.0,6.5,,0.00020465,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",,,,,,,,,,,,,,,16.0,2.0,6.5,,2.85e-06,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,justinkluivert,,,,,,,,,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieffer Moore,kieffer-moore,K. Moore,F,19,195,1406,M,298366,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,713232000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفر مور', 'hi': 'किफ़र मूर', 'bn': 'কিফার মুর'}, 'shortNameTranslation': {'ar': 'ك. مور', 'hi': 'के. मूर', 'bn': 'কে. মুর'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6517,M,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,Sinisterra29,,,,,,,,,,,,,,,,
