name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,fouls,expectedGoals,expectedGoalsOnTarget,sofascoreId,aerialLost,dispossessed,shotOffTarget,firstName,accurateCross,keyPass,goals,outfielderBlock,lastName,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,totalOffside,punches,errorLeadToAGoal,goalAssist
James Trafford,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",47.0,24.0,27.0,5.0,21.0,28.0,3.0,19.0,17.0,1.0,3.0,4.0,1.0,1.0,90.0,72.0,7.0,23.0,0.00339078,"{'original': 7, 'alternative': 7.1}",0,-0.5793,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,3.0,,,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,
Vitinho,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",58.0,46.0,9.0,3.0,25.0,34.0,21.0,25.0,6.0,,,,,,90.0,84.0,5.7,17.0,0.0291107,"{'original': 5.7, 'alternative': 5.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,5.0,2.0,3.0,,,2.0,,,,1.0,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,1.0,
Dara O'Shea,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",58.0,48.0,10.0,6.0,32.0,36.0,16.0,22.0,4.0,,,,,,90.0,72.0,7.4,10.0,0.0111319,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,2.0,7.0,,,,10.0,2.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0
Ameen Al-Dakhil,ameen-al-dakhil,A. Al-Dakhil,D,2,185,812,M,964761,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1015372800,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمين الدخيل', 'hi': 'अमीन अल-दखिल', 'bn': 'আমীন আল দাখিল'}, 'shortNameTranslation': {'ar': 'أ. الدخيل', 'hi': 'ए. अल-दखिल', 'bn': 'এ. আল-দাখিল'}}",66.0,61.0,6.0,2.0,55.0,57.0,6.0,9.0,6.0,,,,,,90.0,74.0,6.3,5.0,0.00407602,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,2.0,1.0,,,3.0,1.0,2.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,
Charlie Taylor,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",35.0,28.0,3.0,,17.0,21.0,11.0,16.0,6.0,,,,,,90.0,57.0,6.8,13.0,0.00346532,"{'original': 6.8, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,5.0,4.0,,2.0,2.0,,,,,1.0,2.0,1.0,1.0,0.0281,0.0779,,3.0,1.0,,,,,1.0,,,,1.0,,,,,
Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",34.0,28.0,,,18.0,19.0,11.0,17.0,5.0,,,,,,81.0,48.0,6.6,12.0,0.384699,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,4.0,4.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,
Josh Cullen,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",25.0,22.0,3.0,1.0,9.0,10.0,13.0,15.0,2.0,,,,,,60.0,32.0,6.4,5.0,0.00752982,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,2.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",36.0,27.0,2.0,1.0,10.0,14.0,17.0,23.0,3.0,,,,,,90.0,50.0,7.0,13.0,0.0480171,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,3.0,5.0,,1.0,,1.0,1.0,5.0,4.0,2.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,
Luca Koleosho,luca-koleosho,L. Koleosho,M,16,175,1493,M,1216282,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1095206400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",22.0,16.0,,,7.0,7.0,9.0,18.0,2.0,,,,,,81.0,39.0,6.3,17.0,0.00526684,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,11.0,4.0,,6.0,2.0,,1.0,,,2.0,1.0,,3.0,,,,2.0,2.0,,Luca Koleosho,,,,,,,,,,,,
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",6.0,6.0,,,3.0,3.0,3.0,3.0,2.0,,,,,,45.0,18.0,6.6,5.0,0.0036603,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,5.0,4.0,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,0.217,,,2.0,1.0,1.0,,,,,,,,,,,,,
Anass Zaroury,anass-zaroury,A. Zaroury,F,9,176,4183,M,877036,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,973555200,"{'value': 8300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنس زروري', 'hi': 'अनस ज़रौरी', 'bn': 'আনাস জারৌরি'}, 'shortNameTranslation': {'ar': 'أ. زروري', 'hi': 'ए. ज़रौरी', 'bn': 'এ. জারৌরি'}}",22.0,16.0,2.0,,8.0,11.0,8.0,13.0,4.0,,,,,,68.0,33.0,6.4,12.0,0.018681,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,10.0,2.0,3.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,3.0,0.0309,0.0673,zaroury,1.0,2.0,,,,,,,,,,,,,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",17.0,12.0,,,6.0,8.0,6.0,9.0,,,,,,,45.0,21.0,6.4,7.0,0.00279636,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,5.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,1.0,,,
Sander Berge,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",27.0,26.0,2.0,2.0,17.0,18.0,9.0,9.0,3.0,,,,,,30.0,36.0,6.8,2.0,0.00757147,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,2.0,,1.0,1.0,,2.0,,,,,1.0,,0.5495,0.1411,,,1.0,1.0,,,,,,,,,1.0,,,,
Jacob Bruun Larsen,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",14.0,12.0,,,6.0,7.0,6.0,7.0,1.0,,,,,,22.0,18.0,6.6,4.0,0.0213074,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mike Trésor,mike-tresor,M. Trésor,M,31,175,1098,M,826183,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,927849600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك تريزور', 'hi': 'माइक ट्रेसोर', 'bn': 'মাইক ট্রেসর'}, 'shortNameTranslation': {'ar': 'م. تريزور', 'hi': 'एम. ट्रेसोर', 'bn': 'এম. ট্রেসর'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,9.0,1.0,6.5,,0.00251337,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Redmond,nathan-redmond,N. Redmond,M,15,173,423,M,115346,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762912000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان ريدموند', 'hi': 'नाथन रेडमंड', 'bn': 'নাথান রেডমন্ড'}, 'shortNameTranslation': {'ar': 'ن. ريدموند', 'hi': 'एन. रेडमंड', 'bn': 'এন. রেডমন্ড'}}",2.0,,1.0,,,,,2.0,,,,,,,9.0,3.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Murić,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannes Delcroix,hannes-delcroix,H. Delcroix,D,44,185,5084,M,826169,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,920160000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هانيس ديلكروكس', 'hi': 'हेन्नेस डेलक्रोइक्स', 'bn': 'হ্যানেস ডেলক্রোইক্স'}, 'shortNameTranslation': {'ar': 'ه. ديلكروكس', 'hi': 'एच. डेलक्रोइक्स', 'bn': 'এইচ. ডেলক্রোইক্স'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Odobert,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
