name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,totalContest,wonContest,aerialWon,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,expectedGoals,lastManTackle,totalTackle,wonTackle,wasFouled,firstName,lastName,totalCross,bigChanceMissed,onTargetScoringAttempt,unsuccessfulTouch,expectedGoalsOnTarget,keyPass,accurateCross,challengeLost,dispossessed,fouls,hitWoodwork,bigChanceCreated,goals,goalAssist
Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,17613,M,RS1,920546,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,879811200,"{'value': 19900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبرت سانشيز', 'hi': 'रॉबर्ट सांचेज़', 'bn': 'রবার্ট সানচেজ'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'hi': 'आर. सांचेज़', 'bn': 'আর. সানচেজ'}}",23.0,12.0,14.0,3.0,10.0,16.0,2.0,7.0,1.0,6.0,1.0,3.0,3.0,2.0,2.0,90.0,33.0,6.6,11.0,0.00175981,"{'original': 6.6, 'alternative': 6.5}",0,-0.6176,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",65.0,61.0,1.0,,17.0,18.0,44.0,47.0,,2.0,,,,,,67.0,70.0,6.7,5.0,0.0593561,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",85.0,82.0,5.0,5.0,28.0,29.0,54.0,56.0,2.0,11.0,,,,,,90.0,93.0,7.3,3.0,0.109097,"{'original': 7.3, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,,2.0,1.0,1.0,1.0,1.0,0.0571,,,,,,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",69.0,60.0,6.0,3.0,19.0,24.0,41.0,45.0,2.0,6.0,,,,,,90.0,79.0,7.3,9.0,0.0310341,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,10.0,,,7.0,,,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",65.0,61.0,2.0,2.0,13.0,13.0,48.0,55.0,2.0,5.0,,,,,,81.0,97.0,7.7,9.0,0.0383367,"{'original': 7.7, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,5.0,,,2.0,,1.0,,2.0,0.592,,2.0,1.0,1.0,,,3.0,1.0,1.0,1.0,0.5039,1.0,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",84.0,74.0,6.0,4.0,20.0,21.0,56.0,69.0,1.0,5.0,,,,,,90.0,108.0,7.4,18.0,0.134595,"{'original': 7.4, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,10.0,6.0,4.0,4.0,,,,,1.0,0.0389,,1.0,,1.0,,,6.0,,1.0,1.0,0.2538,2.0,2.0,4.0,3.0,3.0,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",87.0,85.0,3.0,3.0,21.0,22.0,64.0,65.0,,5.0,,,,,,81.0,98.0,7.4,4.0,0.0829822,"{'original': 7.4, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,4.0,1.0,1.0,,,,,3.0,,,1.0,1.0,2.0,,,,,,2.0,,,,1.0,,3.0,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",34.0,33.0,,,4.0,4.0,29.0,32.0,1.0,2.0,,,,,,67.0,47.0,6.9,7.0,0.104801,"{'original': 6.9, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,6.0,1.0,1.0,1.0,,1.0,2.0,,,0.1211,,,,,,,2.0,,,2.0,,2.0,,1.0,2.0,2.0,1.0,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",86.0,74.0,7.0,5.0,12.0,12.0,63.0,78.0,,4.0,,,,,,90.0,102.0,7.8,20.0,0.562822,"{'original': 7.8, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,1.0,1.0,,,2.0,,,1.0,0.4405,,1.0,1.0,,,,4.0,1.0,,2.0,,4.0,1.0,,2.0,,,1.0,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",47.0,39.0,,,5.0,5.0,34.0,46.0,,4.0,,,,,,90.0,65.0,7.2,16.0,0.0656865,"{'original': 7.2, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,8.0,5.0,6.0,4.0,,1.0,1.0,,2.0,0.1323,,,,1.0,,,4.0,,,1.0,,1.0,,3.0,1.0,,,,,
