match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff,is_played
2026_15_KISVARDA_NYIREGYHAZA,2026,15,2026-11-28,,Kisvárda FC,Nyíregyháza Spartacus,,,,,False
2026_15_MTK_UJPEST,2026,15,2026-11-28,,MTK Budapest,Újpest FC,,,,,False
2026_15_PAKS_PUSKAS,2026,15,2026-11-28,,Paksi FC,Puskás Akadémia FC,,,,,False
2026_15_VASAS_HONVED,2026,15,2026-11-28,,Vasas FC,Budapest Honvéd FC,,,,,False
2026_15_FTC_ZTE,2026,15,2026-11-28,,Ferencvárosi TC,Zalaegerszegi TE FC,,,,,False
2026_16_PUSKAS_VASAS,2026,16,2026-12-05,,Puskás Akadémia FC,Vasas FC,,,,,False
2026_16_UJPEST_PAKS,2026,16,2026-12-05,,Újpest FC,Paksi FC,,,,,False
2026_16_NYIREGYHAZA_MTK,2026,16,2026-12-05,,Nyíregyháza Spartacus,MTK Budapest,,,,,False
2026_16_DVSC_KISVARDA,2026,16,2026-12-05,,Debreceni VSC,Kisvárda FC,,,,,False
2026_16_HONVED_FTC,2026,16,2026-12-05,,Budapest Honvéd FC,Ferencvárosi TC,,,,,False
2026_16_ZTE_ETO,2026,16,2026-12-05,,Zalaegerszegi TE FC,ETO FC,,,,,False
2026_17_ETO_KISVARDA,2026,17,2026-12-12,,ETO FC,Kisvárda FC,,,,,False
2026_17_MTK_DVSC,2026,17,2026-12-12,,MTK Budapest,Debreceni VSC,,,,,False
2026_17_PAKS_NYIREGYHAZA,2026,17,2026-12-12,,Paksi FC,Nyíregyháza Spartacus,,,,,False
2026_17_VASAS_UJPEST,2026,17,2026-12-12,,Vasas FC,Újpest FC,,,,,False
2026_17_FTC_PUSKAS,2026,17,2026-12-12,,Ferencvárosi TC,Puskás Akadémia FC,,,,,False
2026_17_ZTE_HONVED,2026,17,2026-12-12,,Zalaegerszegi TE FC,Budapest Honvéd FC,,,,,False
2026_18_NYIREGYHAZA_VASAS,2026,18,2026-12-19,,Nyíregyháza Spartacus,Vasas FC,,,,,False
2026_18_DVSC_PAKS,2026,18,2026-12-19,,Debreceni VSC,Paksi FC,,,,,False
2026_18_KISVARDA_MTK,2026,18,2026-12-19,,Kisvárda FC,MTK Budapest,,,,,False
2026_18_PUSKAS_ZTE,2026,18,2026-12-19,,Puskás Akadémia FC,Zalaegerszegi TE FC,,,,,False
2026_18_UJPEST_FTC,2026,18,2026-12-19,,Újpest FC,Ferencvárosi TC,,,,,False
2026_18_HONVED_ETO,2026,18,2026-12-19,,Budapest Honvéd FC,ETO FC,,,,,False
2026_19_ETO_MTK,2026,19,2027-01-30,,ETO FC,MTK Budapest,,,,,False
2026_19_PAKS_KISVARDA,2026,19,2027-01-30,,Paksi FC,Kisvárda FC,,,,,False
2026_19_VASAS_DVSC,2026,19,2027-01-30,,Vasas FC,Debreceni VSC,,,,,False
2026_19_FTC_NYIREGYHAZA,2026,19,2027-01-30,,Ferencvárosi TC,Nyíregyháza Spartacus,,,,,False
2026_19_ZTE_UJPEST,2026,19,2027-01-30,,Zalaegerszegi TE FC,Újpest FC,,,,,False
2026_19_HONVED_PUSKAS,2026,19,2027-01-30,,Budapest Honvéd FC,Puskás Akadémia FC,,,,,False
2026_20_KISVARDA_VASAS,2026,20,2027-02-06,,Kisvárda FC,Vasas FC,,,,,False
2026_20_MTK_PAKS,2026,20,2027-02-06,,MTK Budapest,Paksi FC,,,,,False
2026_20_UJPEST_HONVED,2026,20,2027-02-06,,Újpest FC,Budapest Honvéd FC,,,,,False
2026_20_NYIREGYHAZA_ZTE,2026,20,2027-02-06,,Nyíregyháza Spartacus,Zalaegerszegi TE FC,,,,,False
2026_20_DVSC_FTC,2026,20,2027-02-06,,Debreceni VSC,Ferencvárosi TC,,,,,False
2026_20_PUSKAS_ETO,2026,20,2027-02-06,,Puskás Akadémia FC,ETO FC,,,,,False
2026_21_ETO_PAKS,2026,21,2027-02-13,,ETO FC,Paksi FC,,,,,False
2026_21_VASAS_MTK,2026,21,2027-02-13,,Vasas FC,MTK Budapest,,,,,False
2026_21_FTC_KISVARDA,2026,21,2027-02-13,,Ferencvárosi TC,Kisvárda FC,,,,,False
2026_21_ZTE_DVSC,2026,21,2027-02-13,,Zalaegerszegi TE FC,Debreceni VSC,,,,,False
2026_21_HONVED_NYIREGYHAZA,2026,21,2027-02-13,,Budapest Honvéd FC,Nyíregyháza Spartacus,,,,,False
2026_21_PUSKAS_UJPEST,2026,21,2027-02-13,,Puskás Akadémia FC,Újpest FC,,,,,False
2026_22_PAKS_VASAS,2026,22,2027-02-20,,Paksi FC,Vasas FC,,,,,False
2026_22_NYIREGYHAZA_PUSKAS,2026,22,2027-02-20,,Nyíregyháza Spartacus,Puskás Akadémia FC,,,,,False
2026_22_DVSC_HONVED,2026,22,2027-02-20,,Debreceni VSC,Budapest Honvéd FC,,,,,False
2026_22_KISVARDA_ZTE,2026,22,2027-02-20,,Kisvárda FC,Zalaegerszegi TE FC,,,,,False
2026_22_MTK_FTC,2026,22,2027-02-20,,MTK Budapest,Ferencvárosi TC,,,,,False
2026_22_UJPEST_ETO,2026,22,2027-02-20,,Újpest FC,ETO FC,,,,,False
2026_23_VASAS_ETO,2026,23,2027-02-27,,Vasas FC,ETO FC,,,,,False
2026_23_PAKS_FTC,2026,23,2027-02-27,,Paksi FC,Ferencvárosi TC,,,,,False
2026_23_MTK_ZTE,2026,23,2027-02-27,,MTK Budapest,Zalaegerszegi TE FC,,,,,False
2026_23_KISVARDA_HONVED,2026,23,2027-02-27,,Kisvárda FC,Budapest Honvéd FC,,,,,False
2026_23_DVSC_PUSKAS,2026,23,2027-02-27,,Debreceni VSC,Puskás Akadémia FC,,,,,False
2026_23_NYIREGYHAZA_UJPEST,2026,23,2027-02-27,,Nyíregyháza Spartacus,Újpest FC,,,,,False
2026_24_UJPEST_DVSC,2026,24,2027-03-06,,Újpest FC,Debreceni VSC,,,,,False
2026_24_PUSKAS_KISVARDA,2026,24,2027-03-06,,Puskás Akadémia FC,Kisvárda FC,,,,,False
2026_24_HONVED_MTK,2026,24,2027-03-06,,Budapest Honvéd FC,MTK Budapest,,,,,False
2026_24_ZTE_PAKS,2026,24,2027-03-06,,Zalaegerszegi TE FC,Paksi FC,,,,,False
2026_24_FTC_VASAS,2026,24,2027-03-06,,Ferencvárosi TC,Vasas FC,,,,,False
2026_24_ETO_NYIREGYHAZA,2026,24,2027-03-06,,ETO FC,Nyíregyháza Spartacus,,,,,False
2026_25_VASAS_ZTE,2026,25,2027-03-13,,Vasas FC,Zalaegerszegi TE FC,,,,,False
2026_25_PAKS_HONVED,2026,25,2027-03-13,,Paksi FC,Budapest Honvéd FC,,,,,False
2026_25_MTK_PUSKAS,2026,25,2027-03-13,,MTK Budapest,Puskás Akadémia FC,,,,,False
2026_25_KISVARDA_UJPEST,2026,25,2027-03-13,,Kisvárda FC,Újpest FC,,,,,False
