name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelWon,totalContest,wonContest,bigChanceCreated,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,keyPass,aerialLost,duelLost,challengeLost,dispossessed,accurateCross,fouls,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,outfielderBlock,wonTackle,shotOffTarget,bigChanceMissed,goalAssist,penaltyWon,totalOffside,penaltyFaced,punches,penaltyConceded
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195.0,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",30.0,25.0,8.0,3.0,24.0,24.0,1.0,6.0,1.0,9.0,1.0,3.0,2.0,2.0,90.0,39.0,6.7,6.0,0.00014022,"{'original': 6.7, 'alternative': 6.4}",0,-0.6594,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183.0,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",71.0,65.0,5.0,3.0,31.0,34.0,34.0,38.0,1.0,5.0,,,,,90.0,88.0,7.1,8.0,0.257464,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185.0,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",82.0,77.0,5.0,2.0,54.0,55.0,23.0,27.0,1.0,,,,,,90.0,85.0,6.4,6.0,0.00924524,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186.0,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",45.0,38.0,8.0,5.0,27.0,29.0,11.0,16.0,1.0,,,,,,62.0,53.0,6.6,8.0,0.00955124,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,2.0,,,,,,,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
Álex Moreno,alex-moreno,Á. Moreno,D,24,179.0,1209,M,,294593,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,739497600,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",30.0,22.0,2.0,1.0,11.0,13.0,12.0,21.0,2.0,,,,,,90.0,48.0,6.7,15.0,0.223704,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,4.0,1.0,,,,1.0,2.0,3.0,2.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178.0,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",31.0,25.0,3.0,2.0,7.0,7.0,18.0,28.0,,3.0,,,,,89.0,46.0,7.2,16.0,0.1115,"{'original': 7.2, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,2.0,4.0,2.0,,,,1.0,,2.0,2.0,6.0,,2.0,,,1.0,2.0,1.0,0.153,0.2704,,,,,,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175.0,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",32.0,24.0,3.0,2.0,10.0,13.0,14.0,22.0,2.0,9.0,,,,,90.0,49.0,6.9,13.0,0.0320457,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,2.0,7.0,1.0,1.0,,,3.0,,1.0,1.0,5.0,12.0,2.0,2.0,,3.0,1.0,1.0,,0.1212,0.221,1.0,1.0,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175.0,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",44.0,40.0,2.0,,20.0,20.0,20.0,28.0,,2.0,,,,,90.0,61.0,7.5,9.0,0.0448775,"{'original': 7.5, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,5.0,1.0,,,2.0,2.0,,2.0,1.0,2.0,3.0,,,,1.0,2.0,1.0,1.0,0.9571,1.0248,,1.0,1.0,,,,,,,
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180.0,3079,M,,975937,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,991008000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب رامزي', 'hi': 'जैकब रैमसे', 'bn': 'জ্যাকব রামসে'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'hi': 'जे. रैमसे', 'bn': 'জে. রামসে'}}",22.0,17.0,1.0,,6.0,8.0,11.0,15.0,1.0,5.0,,,,,90.0,39.0,6.6,9.0,0.276397,"{'original': 6.6, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,5.0,4.0,2.0,,,1.0,,2.0,2.0,,4.0,1.0,1.0,,,,1.0,,0.3452,,,1.0,1.0,1.0,,,,,,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",21.0,18.0,,,4.0,4.0,14.0,17.0,,,,,,,82.0,35.0,8.0,6.0,0.0765183,"{'original': 8, 'alternative': 7.7}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,4.0,,1.0,,2.0,2.0,,1.0,1.4676,1.0426,,1.0,4.0,,,,,,,
