margin_pct,max_odds,bets,pnl,roi,hit_rate,avg_odds
5.0,6.0,35,25200.0,72.0,40.0,4.69142857142857
5.0,8.0,82,7100.0,8.658536585365853,21.951219512195124,6.15609756097561
5.0,12.0,241,-44400.0,-18.423236514522824,11.618257261410788,8.709128630705395
5.0,99.0,798,-215000.0,-26.94235588972431,5.639097744360902,22.29736842105263
10.0,6.0,26,17200.0,66.15384615384615,38.46153846153847,4.665384615384616
10.0,8.0,58,-400.0,-0.6896551724137931,20.689655172413794,6.112068965517242
10.0,12.0,168,-33600.0,-20.0,11.30952380952381,8.73392857142857
10.0,99.0,605,-119000.0,-19.669421487603305,5.619834710743802,23.810909090909096
15.0,6.0,20,10300.0,51.5,35.0,4.545
15.0,8.0,47,-2300.0,-4.8936170212765955,19.148936170212767,6.087234042553191
15.0,12.0,117,-16900.0,-14.444444444444443,11.965811965811966,8.41025641025641
15.0,99.0,435,-47400.0,-10.896551724137932,5.747126436781609,24.322528735632183
20.0,6.0,15,9700.0,64.66666666666666,40.0,4.506666666666667
20.0,8.0,34,5100.0,15.0,23.52941176470588,6.038235294117647
20.0,12.0,77,5900.0,7.662337662337662,15.584415584415584,8.222077922077922
20.0,99.0,275,-16600.0,-6.036363636363636,7.2727272727272725,24.43309090909091
