margin_pct,max_odds,bets,pnl,roi,hit_rate,avg_odds
5.0,6.0,26,9800.0,37.69230769230769,30.76923076923077,4.834615384615384
5.0,8.0,80,2900.0,3.6249999999999996,18.75,6.39875
5.0,12.0,237,-68100.0,-28.73417721518987,9.70464135021097,8.810126582278482
5.0,99.0,763,-207700.0,-27.22149410222805,5.242463958060288,22.409174311926613
10.0,6.0,19,1900.0,10.0,26.31578947368421,4.773684210526317
10.0,8.0,63,-8200.0,-13.015873015873018,15.873015873015872,6.41111111111111
10.0,12.0,183,-52100.0,-28.469945355191257,9.289617486338798,8.808196721311475
10.0,99.0,657,-139700.0,-21.263318112633183,5.175038051750381,23.666818873668188
15.0,6.0,12,4300.0,35.833333333333336,33.33333333333333,4.7
15.0,8.0,45,-1000.0,-2.2222222222222223,17.77777777777778,6.4688888888888885
15.0,12.0,140,-19900.0,-14.214285714285715,10.714285714285714,8.90857142857143
15.0,99.0,562,-89500.0,-15.92526690391459,5.338078291814947,24.68185053380783
20.0,6.0,7,700.0,10.0,28.57142857142857,4.471428571428571
20.0,8.0,32,3400.0,10.625,18.75,6.51875
20.0,12.0,107,-16200.0,-15.14018691588785,10.2803738317757,9.067289719626169
20.0,99.0,476,-49900.0,-10.483193277310924,5.2521008403361344,25.82331932773109
