race_id,date,distance,track_quality,temperature,horse_id,driver_id,h_win_rate,h_top_3_rate,h_avg_percentile,h_avg_speed,h_best_speed,h_speed_ratio,h_points_l5,h_top3_l3,h_total_prize,h_days_since,h_win_rate_l5,h_top_3_rate_l5,h_avg_percentile_l5,h_avg_speed_l5,d_win_rate,d_top_3_rate,hd_pair_runs,win,market_odds,horse_name,prob,prob_norm,fair_odds,is_value,pnl
18775,2025-12-31,1900.0,0,0.0,7113,138,0.0,0.5,0.3125,11.521976045440123,11.641443538998836,0.9897377423033066,3,0.5,40000.0,365,0.0,0.5,0.3125,11.521976045440123,0.1286654697785757,0.3774187113504887,0,1,,Gombóc Artúr,0.10220498343308766,1.0,1.0,False,0.0
18774,2025-12-31,1800.0,0,0.0,7419,28,0.5,1.0,0.25,10.48938362226784,10.76426264800861,0.9744637385086824,8,1.0,0.0,18,0.5,1.0,0.25,10.48938362226784,0.1417090811679614,0.3964639699973212,0,1,,Habibi,0.14022529621918997,0.3715333175899432,2.6915486516439096,False,0.0
18774,2025-12-31,1800.0,0,0.0,7344,860,0.05,0.15,0.5,12.384114774190897,12.870977597996305,1.0,0,0.0,0.0,100,0.05,0.15,0.5,11.96595838101353,0.1586516853932584,0.4206741573033707,0,0,,Highland Fling,0.23719791074593863,0.6284666824100569,1.5911742467638532,False,0.0
18776,2025-12-31,1900.0,0,0.0,7144,138,0.2,0.8,0.8618181818181817,12.304910463018032,12.57861635220126,0.9782403818099336,14,0.6666666666666666,400000.0,249,0.2,0.8,0.8618181818181817,12.304910463018032,0.1286654697785757,0.3774187113504887,0,1,2.9,Giadaz,0.14022529621918997,0.13676378779678985,7.311877040769356,False,0.0
18776,2025-12-31,1900.0,0,0.0,7480,23,0.0,0.0,0.2083333333333333,12.649931958572068,13.0718954248366,0.9780302208627843,0,0.0,464236.0,201,0.0,0.0,0.2,12.78470876944816,0.0822324076570504,0.3176058236721488,0,0,9.7,Mon Cherie C.G.,0.10103489210208257,0.09854081193682501,10.148079565663664,False,0.0
18776,2025-12-31,1900.0,0,0.0,7192,33,0.2142857142857142,0.3571428571428571,0.423088023088023,11.96514264312123,12.453300124533,0.8932323663517635,8,0.6666666666666666,350000.0,365,0.2,0.4,0.3,11.123690739125324,0.1041469418670706,0.3380041658776747,0,0,4.0,Grófnő R.,0.1011361653606097,0.09863958523103182,10.137917730065658,False,0.0
18776,2025-12-31,1900.0,0,0.0,7371,91,0.3333333333333333,0.5,0.6466329966329966,12.181123834109366,12.515644555694616,0.9679261532144062,12,0.3333333333333333,455000.0,102,0.4,0.4,0.5981818181818181,12.114219689792318,0.0949236483697895,0.3231531159719356,0,0,2.5,Tequila,0.12910539905230203,0.12591838901740568,7.94165179370084,False,0.0
18776,2025-12-31,1900.0,0,0.0,7125,2139,0.0,0.3333333333333333,0.4196873496873497,12.132610184464722,12.515644555694616,0.9571730540643988,4,0.6666666666666666,395000.0,312,0.0,0.4,0.2611111111111111,11.979637722958682,0.0634146341463414,0.2341463414634146,0,0,19.1,Florenza,0.11700738469759624,0.11411901820072225,8.762781311710155,False,0.0
18776,2025-12-31,1900.0,0,0.0,7242,2237,0.0,0.3333333333333333,0.5632034632034633,12.294369520579522,12.853470437017997,0.949647674756704,8,0.6666666666666666,310000.0,365,0.0,0.6,0.5726984126984127,12.206268313068176,0.2340425531914893,0.4680851063829787,0,0,17.3,Golden Rose OZ,0.09534592181444168,0.09299227578693536,10.75358132207892,False,0.0
18776,2025-12-31,1900.0,0,0.0,7325,2125,0.0,0.3,0.298030303030303,11.956603810626516,12.254901960784316,0.9603925693179411,8,1.0,110000.0,213,0.0,0.6,0.3227272727272727,11.769516780857124,0.0223463687150838,0.1452513966480447,0,0,38.3,Great Fille,0.13982926309108734,0.13637753087915308,7.33258619329397,False,0.0
18776,2025-12-31,1900.0,0,0.0,7086,1854,0.0689655172413793,0.1724137931034483,0.2612977061252923,11.99387252386108,12.674271229404308,0.9142526071842412,5,0.3333333333333333,570000.0,365,0.2,0.2,0.2,11.587485515643106,0.0376914016489988,0.1531213191990577,0,0,31.6,Fakta,0.06539200494686763,0.06377778139388336,15.679441619709673,False,0.0
18776,2025-12-31,1900.0,0,0.0,7358,1791,0.2857142857142857,0.5714285714285714,0.5733766233766234,12.551021766039256,12.57861635220126,0.997074973866828,13,0.6666666666666666,435000.0,179,0.4,0.6,0.6527272727272727,12.541823570651925,0.1692307692307692,0.3794871794871794,0,0,4.7,Fiona May,0.13623379667599997,0.1328708197572535,7.526106949794816,False,0.0
