strategy,bet_num,bankroll
A. Flat (1000 Ft) | Edge 5%,73,107174.09999999999
A. Flat (1000 Ft) | Edge 5%,74,106102.09999999999
A. Flat (1000 Ft) | Edge 5%,75,105041.09999999999
A. Flat (1000 Ft) | Edge 5%,76,103991.09999999999
A. Flat (1000 Ft) | Edge 5%,77,102951.09999999999
A. Flat (1000 Ft) | Edge 5%,78,101921.09999999999
A. Flat (1000 Ft) | Edge 5%,79,108952.2
A. Flat (1000 Ft) | Edge 5%,80,107862.2
A. Flat (1000 Ft) | Edge 5%,81,106783.2
A. Flat (1000 Ft) | Edge 5%,82,105715.2
A. Flat (1000 Ft) | Edge 5%,83,104658.2
A. Flat (1000 Ft) | Edge 5%,84,103611.2
A. Flat (1000 Ft) | Edge 5%,85,102575.2
A. Flat (1000 Ft) | Edge 5%,86,101549.2
A. Flat (1000 Ft) | Edge 5%,87,100534.2
A. Flat (1000 Ft) | Edge 5%,88,99529.2
A. Flat (1000 Ft) | Edge 5%,89,98534.2
A. Flat (1000 Ft) | Edge 5%,90,97549.2
A. Flat (1000 Ft) | Edge 5%,91,96574.2
B. Full Kelly | Edge 5%,1,99126.0
B. Full Kelly | Edge 5%,2,97950.0
B. Full Kelly | Edge 5%,3,95385.0
B. Full Kelly | Edge 5%,4,85665.0
B. Full Kelly | Edge 5%,5,76242.0
B. Full Kelly | Edge 5%,6,88417.8
B. Full Kelly | Edge 5%,7,80262.8
B. Full Kelly | Edge 5%,8,92774.6
B. Full Kelly | Edge 5%,9,88987.6
B. Full Kelly | Edge 5%,10,105764.40000000001
B. Full Kelly | Edge 5%,11,103309.40000000001
B. Full Kelly | Edge 5%,12,100950.40000000001
B. Full Kelly | Edge 5%,13,99924.40000000001
B. Full Kelly | Edge 5%,14,90344.40000000001
B. Full Kelly | Edge 5%,15,134383.0
B. Full Kelly | Edge 5%,16,193671.4
B. Full Kelly | Edge 5%,17,205553.9
B. Full Kelly | Edge 5%,18,182698.9
B. Full Kelly | Edge 5%,19,179868.9
B. Full Kelly | Edge 5%,20,177002.9
B. Full Kelly | Edge 5%,21,169454.9
B. Full Kelly | Edge 5%,22,165912.9
B. Full Kelly | Edge 5%,23,161917.9
B. Full Kelly | Edge 5%,24,160485.9
B. Full Kelly | Edge 5%,25,157220.9
B. Full Kelly | Edge 5%,26,149423.9
B. Full Kelly | Edge 5%,27,145253.9
B. Full Kelly | Edge 5%,28,138880.9
B. Full Kelly | Edge 5%,29,161521.69999999998
B. Full Kelly | Edge 5%,30,158212.69999999998
B. Full Kelly | Edge 5%,31,152934.69999999998
B. Full Kelly | Edge 5%,32,145003.69999999998
B. Full Kelly | Edge 5%,33,141001.69999999998
B. Full Kelly | Edge 5%,34,139103.69999999998
B. Full Kelly | Edge 5%,35,137426.69999999998
B. Full Kelly | Edge 5%,36,200838.9
B. Full Kelly | Edge 5%,37,198641.9
B. Full Kelly | Edge 5%,38,176901.9
B. Full Kelly | Edge 5%,39,191674.9
B. Full Kelly | Edge 5%,40,172919.9
B. Full Kelly | Edge 5%,41,170097.9
B. Full Kelly | Edge 5%,42,166569.9
B. Full Kelly | Edge 5%,43,149459.9
B. Full Kelly | Edge 5%,44,130389.9
B. Full Kelly | Edge 5%,45,127900.9
B. Full Kelly | Edge 5%,46,172925.69999999998
B. Full Kelly | Edge 5%,47,159663.69999999998
B. Full Kelly | Edge 5%,48,155941.69999999998
B. Full Kelly | Edge 5%,49,151284.69999999998
B. Full Kelly | Edge 5%,50,145754.69999999998
B. Full Kelly | Edge 5%,51,183640.19999999998
B. Full Kelly | Edge 5%,52,178082.19999999998
B. Full Kelly | Edge 5%,53,159335.19999999998
B. Full Kelly | Edge 5%,54,136176.19999999998
B. Full Kelly | Edge 5%,55,130851.19999999998
B. Full Kelly | Edge 5%,56,126299.19999999998
B. Full Kelly | Edge 5%,57,124956.19999999998
B. Full Kelly | Edge 5%,58,121168.19999999998
B. Full Kelly | Edge 5%,59,116293.19999999998
B. Full Kelly | Edge 5%,60,112574.19999999998
B. Full Kelly | Edge 5%,61,110540.19999999998
B. Full Kelly | Edge 5%,62,107676.19999999998
B. Full Kelly | Edge 5%,63,125154.19999999998
B. Full Kelly | Edge 5%,64,122363.19999999998
B. Full Kelly | Edge 5%,65,120910.19999999998
B. Full Kelly | Edge 5%,66,114417.19999999998
B. Full Kelly | Edge 5%,67,123217.99999999999
B. Full Kelly | Edge 5%,68,120825.99999999999
B. Full Kelly | Edge 5%,69,164422.9
B. Full Kelly | Edge 5%,70,151228.9
B. Full Kelly | Edge 5%,71,147168.9
B. Full Kelly | Edge 5%,72,141580.9
B. Full Kelly | Edge 5%,73,135566.9
B. Full Kelly | Edge 5%,74,122345.9
B. Full Kelly | Edge 5%,75,113879.9
B. Full Kelly | Edge 5%,76,111880.9
