name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelLost,duelWon,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalContest,wonContest,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialLost,bigChanceMissed,outfielderBlock,interceptionWon,totalCross,dispossessed,keyPass,firstName,lastName,errorLeadToAGoal,accurateCross,bigChanceCreated,onTargetScoringAttempt,goals,fouls,blockedScoringAttempt,sofascoreId,hitWoodwork,totalOffside,goalAssist,goodHighClaim,errorLeadToAShot
Neto,neto,Neto,G,22,190,5304,M,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",31.0,12.0,28.0,9.0,5.0,7.0,7.0,24.0,,1.0,,,,10.0,4.0,6.0,,90.0,42.0,7.1,19.0,0.0,0.0,0.0023525,"{'original': 7.1, 'alternative': 6.9}",0,-0.4644,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,,,,,,,,,,,,,,,,1.0,,Neto_Murara,,,,1.0,
Max Aarons,max-aarons,M. Aarons,D,3,178,1292,M,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",24.0,15.0,3.0,1.0,10.0,14.0,5.0,10.0,,5.0,10.0,,1.0,4.0,,,,90.0,50.0,7.0,15.0,0.0,0.0,0.00650349,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,6.0,4.0,2.0,3.0,4.0,,1.0,,,,,,,,,,,,1.0,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",34.0,24.0,5.0,1.0,12.0,16.0,12.0,18.0,3.0,3.0,5.0,,3.0,6.0,,,,90.0,47.0,6.5,13.0,0.0,0.0,0.00402259,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,1.0,2.0,,2.0,,1.0,,,1.0,,,,,,,,,,,IlliaZabarnyi,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",40.0,29.0,12.0,4.0,12.0,16.0,17.0,24.0,,6.0,2.0,2.0,6.0,5.0,,,,90.0,53.0,6.3,15.0,0.0,0.0,0.168994,"{'original': 6.3, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,1.0,,3.0,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,1.0
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",21.0,15.0,4.0,1.0,6.0,8.0,10.0,16.0,2.0,3.0,8.0,,5.0,2.0,,,,90.0,49.0,6.3,11.0,0.0,0.0,0.0610933,"{'original': 6.3, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,2.0,,1.0,2.0,,,,3.0,,1.0,Milos,Kerkez,1.0,1.0,,,,1.0,,miloskerkez,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",29.0,24.0,2.0,1.0,8.0,8.0,16.0,22.0,2.0,3.0,6.0,,2.0,2.0,,,,87.0,43.0,7.6,8.0,0.144,0.1199,0.0159362,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,4.0,2.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,2.0,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",45.0,36.0,4.0,,15.0,16.0,21.0,32.0,1.0,4.0,4.0,1.0,,8.0,,,,90.0,55.0,6.4,15.0,0.0,0.0,0.0141088,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,1.0,1.0,,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",15.0,12.0,,,5.0,5.0,7.0,10.0,2.0,5.0,2.0,,1.0,6.0,,,,60.0,27.0,6.1,9.0,0.1798,0.0917,0.00462133,"{'original': 6.1, 'alternative': 6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,antoinesemenyo42,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",33.0,28.0,2.0,1.0,7.0,11.0,22.0,25.0,3.0,6.0,7.0,,3.0,6.0,,,,90.0,51.0,7.1,9.0,0.0756,0.0,0.0357235,"{'original': 7.1, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,2.0,3.0,1.0,,,4.0,,,1.0,3.0,,2.0,,,,1.0,,,,,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",14.0,10.0,1.0,1.0,5.0,7.0,5.0,8.0,1.0,13.0,5.0,1.0,,3.0,,,,71.0,29.0,6.0,12.0,0.0555,0.0,0.0305188,"{'original': 6, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,,2.0,1.0,,2.0,3.0,,,,1.0,2.0,1.0,,,,,,,,4.0,1.0,justinkluivert,,1.0,,,
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",14.0,13.0,,,5.0,5.0,8.0,10.0,1.0,10.0,1.0,,3.0,2.0,,,,90.0,41.0,6.6,18.0,0.6226,0.9544,0.0203288,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,,,,9.0,,4.0,1.0,,,1.0,3.0,1.0,,,,,,2.0,1.0,1.0,,Dom_Solanke,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",4.0,2.0,1.0,,2.0,4.0,,,,,1.0,,2.0,3.0,,,,30.0,11.0,7.3,3.0,1.0088,0.8839,3.69e-05,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",4.0,2.0,,,1.0,2.0,1.0,2.0,,,,,,2.0,,,,19.0,6.0,7.0,3.0,0.0,0.0,0.281986,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",2.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,,,2.0,,,,,10.0,5.0,6.6,,0.0,0.0,0.00090085,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Ionuț Radu,ionut-radu,I. Radu,G,13,188,3307,M,815202,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,864777600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيونوت رادو', 'hi': 'इओनुट राडू', 'bn': 'আয়নাট রাডু'}, 'shortNameTranslation': {'ar': 'إ. رادو', 'hi': 'आई. राडू', 'bn': 'আই. রাদু'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Rothwell,joe-rothwell,J. Rothwell,M,6,185,269,M,190853,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789782400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو روثويل', 'hi': 'जो रोथवेल', 'bn': 'জো রথওয়েল'}, 'shortNameTranslation': {'ar': 'ج. روثويل', 'hi': 'जे. रोथवेल', 'bn': 'জে. রথওয়েল'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Kilkenny,gavin-kilkenny,G. Kilkenny,M,18,175,127,M,989345,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,949363200,"{'value': 340000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جافين كيلكيني', 'hi': 'गैविन किलकेनी', 'bn': 'গ্যাভিন কিলকেনি'}, 'shortNameTranslation': {'ar': 'ج. كيلكيني', 'hi': 'जी. किलकेनी', 'bn': 'জি. কিলকেনি'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamed Junior Traorè,hamed-junior-traore,H. J. Traorè,M,20,177,2881,M,892924,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,950659200,"{'value': 14100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'حامد جونيور تراوري', 'hi': 'हामेद जूनियर ट्राओरे', 'bn': 'হামেদ জুনিয়র ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ح. ج. تراوري', 'hi': 'एच.जे. जूनियर', 'bn': 'এইচ. জে. ট্রাওরে'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieffer Moore,kieffer-moore,K. Moore,F,19,195,1406,M,298366,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,713232000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفر مور', 'hi': 'किफ़र मूर', 'bn': 'কিফার মুর'}, 'shortNameTranslation': {'ar': 'ك. مور', 'hi': 'के. मूर', 'bn': 'কে. মুর'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
