name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,dispossessed,bigChanceCreated,shotOffTarget,clearanceOffLine,outfielderBlock,totalTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,interceptionWon,wonTackle,firstName,lastName,totalCross,accurateCross,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,hitWoodwork,sofascoreId,blockedScoringAttempt,bigChanceMissed,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",37.0,21.0,22.0,6.0,16.0,17.0,5.0,20.0,,,,,,,12.0,,1.0,3.0,90.0,47.0,6.4,16.0,0.00067269,"{'original': 6.4, 'alternative': 6.4}",0,-0.3692,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,dj.petrovic12,,,,1.0,1.0
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",61.0,55.0,5.0,4.0,30.0,33.0,25.0,28.0,3.0,6.0,,,,3.0,7.0,,,,90.0,77.0,7.6,7.0,0.00717356,"{'original': 7.6, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,,1.0,,,2.0,1.0,3.0,1.0,0.2782,,3.0,,,,,,1.0,1.0,0.2073,,,axel_disasi,,,,,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",70.0,60.0,5.0,1.0,43.0,48.0,17.0,22.0,4.0,3.0,,,,2.0,7.0,,,,90.0,76.0,6.5,10.0,0.00771727,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,yungchalobah,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",71.0,56.0,9.0,2.0,26.0,32.0,30.0,39.0,1.0,7.0,,,,6.0,1.0,,,,79.0,93.0,6.9,19.0,0.0187397,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,,,,1.0,3.0,2.0,1.0,1.0,,,,3.0,,,,,,,,,,LColwill,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",63.0,54.0,1.0,1.0,19.0,20.0,37.0,48.0,6.0,6.0,,4.0,2.0,,5.0,,,,90.0,93.0,7.4,16.0,0.220246,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,,,,,,3.0,,1.0,2.0,,3.0,,2.0,,,5.0,2.0,,,,1.0,,malogst,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",74.0,64.0,1.0,1.0,13.0,15.0,51.0,61.0,3.0,9.0,1.0,2.0,2.0,,9.0,,,,90.0,100.0,7.4,20.0,0.0462687,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,,,,,5.0,7.0,1.0,2.0,0.0344,3.0,,3.0,,,2.0,,,,,,,conorgallagher92,1.0,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",78.0,70.0,3.0,2.0,29.0,33.0,41.0,45.0,5.0,9.0,,2.0,1.0,3.0,8.0,,,,90.0,99.0,7.1,13.0,0.0285283,"{'original': 7.1, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,1.0,,,,1.0,7.0,1.0,,1.0,,,,2.0,,,,,,,,,,MoisesCaicedo55,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",53.0,52.0,3.0,3.0,25.0,25.0,28.0,29.0,6.0,3.0,,1.0,,,2.0,,,,71.0,71.0,7.5,8.0,0.698244,"{'original': 7.5, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,3.0,1.0,2.0,,,3.0,2.0,,,0.0983,4.0,,3.0,,,1.0,1.0,,,,,,Enzo8,1.0,,1.0,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",61.0,50.0,5.0,,18.0,23.0,32.0,41.0,4.0,3.0,,2.0,1.0,2.0,3.0,,,,90.0,81.0,6.6,17.0,0.0133103,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,1.0,,,1.0,,,1.0,1.0,,1.0,0.0897,1.0,,,,,3.0,,,,,,,Chilly,1.0,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",48.0,45.0,1.0,1.0,9.0,9.0,38.0,42.0,5.0,3.0,,6.0,2.0,,5.0,,,,90.0,70.0,7.7,12.0,0.421426,"{'original': 7.7, 'alternative': 7.6}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,2.0,,,,3.0,1.0,,0.3011,2.0,1.0,,,,3.0,2.0,2.0,,0.5041,1.0,,ColdPalmer,2.0,,1.0,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",13.0,8.0,,,1.0,1.0,7.0,12.0,6.0,5.0,1.0,1.0,1.0,,,,,,90.0,28.0,7.2,11.0,0.175131,"{'original': 7.2, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,3.0,3.0,,,,,1.0,3.0,,1.0,1.0105,,,,Nicolas Jackson,,,,3.0,1.0,0.4975,,,NJackson11,,1.0,2.0,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",5.0,5.0,,,,,5.0,6.0,1.0,2.0,,,,,,,,,19.0,8.0,6.7,2.0,0.00194229,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,MMudryk10,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",8.0,5.0,,,1.0,2.0,4.0,8.0,4.0,3.0,,4.0,1.0,,2.0,,,,11.0,20.0,6.5,9.0,0.0222546,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,2.0,,,,,,,Sterling7,,,,,
Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,17613,M,920546,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,879811200,"{'value': 19900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبرت سانشيز', 'hi': 'रॉबर्ट सांचेज़', 'bn': 'রবার্ট সানচেজ'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'hi': 'आर. सांचेज़', 'bn': 'আর. সানচেজ'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,RS1,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,ThiagoSilva,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4501,M,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,cucurella3,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,nonzinoo10,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,cesarecasadei,,,,,
Jimi Tauriainen,jimi-tauriainen,J. Tauriainen,M,42,188,628,M,1391111,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1078790400,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي توريانين'}, 'shortNameTranslation': {'ar': 'ج. توريانين'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,Jimi Tauriainen,,,,,,,,,,,,,,
