asset_id,breeder,breeder_id,date,distance,driver_jockey,driver_jockey_id,first_prize,first_prize_currency,form_id,km_time,placement,prize,race,race_id,stable,stable_id,start_type,track,track_id,trainer,trainer_id,yearly
549,"Földi Ottó, Bugyi",1025,2026.02.07,1900,Dukai Tamás,2271,0.0,HUF,462647,1:21.8,1.,0.0,PRÓBAFUTAM,18786,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,1
549,"Földi Ottó, Bugyi",1025,2025.08.02,1900,Dukai Tamás,2271,300000.0,HUF,460376,1:19.8,III.,72000.0,2025. ÉVI SEGÉDHAJTÓ KUPA IV. FUTAMA HENDIKEP,18595,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,164
437,"Földi Ottó, Bugyi",1025,2025.06.07,2400,Erdei Péter,2100,300000.0,HUF,459871,1:24.5,7táv.,0.0,RADIUM BOY DÍJ,18544,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,132
549,"Földi Ottó, Bugyi",1025,2025.05.10,1980,Dukai Tamás,2271,350000.0,HUF,459572,1:18.1,II.,175000.0,MATUCZA LAJOS EMLÉKVERSENY,18510,Földi Ottó úr lova,218,volte,Budapest-Kincsem Park,67,Angyal A.,657,105
340,"Földi Ottó, Bugyi",1025,2025.05.03,1960,Angyal Andor,1509,300000.0,HUF,459384,1:18.7,V.,30000.0,UP STAR DÍJ,18502,Földi Ottó úr lova,218,volte,Budapest-Kincsem Park,67,Angyal A.,657,94
549,"Földi Ottó, Bugyi",1025,2025.04.05,1960,Dukai Tamás,2271,300000.0,HUF,458976,0:00.0,gal.,0.0,LIL DÍJ,18469,Földi Ottó úr lova,218,volte,Budapest-Kincsem Park,67,Angyal A.,657,73
340,"Földi Ottó, Bugyi",1025,2025.02.22,1980,Angyal Andor,1509,300000.0,HUF,458406,1:18.4,V.,30000.0,DERENGŐ DÍJ,18419,Földi Ottó úr lova,218,volte,Budapest-Kincsem Park,67,Angyal A.,657,33
549,"Földi Ottó, Bugyi",1025,2025.02.08,1900,Dukai Tamás,2271,300000.0,HUF,458291,1:16.9,III.,72000.0,DARTH VADER DÍJ,18409,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,19
549,"Földi Ottó, Bugyi",1025,2024.12.31,1800,Dukai Tamás,2271,400000.0,HUF,457930,1:17.9,V.,40000.0,NEMZETIUTDIJ.HU DÍJ,18377,Földi Ottó úr lova,218,auto,Budapest-Kincsem Park,67,Angyal A.,657,325
549,"Földi Ottó, Bugyi",1025,2024.11.23,1980,Dukai Tamás,2271,300000.0,HUF,457503,1:22.2,IV.,48000.0,TÖRÖK LÁSZLÓ EMLÉKVERSENY,18336,Földi Ottó úr lova,218,volte,Budapest-Kincsem Park,67,Angyal A.,657,296
