minute,value
1.0,-4
2.0,-2
3.0,-2
4.0,4
5.0,5
6.0,23
7.0,12
8.0,-21
9.0,57
10.0,23
11.0,13
12.0,-10
13.0,-10
14.0,-19
15.0,-59
16.0,-28
17.0,32
18.0,52
19.0,27
20.0,16
21.0,-44
22.0,-23
23.0,-98
24.0,-82
25.0,-52
26.0,-26
27.0,62
28.0,35
29.0,26
30.0,11
31.0,-37
32.0,-20
33.0,-10
34.0,89
35.0,53
36.0,78
37.0,86
38.0,18
39.0,6
40.0,12
41.0,-21
42.0,-9
43.0,-27
44.0,-76
45.0,-78
45.5,-5
46.0,5
47.0,6
48.0,26
49.0,100
50.0,57
51.0,44
52.0,27
53.0,15
54.0,3
55.0,50
56.0,59
57.0,36
58.0,-26
59.0,-2
60.0,-5
61.0,-1
62.0,23
63.0,16
64.0,87
65.0,71
66.0,43
67.0,29
68.0,-33
69.0,41
70.0,-19
71.0,-34
72.0,-23
73.0,-18
74.0,-63
75.0,-40
76.0,-30
77.0,-14
78.0,-38
79.0,-15
80.0,-6
81.0,-5
82.0,20
83.0,7
84.0,1
85.0,-2
86.0,-8
87.0,-10
88.0,-9
89.0,-9
90.0,-3
90.5,46
