name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName,sofascoreId
James Garner,james-garner,J. Garner,M,37,2524,M,927361,"{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",True,miss,assisted,left-foot,90,5774,374,,12.9,57.9,0,50.9,68.1,,,
Youssef Chermiti,youssef-chermiti,Y. Chermiti,F,9,1566,M,1145627,"{'nameTranslation': {'ar': 'يوسف شرميطي', 'hi': 'यूसुफ़ चेरमीटी', 'bn': 'ইউসুফ চেরমিতি'}, 'shortNameTranslation': {'ar': 'ي. شرميطي', 'hi': 'वाई. चेरमीटी', 'bn': 'ওয়াই. চেরমিতি'}}",True,save,assisted,left-foot,90,5698,298,,7.8,34.5,0,52.9,3.2,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,1022,M,837495,"{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",False,miss,regular,head,89,5315,2615,,14.5,48.7,0,54.6,65.3,,,
Anis Ben Slimane,anis-ben-slimane,A. B. Slimane,M,20,2213,M,1006147,"{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",False,block,regular,right-foot,89,5313,2613,,13.5,39.8,0,50.2,19.0,,,
Youssef Chermiti,youssef-chermiti,Y. Chermiti,F,9,1566,M,1145627,"{'nameTranslation': {'ar': 'يوسف شرميطي', 'hi': 'यूसुफ़ चेरमीटी', 'bn': 'ইউসুফ চেরমিতি'}, 'shortNameTranslation': {'ar': 'ي. شرميطي', 'hi': 'वाई. चेरमीटी', 'bn': 'ওয়াই. চেরমিতি'}}",True,miss,assisted,right-foot,87,5166,2466,,15.0,70.2,0,43.0,43.1,,,
Cameron Archer,cameron-archer,C. Archer,F,19,1000,M,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",False,miss,assisted,right-foot,80,4788,2088,,24.6,52.0,0,60.3,5.6,,,
James Garner,james-garner,J. Garner,M,37,2524,M,927361,"{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",True,miss,assisted,right-foot,78,4623,1923,,18.3,73.7,0,58.2,2.8,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,1022,M,837495,"{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",False,block,regular,right-foot,74,4403,1703,,25.2,43.1,0,51.3,19.0,,,
Jack Robinson,jack-robinson,J. Robinson,D,6,180,M,98454,"{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",False,miss,assisted,left-foot,72,4267,1567,,10.8,28.2,0,37.6,12.5,,,
Ben Brereton Díaz,ben-brereton-diaz,B. Brereton Díaz,M,25,6193,M,867583,"{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",False,miss,assisted,head,65,3893,1193,,7.0,53.0,0,60.0,9.7,,,ben.brereton
Jayden Bogle,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",False,block,corner,right-foot,59,3486,786,,25.6,40.1,0,50.4,19.0,,,
Ben Brereton Díaz,ben-brereton-diaz,B. Brereton Díaz,M,25,6193,M,867583,"{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",False,block,assisted,right-foot,58,3465,765,,9.0,36.1,0,53.9,19.0,,,ben.brereton
Cameron Archer,cameron-archer,C. Archer,F,19,1000,M,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",False,block,assisted,left-foot,58,3425,725,,20.0,45.6,0,54.0,19.0,,,
Ben Brereton Díaz,ben-brereton-diaz,B. Brereton Díaz,M,25,6193,M,867583,"{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",False,miss,assisted,right-foot,57,3386,686,,23.9,67.1,0,45.7,84.7,,,ben.brereton
