name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,lastManTackle,totalTackle,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,totalClearance,interceptionWon,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialLost,aerialWon,challengeLost,outfielderBlock,dispossessed,wasFouled,shotOffTarget,blockedScoringAttempt,totalOffside,expectedGoals,firstName,lastName,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,bigChanceCreated,goodHighClaim,punches
Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,185.0,337,M,,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",36.0,23.0,21.0,8.0,17.0,20.0,6.0,16.0,1.0,,,15.0,,,4.0,6.0,3.0,3.0,90.0,60.0,8.6,13.0,0.00159158,"{'original': 8.6, 'alternative': 7.9}",0,1.0094,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,2.0
Vinícius Souza,vinicius-souza,Vinicius,M,5,187.0,1676,M,,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",51.0,43.0,8.0,3.0,34.0,37.0,9.0,14.0,2.0,1.0,,3.0,,1.0,,,,,90.0,62.0,6.5,9.0,0.00660347,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,2.0,1.0,,,3.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,
Auston Trusty,auston-trusty,A. Trusty,D,6,188.0,820,M,,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",36.0,33.0,3.0,1.0,32.0,34.0,1.0,2.0,7.0,,,,1.0,3.0,,,,,90.0,50.0,6.8,4.0,0.00141294,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,6.0,1.0,2.0,,,,4.0,4.0,2.0,,1.0,,,,,,,,,,,,,,,
Jack Robinson,jack-robinson,J. Robinson,D,6,180.0,180,M,,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",48.0,36.0,11.0,3.0,24.0,28.0,13.0,23.0,3.0,,,4.0,,1.0,,,,,90.0,65.0,6.7,22.0,0.164717,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,3.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,0.0515,,,,,,,,,,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,178.0,740,M,,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",32.0,27.0,4.0,2.0,19.0,21.0,8.0,11.0,5.0,3.0,2.0,9.0,,2.0,,,,,90.0,54.0,6.9,8.0,0.0523752,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,5.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,0.0196,,,,,,,,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,169.0,1022,M,,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",31.0,26.0,4.0,2.0,7.0,8.0,20.0,28.0,2.0,,,3.0,,1.0,,,,,90.0,47.0,7.4,11.0,0.0996102,"{'original': 7.4, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,1.0,2.0,2.0,,1.0,2.0,1.0,4.0,1.0,1.0,,1.0,,,1.0,1.0,,0.0483,,,,,,,,,,
Oliver Arblaster,oliver-arblaster,O. Arblaster,M,4,180.0,223,M,,1191153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073520000,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر أربيلاستر'}, 'shortNameTranslation': {'ar': 'أ. أربيلاستر'}}",33.0,26.0,6.0,4.0,13.0,19.0,13.0,14.0,2.0,2.0,1.0,3.0,,1.0,,,,,63.0,44.0,6.7,10.0,0.0118002,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,Oliver Arblaster,,,,,,,,,
Andre Brooks,andre-brooks,A. Brooks,M,11,180.0,187,M,,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",12.0,8.0,2.0,,2.0,2.0,6.0,10.0,4.0,,,2.0,,3.0,,,,,55.0,26.0,6.8,7.0,0.00126069,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,,0.0367,,,,1.0,,0.015,,,,
Yasser Larouci,larouci-yasser,Y. Larouci,D,76,175.0,3783,M,larouci.yasseroff,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",15.0,12.0,1.0,,6.0,6.0,6.0,9.0,2.0,1.0,,2.0,,1.0,,,,,55.0,19.0,6.5,4.0,0.00703353,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,1.0,,,,,,,,,1.0,,,,,Yasser,Larouci,,,,,,,,
Cameron Archer,cameron-archer,C. Archer,F,19,181.0,1000,M,,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",6.0,4.0,,,1.0,1.0,3.0,5.0,2.0,4.0,,2.0,,2.0,,,,,81.0,26.0,6.2,13.0,0.0059805,"{'original': 6.2, 'alternative': 6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,10.0,,,2.0,3.0,1.0,,1.0,,1.0,,3.0,,2.0,2.0,,0.1374,,,,,,,,,,
Ben Brereton Díaz,ben-brereton-diaz,B. Brereton Díaz,M,25,188.0,6193,M,ben.brereton,867583,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,924393600,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",23.0,18.0,1.0,1.0,7.0,8.0,12.0,17.0,4.0,3.0,,4.0,,,,,,,90.0,38.0,6.6,12.0,0.0347345,"{'original': 6.6, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,8.0,,,,2.0,1.0,1.0,3.0,2.0,,,1.0,2.0,2.0,1.0,,0.2158,,,,,,,,,,
Max Lowe,max-lowe,M. Lowe,D,3,175.0,114,M,,355154,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,863308800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس لوي', 'hi': 'मैक्स लोवे', 'bn': 'ম্যাক্স লোয়ে'}, 'shortNameTranslation': {'ar': 'م. لوي', 'hi': 'एम. लोवे', 'bn': 'এম. লোয়ে'}}",14.0,10.0,,,5.0,8.0,5.0,6.0,,1.0,,,,,,,,,35.0,19.0,6.5,5.0,0.00541341,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,anis-ben-slimane,A. B. Slimane,M,20,188.0,2213,M,,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",14.0,12.0,,,3.0,3.0,9.0,11.0,1.0,2.0,,,,1.0,,,,,35.0,26.0,6.3,7.0,0.0102828,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,6.0,1.0,,,1.0,1.0,,1.0,,,,2.0,,,1.0,,0.0888,,,,,,,,,,
Sam Curtis,curtis-sam,S. Curtis,D,29,185.0,191,M,,1133697,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1133395200,"{'value': 170000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورتيس، سام'}, 'shortNameTranslation': {'ar': 'س. كورتيس'}}",7.0,4.0,1.0,,2.0,4.0,2.0,4.0,1.0,,,1.0,,1.0,,,,,27.0,15.0,6.4,6.0,0.00061525,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,,,,,,,,,1.0,,1.0,,,,,,Sam,Curtis,,,,,,,,
Rhian Brewster,rhian-brewster,R. Brewster,F,10,180.0,873,M,,878705,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,954547200,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان بروستر', 'hi': 'रियान ब्रूस्टर', 'bn': 'রায়ান ব্রুস্টার'}, 'shortNameTranslation': {'ar': 'ر. بروستر', 'hi': 'आर. ब्रूस्टर', 'bn': 'আর. ব্রুস্টার'}}",4.0,2.0,1.0,,1.0,1.0,1.0,4.0,,,,1.0,,,,,,,9.0,6.0,6.5,3.0,0.0169935,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Ivo Grbić,ivo-grbic,I. Grbić,G,13,195.0,1148,M,,283847,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,821923200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفو غريبيتش', 'hi': 'इवो ग्रबिक', 'bn': 'আইভো গ্রবিক'}, 'shortNameTranslation': {'ar': 'إ. غريبيتش', 'hi': 'आई. ग्रबिक', 'bn': 'আই. গ্রবিক'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovydas Sasnauskas,dovydas-sasnauskas,D. Sasnauskas,D,37,,108,M,,1802013,"{'alpha2': 'LT', 'alpha3': 'LTU', 'name': 'Lithuania', 'slug': 'lithuania'}",EUR,1171584000,,"{'nameTranslation': {'ar': 'دوفيداس ساسناوسكاس'}, 'shortNameTranslation': {'ar': 'د. ساسناوسكاس'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,Dovydas Sasnauskas,,,,,,,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,180.0,225,M,,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James McAtee,james-mcatee,J. McAtee,M,24,180.0,10990,M,jamesmcatee_,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Osula,osula-william,W. Osula,F,18,191.0,2921,M,,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
