name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,ownGoals,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,totalClearance,totalTackle,wonTackle,fouls,keyPass,firstName,lastName,blockedScoringAttempt,interceptionWon,wasFouled,expectedGoals,totalCross,accurateCross,aerialWon,shotOffTarget,outfielderBlock,unsuccessfulTouch,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,errorLeadToAShot,punches,totalOffside,hitWoodwork
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",22.0,9.0,21.0,8.0,1.0,5.0,8.0,17.0,8.0,,,4.0,4.0,90.0,35.0,6.6,13.0,0.00328713,"{'original': 6.6, 'alternative': 6.5}",0,0.8587,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",14.0,13.0,1.0,,10.0,10.0,3.0,4.0,3.0,,,,,90.0,28.0,6.6,2.0,0.00069695,"{'original': 6.6, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,1.0,,,,,1.0,3.0,,,,,,,3.0,,0.0565,,,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,
Tom Lockyer,tom-lockyer,T. Lockyer,D,12,183,188,M,,197848,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,786412800,"{'value': 405000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم لوكيير', 'hi': 'टॉम लॉकयर', 'bn': 'টম লকিয়ার'}, 'shortNameTranslation': {'ar': 'ت. لوكيير', 'hi': 'टी. लॉकयर', 'bn': 'টি. লকার'}}",31.0,26.0,6.0,3.0,18.0,20.0,8.0,11.0,8.0,1.0,,,,90.0,41.0,6.4,7.0,0.0999138,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,3.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185,835,M,,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",12.0,10.0,1.0,,6.0,6.0,4.0,6.0,1.0,,,,,57.0,15.0,6.3,3.0,0.00159794,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,issa_kabore_29,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",22.0,18.0,3.0,,10.0,12.0,8.0,13.0,5.0,,,,,90.0,42.0,6.5,10.0,0.00351348,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,4.0,1.0,1.0,,,,,1.0,,3.0,,,,,3.0,3.0,,3.0,,,,,1.0,,,,,,,,,
Marvelous Nakamba,marvelous-nakamba,M. Nakamba,M,13,177,1025,M,,556904,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,758937600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارفلوس ناكامبا', 'hi': 'मार्वलस नाकाम्बा', 'bn': 'বিস্ময়কর নাকাম্বা'}, 'shortNameTranslation': {'ar': 'م. ناكامبا', 'hi': 'एम. नाकाम्बा', 'bn': 'এম. নাকাম্বা'}}",26.0,23.0,1.0,,15.0,15.0,8.0,11.0,5.0,,,,,76.0,29.0,6.3,4.0,0.00528069,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",34.0,29.0,5.0,2.0,18.0,19.0,11.0,17.0,4.0,,,,,90.0,53.0,7.1,11.0,0.0103,"{'original': 7.1, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,7.0,1.0,1.0,3.0,2.0,,1.0,2.0,2.0,,1.0,,,2.0,1.0,1.0,0.2357,2.0,,2.0,1.0,1.0,,,1.0,,0.0731,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,576,M,,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",17.0,13.0,2.0,1.0,6.0,7.0,7.0,16.0,5.0,,,,,79.0,31.0,6.6,11.0,0.0320831,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,3.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,2.0,,,,,,,6.0,,,,,,,,,,,,,,
Jacob Brown,jacob-brown,J. Brown,F,19,178,152,M,,858911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,892166400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",6.0,6.0,,,4.0,4.0,2.0,2.0,1.0,,,,,58.0,12.0,6.5,2.0,0.00485781,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,6.0,4.0,,,1.0,,,1.0,1.0,,2.0,,,,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,2.0,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",19.0,15.0,,,4.0,4.0,11.0,16.0,4.0,,,,,90.0,36.0,6.8,9.0,0.00586591,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,10.0,1.0,,5.0,2.0,,2.0,2.0,,,,,,,,4.0,,1.0,,2.0,,,,,,,,,,,,
Carlton Morris,carlton-morris,C. Morris,F,9,185,1084,M,,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",9.0,5.0,,,4.0,5.0,1.0,4.0,,,,,,76.0,17.0,6.3,9.0,0.00021613,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,9.0,4.0,,3.0,,,,,,,2.0,,,,,,1.0,,,,3.0,,,,,,,,,,,1.0,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",8.0,6.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,,,,,32.0,12.0,6.9,2.0,0.0366755,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,3.0,,,,,,,2.0,1.0,,,,,1.0,,1.0,0.0467,,,,,,,,,,,,,,1.0,
Andros Townsend,andros-townsend,A. Townsend,F,30,181,609,M,,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",12.0,10.0,1.0,,3.0,3.0,12.0,14.0,2.0,,,,,33.0,20.0,7.2,3.0,0.279906,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,,2.0,,,,,,,5.0,5.0,,,,1.0,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",4.0,4.0,,,2.0,2.0,2.0,3.0,,,,,,14.0,5.0,6.5,1.0,0.00787592,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,1056,M,,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",1.0,,,,,,,1.0,,,,,,14.0,4.0,6.7,2.0,,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,,,,,,,,,1.0,,,0.1447,,,1.0,,,1.0,,,,,,,,1.0,1.0
Ryan Giles,ryan-giles,R. Giles,D,3,179,227,M,,931304,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948844800,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان جايلز', 'hi': 'रयान गिल्स', 'bn': 'রায়ান জাইলস'}, 'shortNameTranslation': {'ar': 'ر. جايلز', 'hi': 'आर. गिल्स', 'bn': 'আর. জাইলস'}}",6.0,1.0,3.0,,,2.0,1.0,4.0,1.0,,,,,11.0,7.0,6.4,5.0,0.000123,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Krul,tim-krul,T. Krul,G,,193,426,M,,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Johnson,joseph-johnson,J. Johnson,D,38,180,84,M,,825550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1140480000,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيف جونسون', 'hi': 'जोसेफ जॉनसन', 'bn': 'জোসেফ জনসন'}, 'shortNameTranslation': {'ar': 'ج. جونسون', 'hi': 'जे. जॉनसन', 'bn': 'জে. জনসন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Luker,jayden-luker,J. Luker,M,34,178,29,M,,1461745,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1114819200,,"{'nameTranslation': {'ar': 'جايدن لوكر', 'hi': 'जेडन लूकर', 'bn': 'জেডেন লুকার'}, 'shortNameTranslation': {'ar': 'ج. لوكر', 'hi': 'जे. लूकर', 'bn': 'জে লুকার'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184,116,M,,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
