name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,ownGoals,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,totalClearance,totalTackle,wonTackle,fouls,keyPass,firstName,lastName,blockedScoringAttempt,interceptionWon,wasFouled,expectedGoals,totalCross,accurateCross,aerialWon,shotOffTarget,outfielderBlock,unsuccessfulTouch,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,errorLeadToAShot,punches,totalOffside,hitWoodwork
Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",12.0,9.0,,,1.0,1.0,8.0,11.0,,,,,,90.0,19.0,6.6,5.0,0.60795,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,,,2.0,2.0,1.0,,,,,2.0,,,,,1.0,0.6665,,,,,,2.0,2.0,2.0,,1.3328,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",20.0,16.0,1.0,,5.0,5.0,11.0,16.0,2.0,,,,,45.0,26.0,6.7,7.0,0.0982572,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,3.0,2.0,,1.0,1.0,,1.0,,,,,2.0,,,,,1.0,0.1448,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",11.0,10.0,,,8.0,8.0,2.0,3.0,,,,,,11.0,12.0,6.3,1.0,0.00033766,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",15.0,13.0,1.0,1.0,4.0,5.0,9.0,10.0,1.0,,,,,11.0,16.0,6.8,2.0,0.0241158,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
Leander Dendoncker,leander-dendoncker,L. Dendoncker,M,20,188,1731,M,,190405,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,797904000,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندير ديندونكير', 'hi': 'लिऐंडर डेन्डोन्कर', 'bn': 'লিয়েন্ডার ডেনডনকার'}, 'shortNameTranslation': {'ar': 'ل. ديندونكير', 'hi': 'एल. डेन्डोन्कर', 'bn': 'এল. ডেনডনকার'}}",1.0,1.0,,,1.0,1.0,,,,,,,,1.0,3.0,,1.0,4.741e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
Bertrand Traoré,bertrand-traore,B. Traoré,F,9,180,30594,M,bertrandtraore10,218160,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,810345600,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرتراند تراوري', 'hi': 'बर्ट्रेंड ट्रैओरे', 'bn': 'বার্ট্রান্ড ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",1.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,5.0,,2.0,2e-07,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Robin Olsen,robin-olsen,R. Olsen,G,30,198,1336,M,,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,calum-chambers,C. Chambers,D,12,183,615,M,,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,182,708,M,,1085950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1056931200,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم إيروغبونام', 'hi': 'टिम इरोएगबुनम', 'bn': 'টিম ইরোগবুনাম'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'hi': 'टी. इरोएगबुनम', 'bn': 'টি. ইরোগবুনাম'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
