period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,71.0,29.0,,,71%,29%,1,ballPossession
ALL,Match overview,Expected goals,2.28,0.48,,,2.28,0.48,1,expectedGoals
ALL,Match overview,Big chances,5.0,1.0,,,5,1,1,bigChanceCreated
ALL,Match overview,Total shots,17.0,7.0,,,17,7,1,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,1.0,4.0,,,1,4,2,goalkeeperSaves
ALL,Match overview,Corner kicks,6.0,4.0,,,6,4,1,cornerKicks
ALL,Match overview,Fouls,11.0,10.0,,,11,10,1,fouls
ALL,Match overview,Passes,617.0,243.0,,,617,243,1,passes
ALL,Match overview,Tackles,11.0,17.0,,,11,17,2,totalTackle
ALL,Match overview,Free kicks,9.0,11.0,,,9,11,2,freeKicks
ALL,Match overview,Yellow cards,3.0,2.0,,,3,2,1,yellowCards
ALL,Shots,Total shots,17.0,7.0,,,17,7,1,totalShotsOnGoal
ALL,Shots,Shots on target,6.0,1.0,,,6,1,1,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,1.0,,,0,1,2,hitWoodwork
ALL,Shots,Shots off target,5.0,2.0,,,5,2,1,shotsOffGoal
ALL,Shots,Blocked shots,6.0,4.0,,,6,4,1,blockedScoringAttempt
ALL,Shots,Shots inside box,13.0,5.0,,,13,5,1,totalShotsInsideBox
ALL,Shots,Shots outside box,4.0,2.0,,,4,2,1,totalShotsOutsideBox
ALL,Attack,Big chances missed,5.0,1.0,,,5,1,1,bigChanceMissed
ALL,Attack,Through balls,3.0,1.0,,,3,1,1,accurateThroughBall
ALL,Attack,Fouled in final third,2.0,4.0,,,2,4,2,fouledFinalThird
ALL,Attack,Offsides,0.0,6.0,,,0,6,2,offsides
ALL,Passes,Accurate passes,558.0,188.0,,,558,188,1,accuratePasses
ALL,Passes,Throw-ins,9.0,8.0,,,9,8,1,throwIns
ALL,Passes,Final third entries,56.0,28.0,,,56,28,1,finalThirdEntries
ALL,Passes,Long balls,16.0,15.0,31.0,45.0,16/31 (52%),15/45 (33%),1,accurateLongBalls
ALL,Passes,Crosses,5.0,5.0,16.0,18.0,5/16 (31%),5/18 (28%),1,accurateCross
ALL,Duels,Duels,46.0,54.0,,,46%,54%,2,duelWonPercent
ALL,Duels,Dispossessed,8.0,6.0,,,8,6,1,dispossessed
ALL,Duels,Ground duels,27.0,33.0,60.0,60.0,27/60 (45%),33/60 (55%),2,groundDuelsPercentage
ALL,Duels,Aerial duels,13.0,14.0,27.0,27.0,13/27 (48%),14/27 (52%),2,aerialDuelsPercentage
ALL,Duels,Dribbles,7.0,5.0,16.0,10.0,7/16 (44%),5/10 (50%),2,dribblesPercentage
ALL,Defending,Tackles won,8.0,8.0,11.0,17.0,73%,47%,1,wonTacklePercent
ALL,Defending,Total tackles,11.0,17.0,,,11,17,2,totalTackle
ALL,Defending,Interceptions,3.0,7.0,,,3,7,2,interceptionWon
ALL,Defending,Recoveries,45.0,48.0,,,45,48,2,ballRecovery
ALL,Defending,Clearances,9.0,8.0,,,9,8,1,totalClearance
ALL,Goalkeeping,Total saves,1.0,4.0,,,1,4,2,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,-0.9269,0.8587,,,-0.93,0.86,2,goalsPrevented
ALL,Goalkeeping,Goal kicks,4.0,10.0,,,4,10,2,goalKicks
1ST,Match overview,Ball possession,77.0,23.0,,,77%,23%,1,ballPossession
1ST,Match overview,Expected goals,1.59,0.0,,,1.59,0.00,1,expectedGoals
1ST,Match overview,Big chances,3.0,0.0,,,3,0,1,bigChanceCreated
1ST,Match overview,Total shots,14.0,0.0,,,14,0,1,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,0.0,3.0,,,0,3,2,goalkeeperSaves
1ST,Match overview,Corner kicks,5.0,0.0,,,5,0,1,cornerKicks
1ST,Match overview,Passes,324.0,95.0,,,324,95,1,passes
1ST,Match overview,Tackles,5.0,7.0,,,5,7,2,totalTackle
1ST,Match overview,Free kicks,5.0,6.0,,,5,6,2,freeKicks
1ST,Match overview,Yellow cards,1.0,0.0,,,1,0,1,yellowCards
1ST,Shots,Total shots,14.0,0.0,,,14,0,1,totalShotsOnGoal
1ST,Shots,Shots on target,4.0,0.0,,,4,0,1,shotsOnGoal
1ST,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
1ST,Shots,Shots off target,4.0,0.0,,,4,0,1,shotsOffGoal
1ST,Shots,Blocked shots,6.0,0.0,,,6,0,1,blockedScoringAttempt
1ST,Shots,Shots inside box,10.0,0.0,,,10,0,1,totalShotsInsideBox
1ST,Shots,Shots outside box,4.0,0.0,,,4,0,1,totalShotsOutsideBox
1ST,Attack,Big chances missed,3.0,0.0,,,3,0,1,bigChanceMissed
1ST,Attack,Through balls,1.0,0.0,,,1,0,1,accurateThroughBall
1ST,Attack,Fouled in final third,2.0,1.0,,,2,1,1,fouledFinalThird
1ST,Attack,Offsides,0.0,4.0,,,0,4,2,offsides
1ST,Passes,Accurate passes,295.0,65.0,,,295,65,1,accuratePasses
1ST,Passes,Throw-ins,3.0,4.0,,,3,4,2,throwIns
1ST,Passes,Final third entries,28.0,13.0,,,28,13,1,finalThirdEntries
1ST,Passes,Long balls,9.0,7.0,14.0,26.0,9/14 (64%),7/26 (27%),1,accurateLongBalls
1ST,Passes,Crosses,4.0,0.0,12.0,5.0,4/12 (33%),0/5 (0%),1,accurateCross
1ST,Duels,Duels,50.0,50.0,,,50%,50%,3,duelWonPercent
1ST,Duels,Dispossessed,3.0,2.0,,,3,2,1,dispossessed
1ST,Duels,Ground duels,14.0,15.0,29.0,29.0,14/29 (48%),15/29 (52%),2,groundDuelsPercentage
1ST,Duels,Aerial duels,8.0,7.0,15.0,15.0,8/15 (53%),7/15 (47%),1,aerialDuelsPercentage
1ST,Duels,Dribbles,4.0,2.0,8.0,5.0,4/8 (50%),2/5 (40%),1,dribblesPercentage
1ST,Defending,Tackles won,4.0,2.0,5.0,7.0,80%,29%,1,wonTacklePercent
1ST,Defending,Total tackles,5.0,7.0,,,5,7,2,totalTackle
1ST,Defending,Interceptions,1.0,3.0,,,1,3,2,interceptionWon
1ST,Defending,Recoveries,20.0,21.0,,,20,21,2,ballRecovery
