name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName
Tom Lockyer,tom-lockyer,T. Lockyer,D,12,188,M,197848,"{'nameTranslation': {'ar': 'توم لوكيير', 'hi': 'टॉम लॉकयर', 'bn': 'টম লকিয়ার'}, 'shortNameTranslation': {'ar': 'ت. لوكيير', 'hi': 'टी. लॉकयर', 'bn': 'টি. লকার'}}",True,miss,corner,head,90,5826,426,,8.2,56.2,0,37.3,20.8,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,323,M,26989,"{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",False,miss,regular,right-foot,90,5428,28,,22.6,34.2,0,59.5,6.9,,
Carlton Morris,carlton-morris,C. Morris,F,9,1084,M,358222,"{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",True,miss,corner,head,88,5227,2527,,8.7,45.4,0,26.6,11.1,,
Jacob Bruun Larsen,jacob-bruun-larsen,J. B. Larsen,M,7,713,M,809276,"{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",False,goal,assisted,left-foot,85,5045,2345,regular,18.2,70.3,0,53.5,28.5,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,1056,M,920542,"{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",True,goal,assisted,right-foot,84,4981,2281,regular,7.4,45.2,0,52.6,3.2,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,323,M,26989,"{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",False,block,regular,right-foot,81,4852,2152,,16.0,28.6,0,49.5,19.0,,
Tahith Chong,tahith-chong,T. Chong,M,24,1675,M,825845,"{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",True,block,assisted,right-foot,79,4720,2020,,14.8,69.7,0,48.7,19.0,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,1056,M,920542,"{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",True,miss,corner,head,78,4655,1955,,7.6,53.2,0,58.2,22.2,,
Carlton Morris,carlton-morris,C. Morris,F,9,1084,M,358222,"{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",True,block,regular,right-foot,73,4322,1622,,13.6,58.5,0,50.9,19.0,,
Carlton Morris,carlton-morris,C. Morris,F,9,1084,M,358222,"{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",True,miss,corner,head,70,4166,1466,,8.3,43.9,0,58.2,19.4,,
Reece Burke,reece-burke,R. Burke,D,32,101,M,372342,"{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",True,save,corner,head,64,3817,1117,,9.1,51.7,0,50.6,23.4,,
