minute,value
1.0,1
2.0,3
3.0,7
4.0,2
5.0,58
6.0,33
7.0,18
8.0,38
9.0,19
10.0,3
11.0,-12
12.0,8
13.0,-7
14.0,-10
15.0,-11
16.0,-49
17.0,31
18.0,-6
19.0,-2
20.0,1
21.0,4
22.0,-1
23.0,1
24.0,1
25.0,-5
26.0,-2
27.0,-1
28.0,1
29.0,51
30.0,24
31.0,7
32.0,-5
33.0,-36
34.0,-18
35.0,-34
36.0,-67
37.0,-43
38.0,-26
39.0,-20
40.0,-13
41.0,-8
42.0,-100
43.0,-77
44.0,-66
45.0,-46
45.5,-10
46.0,-4
47.0,-8
48.0,-1
49.0,-31
50.0,-21
51.0,-16
52.0,-13
53.0,19
54.0,3
55.0,14
56.0,5
57.0,70
58.0,60
59.0,32
60.0,14
61.0,-21
62.0,-18
63.0,-20
64.0,-19
65.0,-18
66.0,-16
67.0,-55
68.0,-30
69.0,-24
70.0,-20
71.0,-53
72.0,-14
73.0,30
74.0,13
75.0,44
76.0,29
77.0,41
78.0,38
79.0,42
80.0,13
81.0,-8
82.0,-8
83.0,-12
84.0,-15
85.0,-29
86.0,-23
87.0,-18
88.0,-9
89.0,-23
90.0,-15
90.5,-16
