name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,bigChanceMissed,shotOffTarget,blockedScoringAttempt,hitWoodwork,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,onTargetScoringAttempt,unsuccessfulTouch,outfielderBlock,accurateCross,wonContest,wasFouled,totalOffside,bigChanceCreated,dispossessed,punches,goals
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",37.0,31.0,1.0,1.0,19.0,24.0,12.0,15.0,5.0,,,90.0,47.0,7.0,9.0,0.0,0.0,0.0844742,1.0,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,2.0,4.0,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,3.0,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",66.0,60.0,5.0,3.0,41.0,44.0,19.0,22.0,4.0,,,90.0,73.0,7.1,7.0,0.0243,0.0,0.00704679,1.0,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",38.0,32.0,2.0,1.0,16.0,16.0,16.0,22.0,3.0,,,58.0,48.0,6.6,12.0,0.044,0.0,0.0813555,1.0,"{'original': 6.6, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,1.0,5.0,2.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,4.0,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",27.0,25.0,2.0,2.0,7.0,8.0,20.0,21.0,2.0,,,90.0,40.0,7.4,5.0,0.0729,0.0,0.198069,2.0,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,3.0,5.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,2.0,1.0,3.0,,1.0,2.0,,
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,16724,M,RJimenez9,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",16.0,12.0,1.0,1.0,2.0,2.0,10.0,15.0,2.0,,,58.0,22.0,6.7,8.0,0.0684,0.0,0.0167774,,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,,,,,,,,,,,1.0,3.0,,2.0,,
Willian,willian,Willian,F,88,175,9705,M,willianborges88,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",28.0,23.0,2.0,1.0,9.0,11.0,14.0,17.0,1.0,,,45.0,34.0,6.5,9.0,0.0,0.0,0.0419352,1.0,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,3.0,2.0,1.0,2.0,,,,,,,1.0,,1.0,,3.0,,,1.0,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",18.0,11.0,2.0,,4.0,6.0,7.0,12.0,2.0,,,45.0,29.0,7.2,9.0,1.1361,0.9821,0.00549038,,"{'original': 7.2, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,,3.0,1.0,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,andreaspereira,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",10.0,6.0,1.0,1.0,,2.0,6.0,9.0,1.0,,,32.0,16.0,6.8,7.0,0.0,0.0,0.00233299,,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,
Aleksandar Mitrović,aleksandar-mitrovic,A. Mitrović,F,9,189,25600,M,AleksMitrović,192144,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,779673600,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر ميتروفيتش', 'hi': 'एलेक्जेंडर मित्रोविक', 'bn': 'আলেকসান্ডার মিত্রোভিচ'}, 'shortNameTranslation': {'ar': 'أ. ميتروفيتش', 'hi': 'ए. मित्रोविक', 'bn': 'এ. মিত্রোভিচ'}}",8.0,4.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,,,32.0,14.0,7.1,4.0,0.1623,0.1356,0.0246784,,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,2.0,1.0,5.0,,3.0,,,1.0,,,,,,,1.0,,,,3.0,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Mbabu,kevin-mbabu,K. Mbabu,D,43,184,789,M,,227900,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,798249600,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفين مبابو', 'hi': 'केविन मबाबू', 'bn': 'কেভিন এমবাবু'}, 'shortNameTranslation': {'ar': 'ك. مبابو', 'hi': 'के. मबाबू', 'bn': 'কে. এমবাবু'}}",,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Max Dibley-Dias,matthew-max-dibley-dias,M. M. Dibley-Dias,M,18,171,62,M,,1461519,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,1066867200,"{'value': 220000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيو ماكس ديبلي-دياس', 'hi': 'मैथ्यू मैक्स डिबली-डायस', 'bn': 'ম্যাথিউ ম্যাক্স ডিবেলি-ডায়াস'}, 'shortNameTranslation': {'ar': 'م. م. ديبلي-دياس', 'hi': 'एम. एम. डिबली-डायस', 'bn': 'এম. এম. ডিবলি-ডায়াস'}}",,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,4988,M,,891920,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,796089600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'hi': 'कार्लोस विनीसियस', 'bn': 'কার্লোস ভিনিসিয়াস'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'hi': 'सी. विनीसियस', 'bn': 'সি. ভিনিসিয়াস'}}",,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Stansfield,jay-stansfield,J. Stansfield,F,28,187,1011,M,,1013987,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1038096000,"{'value': 19100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي ستانسفيلد', 'hi': 'जे स्टैंसफील्ड', 'bn': 'জে স্ট্যানসফিল্ড'}, 'shortNameTranslation': {'ar': 'ج. ستانسفيلد', 'hi': 'जे. स्टैंसफील्ड', 'bn': 'জে. স্ট্যানসফিল্ড'}}",,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
