name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,lastName
Dango Ouattara,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,32038,M,d.ouattara15,1106451,"{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",39.673333333333,76.326666666667,15,home,
Enes Ünal,,enes-unal,E. Ünal,F,26,3670,M,EnesUnal16,336655,"{'nameTranslation': {'ar': 'إينيس أونال', 'hi': 'एनेस उनाल', 'bn': 'এনেস উনাল'}, 'shortNameTranslation': {'ar': 'إ. أونال', 'hi': 'ई. उनाल', 'bn': 'ই. উনাল'}}",58.2625,43.1,8,home,
Lloyd Kelly,,lloyd-kelly,L. Kelly,D,6,2786,M,,865167,"{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",47.5,81.193333333333,15,home,
Philip Billing,,philip-billing,P. Billing,M,8,1832,M,,548660,"{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",60.375,28.01875,16,home,
Justin Kluivert,,justin-kluivert,J. Kluivert,M,19,7016,M,justinkluivert,851596,"{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",62.108333333333,34.366666666667,36,home,
Neto,,neto,Neto,G,22,5304,M,Neto_Murara,84844,"{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",9.8046875,46.7625,64,home,
Dominic Solanke,,dominic-solanke,D. Solanke,F,19,10997,M,Dom_Solanke,361420,"{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",62.6,50.29347826087,46,home,
Adam Smith,,adam-smith,A. Smith,D,15,465,M,,44566,"{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",47.835294117647,16.125490196078,51,home,
Marcus Tavernier,,marcus-tavernier,M. Tavernier,M,16,1676,M,,895576,"{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",63.223636363636,69.305454545455,55,home,
Lewis Cook,,lewis-cook,L. Cook,M,4,837,M,,548188,"{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",62.558441558442,70.494805194805,77,home,
Chris Mepham,,chris-mepham,C. Mepham,D,2,392,M,,865740,"{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",30.274666666667,64.190666666667,75,home,
Ilya Zabarnyi,,illia-zabarnyi,I. Zabarnyi,D,6,16673,M,IlliaZabarnyi,1023567,"{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",24.2375,31.183333333333,72,home,
