name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,goalAssist,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,unsuccessfulTouch,keyPass,firstName,lastName,totalContest,wonContest,outfielderBlock,fouls,accurateCross,wasFouled,shotOffTarget,expectedGoals,onTargetScoringAttempt,expectedGoalsOnTarget,blockedScoringAttempt,goals,totalOffside,bigChanceMissed,hitWoodwork
David Raya,david-raya,D. Raya,G,1,183,25247,M,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",21.0,14.0,9.0,2.0,12.0,13.0,2.0,8.0,1.0,6.0,1.0,2.0,2.0,1.0,90.0,26.0,6.9,7.0,0.00489666,"{'original': 6.9, 'alternative': 6.7}",0,-0.0181,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,d_raya1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",76.0,67.0,4.0,3.0,17.0,19.0,50.0,60.0,3.0,4.0,,,,,90.0,91.0,7.3,14.0,0.15975,"{'original': 7.3, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,benwhite,,3.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",91.0,86.0,2.0,1.0,29.0,31.0,57.0,60.0,4.0,7.0,,,,,90.0,102.0,7.3,7.0,0.042248,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,WSaliba4,,,3.0,6.0,4.0,7.0,,,,3.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",101.0,97.0,3.0,1.0,28.0,30.0,69.0,71.0,3.0,2.0,,,,,90.0,107.0,7.1,4.0,0.0441724,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,GabrielMagalhães,,,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",107.0,100.0,3.0,3.0,23.0,23.0,79.0,88.0,1.0,5.0,,,,,89.0,123.0,8.1,12.0,0.186342,"{'original': 8.1, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,OZinchenko,1.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,,,1.0,1.0,,,4.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",82.0,71.0,,,14.0,14.0,57.0,68.0,,4.0,,,,,89.0,93.0,8.1,13.0,0.602386,"{'original': 8.1, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,Ødegaard,,,,1.0,3.0,4.0,,2.0,1.0,,2.0,1.0,,,4.0,,,,,,1.0,,1.0,1.0,0.287,,,2.0,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",79.0,72.0,5.0,3.0,22.0,24.0,50.0,59.0,1.0,8.0,,,,,90.0,94.0,7.6,13.0,0.0700517,"{'original': 7.6, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,DeclanRice,,4.0,2.0,3.0,3.0,7.0,1.0,,,,4.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",45.0,42.0,1.0,,4.0,4.0,38.0,41.0,,2.0,,,,,71.0,48.0,6.9,4.0,0.208904,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,esr,,,1.0,,2.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,0.0797,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",47.0,38.0,3.0,1.0,4.0,6.0,34.0,49.0,,5.0,,,,,90.0,72.0,8.2,20.0,0.192573,"{'original': 8.2, 'alternative': 7.9}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,BSaka7,,8.0,3.0,,6.0,3.0,,1.0,,2.0,3.0,2.0,,,4.0,,,1.0,,,1.0,,,1.0,0.2916,1.0,0.4678,4.0,1.0,,,
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",36.0,25.0,,,5.0,6.0,21.0,31.0,,3.0,,,,,78.0,64.0,8.5,22.0,0.170885,"{'original': 8.5, 'alternative': 8.2}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,GabrielJesus,1.0,1.0,2.0,2.0,6.0,7.0,,2.0,,,,,,6.0,2.0,,,5.0,3.0,,,1.0,2.0,3.0,0.4022,2.0,0.6244,1.0,1.0,2.0,1.0,1.0
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,71135,M,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",40.0,36.0,1.0,1.0,5.0,5.0,31.0,39.0,,1.0,,,,,78.0,55.0,6.8,14.0,0.0357194,"{'original': 6.8, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,GabiMartinelli,,4.0,3.0,,8.0,3.0,,,,,2.0,1.0,,2.0,,,,5.0,1.0,1.0,1.0,,,,0.0275,,,1.0,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",17.0,14.0,1.0,,5.0,5.0,9.0,12.0,,2.0,,,,,19.0,18.0,6.5,3.0,0.00329922,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,KaiHav,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",3.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,12.0,5.0,6.5,1.0,0.00108878,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,EN9,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,0.0399,,,1.0,,,,
Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31309,M,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",9.0,8.0,,,5.0,5.0,3.0,4.0,,3.0,,,,,12.0,16.0,6.7,4.0,0.00076363,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,leandrotrossard,,,,,1.0,2.0,,1.0,,,,,,2.0,,,,2.0,2.0,,,,,1.0,0.0466,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",3.0,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,1.0,3.0,,1.0,0.00013231,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,j_kiwior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,,,0.00105257,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,jorginhofrello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,ARamsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuell Walters,walters-reuell,R. Walters,D,2,183,368,M,1138843,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1103155200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'والترز، روييل', 'hi': 'वाल्टर्स, रूएल', 'bn': 'ওয়াল্টার্স, রিয়েল'}, 'shortNameTranslation': {'ar': 'ر. والترز', 'hi': 'आर. वाल्टर्स', 'bn': 'আর. ওয়াল্টার্স'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Soares,cedric-soares,C. Soares,M,6,172,2753,M,44760,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,683596800,"{'value': 740000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيدريك سواريس', 'hi': 'सेड्रिक सोरेस', 'bn': 'সেড্রিক সোয়ারেস'}, 'shortNameTranslation': {'ar': 'س. سواريس', 'hi': 'सी. सोरेस', 'bn': 'সি. সোয়ারেস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reiss Nelson,reiss-nelson,R. Nelson,M,11,175,4985,M,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,reissnelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
