name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,aerialLost,challengeLost,dispossessed,goalAssist,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,outfielderBlock,accurateCross,fouls,onTargetScoringAttempt,totalOffside,goals,penaltyWon,hitWoodwork,penaltyFaced,penaltyConceded
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",25.0,20.0,,,5.0,6.0,15.0,20.0,,3.0,3.0,,,,,,81.0,41.0,6.9,13.0,0.0146,0.0,0.107053,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,8.0,6.0,3.0,1.0,,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,1.0,,,,2.0,,1.0,,,,,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",9.0,6.0,,,3.0,3.0,3.0,6.0,2.0,1.0,,,,,,,13.0,14.0,6.5,4.0,0.0,0.0,0.00168409,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,3.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",8.0,4.0,,,1.0,1.0,3.0,7.0,,1.0,,,,,,,9.0,16.0,6.4,5.0,0.1277,0.0646,0.00380626,"{'original': 6.4, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,1.0,4.0,1.0,,,,,2.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,
Diogo Jota,diogo-jota,D. Jota,F,,178,33671,M,DiogoJ18,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",6.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,,1.0,,,,,,,9.0,9.0,7.4,3.0,0.5491,0.9516,0.00425927,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,3.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",4.0,4.0,,,2.0,2.0,2.0,2.0,,1.0,,,,,,,8.0,4.0,6.5,,0.0,0.0,0.00048499,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,TK21,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",28.0,16.0,17.0,5.0,14.0,20.0,2.0,8.0,2.0,8.0,,,2.0,4.0,1.0,1.0,90.0,39.0,6.9,12.0,0.0,0.0,0.00029861,"{'original': 6.9, 'alternative': 6.5}",0,0.3514,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",29.0,21.0,7.0,3.0,11.0,11.0,11.0,23.0,3.0,2.0,1.0,,,,,,90.0,56.0,7.0,19.0,0.0,0.0,0.092935,"{'original': 7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,1.0,5.0,5.0,1.0,,1.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,
Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2242,M,,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",31.0,25.0,5.0,2.0,18.0,21.0,7.0,10.0,2.0,4.0,,,,,,,90.0,38.0,6.2,6.0,0.0,0.0,0.0033181,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,3.0,2.0,,,,2.0,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,nayefaguard,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",37.0,27.0,9.0,2.0,22.0,27.0,5.0,10.0,5.0,3.0,,,,,,,90.0,49.0,6.2,10.0,0.0429,0.0,0.00075586,"{'original': 6.2, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,4.0,3.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,3.0,,2.0,,,,,,,1.0
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",41.0,32.0,2.0,1.0,18.0,22.0,14.0,20.0,4.0,4.0,2.0,,,,,,90.0,80.0,6.2,16.0,0.0102,0.0,0.00610526,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,6.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",28.0,23.0,4.0,4.0,13.0,15.0,11.0,14.0,3.0,1.0,,,,,,,74.0,43.0,7.2,5.0,0.3356,0.6445,0.133413,"{'original': 7.2, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,2.0,7.0,5.0,,,,2.0,1.0,1.0,1.0,4.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10874,M,EdsonAlvarez19,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",36.0,30.0,2.0,,23.0,26.0,7.0,11.0,4.0,3.0,2.0,,,,,,90.0,54.0,6.9,9.0,0.0,0.0,0.0065361,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,2.0,5.0,9.0,2.0,2.0,,5.0,4.0,,,1.0,1.0,,,,,,,,,3.0,,,,,,,
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,8771,M,jarrodbowen,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",17.0,14.0,1.0,,4.0,5.0,10.0,13.0,2.0,1.0,1.0,,,,,,90.0,35.0,7.1,8.0,0.5481,0.5961,0.0117038,"{'original': 7.1, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,6.0,5.0,1.0,1.0,1.0,3.0,2.0,,,3.0,,3.0,,,1.0,,1.0,,,,2.0,,1.0,,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,prowsey16,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",37.0,34.0,2.0,2.0,25.0,26.0,12.0,17.0,2.0,9.0,,,,,,,90.0,53.0,7.2,7.0,0.0,0.0,0.33231,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,,7.0,4.0,,,2.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,,1.0,,,,,3.0,1.0,,,,,,,
