name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,fouls,outfielderBlock,interceptionWon,bigChanceMissed,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,sofascoreId,wasFouled,bigChanceCreated,firstName,lastName,goalAssist,goals,accurateCross,shotOffTarget,totalOffside,blockedScoringAttempt,errorLeadToAGoal
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",51.0,33.0,32.0,14.0,22.0,23.0,11.0,28.0,1.0,7.0,1.0,4.0,2.0,1.0,90.0,59.0,7.3,19.0,0.00253597,"{'original': 7.3, 'alternative': 7}",0,0.0137,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",37.0,26.0,4.0,,15.0,22.0,11.0,17.0,3.0,11.0,,,,,90.0,64.0,6.6,18.0,0.0211281,"{'original': 6.6, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,1.0,7.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Issa Diop,issa-diop,I. Diop,D,31,194,855,M,825719,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,852768000,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى ديوب', 'hi': 'इस्सा डियोप', 'bn': 'ইসা ডিওপ'}, 'shortNameTranslation': {'ar': 'ع. ديوب', 'hi': 'आई. डियोप', 'bn': 'আই. ডিওপ'}}",60.0,42.0,13.0,5.0,26.0,33.0,16.0,27.0,6.0,3.0,,,,,90.0,79.0,7.4,19.0,0.00957209,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
Tim Ream,tim-ream,T. Ream,D,3,185,550,M,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",39.0,38.0,4.0,4.0,29.0,30.0,9.0,9.0,9.0,5.0,,,,,90.0,58.0,7.5,3.0,0.00170019,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,2.0,2.0,3.0,1.0,,1.0,1.0,,,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",51.0,37.0,9.0,5.0,16.0,22.0,21.0,30.0,7.0,5.0,,,,,90.0,78.0,8.0,16.0,0.0217985,"{'original': 8, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,6.0,2.0,10.0,,,1.0,1.0,3.0,3.0,,,1.0,5.0,1.0,1.0,0.1618,0.2434,1.0,,,,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",42.0,31.0,3.0,1.0,19.0,22.0,12.0,20.0,2.0,9.0,,,,,90.0,62.0,7.0,14.0,0.00532893,"{'original': 7, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,1.0,10.0,11.0,1.0,1.0,1.0,,7.0,3.0,1.0,2.0,2.0,1.0,,,,,,Palhinha,3.0,,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",38.0,33.0,1.0,,13.0,15.0,20.0,25.0,,6.0,,,,,63.0,48.0,7.4,8.0,0.0270836,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,,,,,2.0,,2.0,1.0,,,,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",31.0,26.0,4.0,3.0,6.0,8.0,20.0,26.0,1.0,,,,,,64.0,40.0,8.1,10.0,0.239935,"{'original': 8.1, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,,2.0,,,,,,,,2.0,1.0,,,,1.0,0.0947,0.9454,1.0,,,1.0,,,1.0,1.0,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",31.0,25.0,,,12.0,13.0,13.0,19.0,2.0,4.0,,,,,85.0,43.0,6.6,11.0,0.055801,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,3.0,4.0,,2.0,,,,,2.0,,,,,,,,,andreaspereira,2.0,,,,,,,,,,
Willian,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",34.0,30.0,2.0,2.0,13.0,15.0,19.0,21.0,1.0,1.0,,,,,85.0,46.0,7.7,7.0,0.608179,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,3.0,3.0,1.0,,3.0,2.0,,,2.0,,,,1.0,2.0,0.4126,1.032,3.0,willianborges88,,2.0,,,1.0,,2.0,1.0,,,
