name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,totalClearance,totalTackle,expectedGoals,expectedGoalsOnTarget,firstName,lastName,wonContest,outfielderBlock,unsuccessfulTouch,wasFouled,keyPass,challengeLost,shotOffTarget,blockedScoringAttempt,wonTackle,interceptionWon,ownGoals,fouls,totalOffside,bigChanceMissed,accurateCross,bigChanceCreated,goals,goalAssist,goodHighClaim,clearanceOffLine,hitWoodwork
Martin Dúbravka,martin-dubravka,M. Dúbravka,G,1,190,3025,M,,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",14.0,8.0,9.0,3.0,6.0,7.0,2.0,7.0,10.0,3.0,4.0,1.0,1.0,90.0,27.0,7.5,6.0,0.00011916,"{'original': 7.5, 'alternative': 7.2}",0,-0.2527,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",42.0,29.0,2.0,1.0,18.0,21.0,16.0,32.0,4.0,,,,,90.0,67.0,8.0,20.0,0.281683,"{'original': 8, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,11.0,,2.0,2.0,5.0,,1.0,,3.0,1.0,,,,,1.0,,1.0,1.0,4.0,1.0,,,1.0,1.0,,1.0,,,5.0,1.0,,1.0,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",43.0,34.0,9.0,5.0,27.0,28.0,7.0,15.0,2.0,,,,,90.0,61.0,9.5,11.0,0.00425658,"{'original': 9.5, 'alternative': 9.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,6.0,2.0,,,2.0,7.0,,1.0229,1.443,,,,3.0,1.0,,,1.0,,1.0,,1.0,,2.0,,,,,2.0,,,1.0,
Sven Botman,sven-botman,S. Botman,D,4,193,3367,M,,910046,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,947635200,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",54.0,50.0,5.0,2.0,44.0,46.0,6.0,8.0,3.0,,,,,90.0,63.0,6.9,4.0,0.0029352,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,2.0,2.0,,,,4.0,1.0,0.066,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",47.0,38.0,3.0,,31.0,34.0,7.0,13.0,5.0,,,,,90.0,69.0,7.3,11.0,0.00182768,"{'original': 7.3, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,5.0,3.0,10.0,,,,6.0,5.0,0.0404,,,,,,,,,1.0,1.0,,2.0,4.0,,1.0,,,,,,,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",26.0,17.0,3.0,1.0,10.0,11.0,7.0,15.0,5.0,,,,,90.0,31.0,6.3,9.0,0.00826302,"{'original': 6.3, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,4.0,3.0,,,1.0,1.0,,0.8036,0.7183,,,,,,1.0,,2.0,,1.0,,,,2.0,,1.0,,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",53.0,42.0,8.0,6.0,29.0,31.0,13.0,22.0,6.0,,,,,90.0,81.0,7.8,18.0,0.164278,"{'original': 7.8, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,10.0,5.0,,,1.0,4.0,,,,,,,1.0,6.0,2.0,,,,3.0,2.0,,,,,,1.0,,,,,
Lewis Miley,lewis-miley,L. Miley,M,67,188,3070,M,,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",20.0,13.0,1.0,1.0,6.0,9.0,7.0,13.0,5.0,,,,,75.0,31.0,6.9,11.0,0.0236338,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,1.0,2.0,3.0,,,,1.0,2.0,,,Lewis Miley,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,
Jacob Murphy,jacob-murphy,J. Murphy,F,23,176,3550,M,,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",16.0,15.0,1.0,1.0,7.0,7.0,8.0,12.0,7.0,,,,,90.0,29.0,7.1,7.0,0.150728,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,,4.0,1.0,3.0,,1.0,1.0,1.0,0.2679,0.0374,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,
Alexander Isak,alexander-isak,A. Isak,F,9,193,101689,M,AlexIsak,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",5.0,5.0,,,1.0,1.0,4.0,4.0,,,,,,43.0,9.0,6.7,2.0,0.00837888,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,1.0,1.0,1.0,,,,0.0367,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
Anthony Gordon,gordon-anthony,A. Gordon,F,10,183,15531,M,AGordon,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",23.0,20.0,2.0,1.0,7.0,9.0,13.0,15.0,6.0,,,,,89.0,44.0,6.8,11.0,0.064115,"{'original': 6.8, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,7.0,10.0,1.0,6.0,1.0,,2.0,0.4132,0.4635,,,3.0,,3.0,4.0,,,,2.0,1.0,,,3.0,3.0,1.0,,,,,,,1.0
Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",14.0,11.0,1.0,,3.0,5.0,8.0,9.0,4.0,,,,,47.0,21.0,6.8,3.0,0.60933,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,3.0,,,,2.0,3.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,
Valentino Livramento,valentino-livramento,V. Livramento,D,21,181,4844,M,,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,15.0,6.0,6.6,,0.0003946,"{'original': 6.6, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,
Emil Krafth,emil-krafth,E. Krafth,D,17,184,946,M,,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",,,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,loris-karius,L. Karius,G,1,190,1695,M,,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,paul-dummett,P. Dummett,D,,183,150,M,,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Hall,lewis-hall,L. Hall,D,3,179,4014,M,lewishall_10,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,Lewis Hall,,,,,,,,,,,,,,,,,,,,,,
Matt Ritchie,matt-ritchie,M. Ritchie,M,30,173,305,M,,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe White,joe-white,J. White,M,30,186,183,M,,994550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033430400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وايت', 'hi': 'जो व्हाइट', 'bn': 'জো হোয়াইট'}, 'shortNameTranslation': {'ar': 'ج. وايت', 'hi': 'जे. व्हाइट', 'bn': 'জে. হোয়াইট'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Hernes,travis-hernes,T. Hernes,M,45,179,261,M,,1400656,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1131062400,"{'value': 230000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترافيس هيرنيس', 'hi': 'ट्रैविस हर्नेस', 'bn': 'ট্র্যাভিস হার্নেস'}, 'shortNameTranslation': {'ar': 'ت. هيرنيس', 'hi': 'टी. हर्नेस', 'bn': 'টি. হার্নেস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,Travis Hearnes,,,,,,,,,,,,,,,,,,,,,,
