name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,dispossessed,onTargetScoringAttempt,outfielderBlock,interceptionWon,fouls,aerialWon,totalContest,lastManTackle,totalTackle,wonTackle,blockedScoringAttempt,challengeLost,unsuccessfulTouch,keyPass,shotOffTarget,wonContest,goals,firstName,lastName,bigChanceMissed,totalOffside,errorLeadToAGoal,goodHighClaim,penaltyFaced,ownGoals,penaltyConceded,errorLeadToAShot,goalAssist,bigChanceCreated
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,GabrielJesus,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",17.0,12.0,,,3.0,3.0,9.0,14.0,9.0,1.0,8.0,2.0,,,,,77.0,45.0,7.0,15.0,0.4988,0.0203,0.0107824,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,9.0,5.0,1.0,,1.0,3.0,1.0,4.0,,3.0,2.0,,,3.0,,1.0,3.0,,,,1.0,1.0,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,jorginhofrello,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",30.0,28.0,2.0,2.0,12.0,12.0,16.0,18.0,3.0,,2.0,2.0,,,,,45.0,39.0,6.2,5.0,0.0,0.0,0.0140982,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,3.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",13.0,11.0,,,3.0,3.0,8.0,11.0,6.0,1.0,2.0,1.0,,,,,45.0,23.0,6.7,5.0,0.0598,0.0,0.00593158,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,4.0,,,,1.0,1.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
Reiss Nelson,reiss-nelson,R. Nelson,M,11,175,4985,M,reissnelson,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",7.0,6.0,,,2.0,2.0,6.0,9.0,,,,,,,,,13.0,15.0,6.4,6.0,0.0227,0.0,0.077539,"{'original': 6.4, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,2.0,,3.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,esr,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",6.0,6.0,,,,,6.0,6.0,2.0,,,,,,,,1.0,8.0,,,0.0,0.0,0.0123225,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,ARamsdale,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takehiro Tomiyasu,tomiyasu-takehiro,T. Tomiyasu,D,,188,10832,M,tomiyasu_t,804434,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,910224000,"{'value': 12900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومياسو، تاكيهيرو', 'hi': 'तोमियासू, ताकेहीरो', 'bn': 'তোমিয়াসু, তাকেহিরো'}, 'shortNameTranslation': {'ar': 'ت. تومياسو', 'hi': 'टी. ताकेहीरो', 'bn': 'টি. তোমিয়াসু'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Soares,cedric-soares,C. Soares,M,6,172,2753,M,,44760,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,683596800,"{'value': 740000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيدريك سواريس', 'hi': 'सेड्रिक सोरेस', 'bn': 'সেড্রিক সোয়ারেস'}, 'shortNameTranslation': {'ar': 'س. سواريس', 'hi': 'सी. सोरेस', 'bn': 'সি. সোয়ারেস'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Elneny,mohamed-elneny,M. Elneny,M,17,180,18954,M,elnennym,159675,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,710812800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد النني', 'hi': 'मोहम्मद एल्नेनी', 'bn': 'মোহাম্মদ এলনেনি'}, 'shortNameTranslation': {'ar': 'م. النني', 'hi': 'एम. एल्नेनी', 'bn': 'এম. এলনেনি'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
