name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,interceptionWon,wasFouled,fouls,expectedGoals,keyPass,aerialLost,aerialWon,totalTackle,wonTackle,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,firstName,lastName,wonContest,goalAssist,bigChanceCreated,shotOffTarget,unsuccessfulTouch,totalOffside,dispossessed,outfielderBlock,penaltyWon,penaltyMiss,goals,penaltyFaced,penaltyConceded,clearanceOffLine
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",10.0,9.0,4.0,3.0,9.0,9.0,1.0,2.0,11.0,1.0,7.0,7.0,1.0,1.0,1.0,90.0,28.0,8.2,1.0,0.00010573,"{'original': 8.2, 'alternative': 7.8}",0,0.9015,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",46.0,39.0,5.0,2.0,9.0,10.0,41.0,1.0,2.0,,,,,,,74.0,64.0,6.5,11.0,0.0891325,"{'original': 6.5, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,32.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0166,1.0,,,,,,,,,,,,,,,,,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",93.0,80.0,12.0,11.0,26.0,35.0,58.0,1.0,8.0,,,,,,,90.0,101.0,7.7,13.0,0.337297,"{'original': 7.7, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,54.0,,,4.0,16.0,,,,1.0,1.0,1.0,,,3.0,13.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",85.0,74.0,10.0,2.0,19.0,22.0,63.0,4.0,8.0,,,,,,,90.0,95.0,6.8,11.0,0.0675707,"{'original': 6.8, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,55.0,,,6.0,6.0,1.0,,,,,1.0,0.2246,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.1192,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",48.0,42.0,1.0,,8.0,8.0,45.0,,4.0,,,,,,,45.0,59.0,7.0,11.0,0.039416,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,34.0,5.0,,1.0,2.0,,1.0,,1.0,,1.0,0.0648,,,,1.0,1.0,,1.0,0.1061,Milos,Kerkez,1.0,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",53.0,44.0,6.0,3.0,10.0,10.0,51.0,3.0,6.0,,,,,,,74.0,76.0,8.8,15.0,0.458904,"{'original': 8.8, 'alternative': 8.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,38.0,8.0,4.0,4.0,4.0,1.0,1.0,,1.0,2.0,,0.1638,5.0,2.0,1.0,1.0,1.0,,1.0,0.0355,,,,1.0,3.0,3.0,1.0,1.0,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",61.0,52.0,5.0,3.0,11.0,12.0,57.0,2.0,8.0,,,,,,,90.0,81.0,7.4,16.0,0.181291,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,43.0,8.0,2.0,4.0,4.0,,,,,1.0,,0.03,4.0,4.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,antoinesemenyo42,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",28.0,23.0,1.0,1.0,3.0,4.0,28.0,1.0,1.0,,,,,,,90.0,49.0,6.5,13.0,0.0481903,"{'original': 6.5, 'alternative': 6.2}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,21.0,4.0,1.0,6.0,2.0,1.0,1.0,3.0,,1.0,1.0,0.4204,,1.0,,1.0,,1.0,2.0,0.21,,,,,,1.0,1.0,,2.0,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,justinkluivert,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",17.0,13.0,,,,,19.0,,2.0,,,,,,,62.0,29.0,6.6,9.0,0.0195315,"{'original': 6.6, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,2.0,,4.0,1.0,,,1.0,,1.0,2.0,0.2077,,1.0,,,,1.0,1.0,0.5017,,,,,,,2.0,,1.0,1.0,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",55.0,49.0,1.0,1.0,3.0,4.0,57.0,,5.0,,,,,,,62.0,68.0,7.7,13.0,0.334403,"{'original': 7.7, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,47.0,6.0,1.0,4.0,4.0,,2.0,,,1.0,1.0,,4.0,1.0,,2.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,
