name,slug,shortName,position,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,jerseyNumber,firstName,lastName
Diogo Jota,diogo-jota,D. Jota,F,33671,M,DiogoJ18,606164,"{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",74.245,68.615,20,home,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,208066,M,TrentAA,795064,"{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",56.063333333333,26.073333333333,60,home,12,,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,27389,M,ibrahimakonate,826215,"{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",43.342335766423,31.229197080292,137,home,5,,
Harvey Elliott,harvey-elliott,H. Elliott,M,21929,M,harvelliott,955245,"{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",72.963157894737,19.915789473684,19,home,19,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,53434,M,CodyGakpo,862967,"{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",70.635483870968,74.232258064516,31,home,18,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,73401,M,Macca10,895324,"{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",51.453284671533,40.289051094891,137,home,10,,
Wataru Endo,wataru-endo,W. Endo,M,19922,M,endowataru,143040,"{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",46.985074626866,54.117910447761,67,home,3,,
Andrew Robertson,andrew-robertson,A. Robertson,D,25243,M,andyrobertson94,262911,"{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",58.240458015267,86.884732824428,131,home,26,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,103743,M,VvD,151545,"{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",47.623178807947,62.839072847682,151,home,4,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",69.667272727273,24.243636363636,55,home,11,,
Curtis Jones,curtis-jones,C. Jones,M,17493,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",60.239759036145,67.21686746988,83,home,17,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,66101,M,DomSzobo,869856,"{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",61.587931034483,31.946551724138,58,home,8,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",71.602941176471,45.873529411765,34,home,7,,
Luis Díaz,luis-diaz,L. Díaz,F,140854,M,LuisDíaz,883537,"{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",70.187878787879,69.569696969697,33,home,14,,
Alisson,alisson,Alisson,G,66760,M,AlissonBecker,243609,"{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",17.569090909091,46.998181818182,55,home,1,,
Conor Bradley,bradley-conor,C. Bradley,D,15669,M,conorbradley03,1008402,"{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",47.996296296296,12.846296296296,54,home,12,,
Jordan Ayew,jordan-ayew,J. Ayew,F,14311,M,jordanayew9,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",52.01,63.835,20,away,9,,
Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,762,M,,148710,"{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",50.73,45.79,10,away,27,,
Joel Ward,joel-ward,J. Ward,D,256,M,,39183,"{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",20.55,35.275,8,away,,,
Michael Olise,michael-olise,M. Olise,M,65968,M,MOlise,978838,"{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",51.269642857143,36.796428571429,56,away,17,,
Eberechi Eze,eberechi-eze,E. Eze,F,55112,M,eze,864921,"{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",54.890769230769,78.496923076923,65,away,10,,
Jaïro Riedewald,jairo-riedewald,J. Riedewald,M,1300,M,,285989,"{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",32.3,61.066666666667,6,away,44,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,5777,M,,795228,"{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",50.95,84.0,4,away,19,,
Dean Henderson,dean-henderson,D. Henderson,G,5014,M,deanhenderson,788134,"{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",7.3520833333333,48.797916666667,48,away,1,,
Daniel Muñoz,daniel-munoz,D. Muñoz,M,11977,M,daniel.chitiva,870360,"{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",30.380952380952,20.484523809524,84,away,2,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,1365,M,,988275,"{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",45.072413793103,88.308045977011,87,away,3,,
Will Hughes,will-hughes,W. Hughes,M,1013,M,,193554,"{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",45.242372881356,68.315254237288,59,away,19,,
Adam Wharton,adam-wharton,A. Wharton,M,5314,M,,1109771,"{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",44.052830188679,46.532075471698,53,away,20,,
Jefferson Lerma,jefferson-lerma,J. Lerma,M,5382,M,jeffersonlerma,355796,"{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",30.422058823529,72.508823529412,68,away,8,,
Nathaniel Clyne,nathaniel-clyne,N. Clyne,D,674,M,,43215,"{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",26.574358974359,31.530769230769,39,away,17,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,9259,M,Matetajphilippe,848276,"{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",58.065909090909,56.779545454545,44,away,14,,
Joachim Andersen,joachim-andersen,J. Andersen,D,2408,M,,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",29.6015625,54.1578125,64,away,5,,
