name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialWon,shotOffTarget,outfielderBlock,wasFouled,expectedGoals,blockedScoringAttempt,accurateCross,dispossessed,clearanceOffLine,keyPass,hitWoodwork,bigChanceMissed,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,bigChanceCreated,punches,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,goalAssist,goals
Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,11977,M,daniel.chitiva,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",28.0,16.0,2.0,,11.0,13.0,5.0,15.0,3.0,5.0,,,90.0,59.0,7.1,18.0,0.0280481,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,9.0,9.0,2.0,2.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
Adam Wharton,adam-wharton,A. Wharton,M,20,182,5314,M,,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",25.0,22.0,2.0,2.0,11.0,12.0,11.0,13.0,5.0,5.0,,,90.0,46.0,7.5,4.0,0.00639755,"{'original': 7.5, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,8.0,1.0,,,1.0,6.0,4.0,,,,,,2.0,0.0793,1.0,,1.0,,1.0,,,,,,,,,,,,
Will Hughes,will-hughes,W. Hughes,M,19,185,1013,M,,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",30.0,21.0,4.0,1.0,9.0,11.0,12.0,19.0,1.0,4.0,,,77.0,43.0,6.8,11.0,0.0865754,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,5.0,7.0,,,,1.0,4.0,1.0,1.0,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",36.0,28.0,3.0,,11.0,15.0,18.0,24.0,5.0,7.0,,,90.0,72.0,7.6,15.0,0.12782,"{'original': 7.6, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,,3.0,9.0,,3.0,2.0,,3.0,1.0,,,3.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,1.0,,1.0,,,,,1.0,
Michael Olise,michael-olise,M. Olise,M,17,185,65968,M,MOlise,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",34.0,27.0,,,14.0,16.0,13.0,18.0,,3.0,,,68.0,49.0,6.9,12.0,0.0864927,"{'original': 6.9, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,5.0,6.0,1.0,3.0,2.0,1.0,2.0,,1.0,,1.0,,,1.0,0.076,1.0,,3.0,,1.0,,,1.0,,0.0736,,,,,,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,Matetajphilippe,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",14.0,9.0,1.0,1.0,3.0,5.0,6.0,9.0,,3.0,,,89.0,32.0,6.0,13.0,0.0129157,"{'original': 6, 'alternative': 5.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,13.0,3.0,,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,1.2398,,,5.0,,1.0,,2.0,2.0,2.0,0.7717,,,,,,,
Eberechi Eze,eberechi-eze,E. Eze,F,10,178,55112,M,eze,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",28.0,22.0,3.0,3.0,8.0,8.0,17.0,23.0,,5.0,,,77.0,55.0,8.2,18.0,0.752215,"{'original': 8.2, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,2.0,9.0,4.0,2.0,7.0,3.0,,,,4.0,,,,1.0,1.0,0.5879,,3.0,1.0,,3.0,,,2.0,2.0,0.3247,1.0,,,,,,1.0
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",5.0,3.0,,,1.0,1.0,2.0,4.0,1.0,4.0,,,22.0,15.0,6.4,6.0,0.00101516,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,5.0,3.0,,4.0,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,
Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",4.0,2.0,1.0,,1.0,1.0,1.0,4.0,,1.0,,,13.0,8.0,6.4,4.0,0.00016339,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,joel-ward,J. Ward,D,,188,256,M,,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",1.0,,,,,1.0,,,2.0,,,,13.0,4.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,2.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Jaïro Riedewald,jairo-riedewald,J. Riedewald,M,44,186,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",2.0,,1.0,,,1.0,,1.0,2.0,,,,13.0,5.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,187,5777,M,,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",,,,,,,,,,,,,8.0,3.0,6.3,2.0,,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Remi Matthews,remi-matthews,R. Matthews,G,31,184,187,M,,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tomkins,james-tomkins,J. Tomkins,D,,192,104,M,,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ozoh,david-ozoh,D. Ozoh,M,18,183,301,M,,1212155,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1115337600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,naouirou-ahamada,N. Ahamada,M,28,183,422,M,,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
