name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,unsuccessfulTouch,sofascoreId,keyPass,wonContest,shotOffTarget,blockedScoringAttempt,expectedGoals,goalAssist,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,hitWoodwork,goals,expectedGoalsOnTarget,totalOffside,errorLeadToAShot
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,8771,M,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",16.0,11.0,1.0,1.0,,1.0,11.0,19.0,1.0,1.0,,,,,90.0,30.0,7.4,12.0,0.0343209,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,3.0,1.0,6.0,5.0,,,3.0,,,3.0,1.0,,1.0,,jarrodbowen,1.0,1.0,,,0.2557,,,,1.0,,1.0,0.655,,
Michail Antonio,michail-antonio,M. Antonio,F,,180,3351,M,47772,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,638582400,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أنطونيو', 'hi': 'माइकल एंटोनियो', 'bn': 'মাইকেল আন্তোনিও'}, 'shortNameTranslation': {'ar': 'م. أنطونيو', 'hi': 'एम. एंटोनियो', 'bn': 'এম. আন্তোনিও'}}",2.0,,,,,1.0,,1.0,,,,,,,11.0,4.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,3.0,,3.0,,,,,,,,,,,2.0,MichailAntonio,,,,,,,,,,,,,1.0,
Angelo Ogbonna,angelo-ogbonna,A. Ogbonna,D,,191,382,M,21164,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,580348800,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنجيلو أوغبونا', 'hi': 'एंजेलो ओगबोना', 'bn': 'অ্যাঞ্জেলো ওগবোন্না'}, 'shortNameTranslation': {'ar': 'أ. أوغبونا', 'hi': 'ए. ओगबोना', 'bn': 'এ. ওগবোন্না'}}",,,,,,,,,1.0,,,,,,1.0,1.0,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,784,M,43443,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,629683200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون كريسويل', 'hi': 'आरोन क्रेसवेल', 'bn': 'অ্যারন ক্রেসওয়েল'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'hi': 'ए. क्रेसवेल', 'bn': 'এ. ক্রেসওয়েল'}}",,,,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3815,M,15479,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,482630400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس فابيانسكي', 'hi': 'लुकाज़ फ़ेबियान्स्की', 'bn': 'লুকাস ফ্যাবিয়ানস্কি'}, 'shortNameTranslation': {'ar': 'ل. فابيانسكي', 'hi': 'एल. फ़ेबियान्स्की', 'bn': 'এল.ফ্যাবিয়ানস্কি'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,lukasz.fabianski,,,,,,,,,,,,,,
Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186,1859,M,281277,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,843264000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ثيلو كيرير', 'hi': 'थिलो केहरर', 'bn': 'থিলো কেহরের'}, 'shortNameTranslation': {'ar': 'ث. كيرير', 'hi': 'टी. केहरर', 'bn': 'টি. কেহরের'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Fornals,pablo-fornals,P. Fornals,M,8,178,2506,M,816763,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,824947200,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورناليس، بابلو', 'hi': 'फ़ोर्नल्स, पाब्लो', 'bn': 'ফরনালস, পাবলো'}, 'shortNameTranslation': {'ar': 'ب. فورناليس', 'hi': 'पी. फ़ोर्नल्स', 'bn': 'পি. ফরনালস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ings,danny-ings,D. Ings,F,9,178,1782,M,130181,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,711849600,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني إنغز', 'hi': 'डैनी इंग्स', 'bn': 'ড্যানি ইঙ্গস'}, 'shortNameTranslation': {'ar': 'د. إنغز', 'hi': 'डी. इंग्स', 'bn': 'ডি. ইংস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,12009,M,354808,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,808012800,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سعيد بن رحمة', 'hi': 'सईद बनराहमा', 'bn': 'সাঈদ, বেনরাহমা'}, 'shortNameTranslation': {'ar': 'س. بن رحمة', 'hi': 'एस. बनराहमा', 'bn': 'এস. বেনরাহমা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,said_benrahma11,,,,,,,,,,,,,,
