player_name,player_id,position,player_slug,team_name,team_id,team_slug,rating,type,appearances,statisticsType,goals,expectedGoals,assists,expectedAssists,goalsAssistsSum,topSpeed,penaltiesTaken,penaltyGoals,shotFromSetPiece,freeKickGoal,scoringFrequency,totalShots,shotsOnTarget,bigChancesMissed,bigChancesCreated,keyPasses,successfulDribbles,successfulDribblesPercentage,possessionLost,saves,goalsPrevented,goalsConceded,cleanSheet,yellowCards,accuratePasses,accuratePassesPercentage,accurateLongBalls,penaltyWon,clearances,tackles,minutesPlayed,numberOfSprints,interceptions,redCards,kilometersCovered,total_contribution,total_goals,contribution_percent
Gabriel Martinelli,922573,F,gabriel-martinelli,Arsenal,42,arsenal,7.5857142857143,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,4.0113,1.0,1.37111671,7.0,,,,,,63.666666666667,,7.0,,,12.0,13.0,44.827586206897,,,,,,,,,,,,,,,,,,7.0,23,30.434782608695656
Gelson Martins,364618,M,gelson-martins,Olympiacos FC,3245,olympiacos-fc,,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,0.0,,,,,,,,,17.0,,,,,11.0,47.826086956522,105.0,,,,,,,,,,,,,,,,,3.0,10,30.0
Randal Kolo Muani,871706,F,randal-kolo-muani,Tottenham Hotspur,33,tottenham-hotspur,,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,2.0,,5.0,,,,,,104.66666666667,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,17,29.411764705882355
Vitinha,902029,M,vitinha,Paris Saint-Germain,1644,paris-saint-germain,7.9875,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,,1.0,1.7137719,6.0,,1.0,1.0,,,143.8,26.0,11.0,,,,,,,,,,,,806.0,93.939393939394,41.0,,,,,,,,,6.0,21,28.57142857142857
Jens Petter Hauge,838805,F,jens-petter-hauge,Bodø/Glimt,656,bodoglimt,7.625,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,,0.0,1.5538896,4.0,,,,,,,,,,,20.0,26.0,59.090909090909,114.0,,,,,,,,,,,,,,,,,4.0,14,28.57142857142857
Lautaro Martínez,823984,F,lautaro-martinez,Inter,2697,inter,,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,4.2524,0.0,1.3931141,4.0,,,,,,101.0,21.0,10.0,6.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,4.0,15,26.666666666666668
Viktor Bjarki Dadason,1510135,F,viktor-bjarki-dadason,FC København,1284,fc-kobenhavn,,overall,6,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,2.3966,0.0,,,,,,,,103.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12,25.0
Mislav Oršić,88645,M,mislav-orsic,Pafos FC,171626,pafos-fc,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,2.0,1.51331202,4.0,,,,1.0,0.0,,,,,,16.0,,,,,,,,2.0,,,,,,,,,,,,2.0,8,25.0
Francisco Trincão,830431,F,francisco-trincao,Sporting CP,3001,sporting,7.4285714285714,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,2.332,0.0,,5.0,,,,1.0,0.0,145.25,16.0,,,,,13.0,59.090909090909,,,,,,,,,,,,,,,,,,4.0,17,23.52941176470588
Weston McKennie,881931,M,weston-mckennie,Juventus,2687,juventus,7.3125,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,0.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,24.0,,,,,,3.0,14,21.428571428571427
Charles De Ketelaere,960441,F,charles-de-ketelaere,Atalanta,2686,atalanta,7.4571428571429,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,2.0,2.3134212,4.0,,1.0,0.0,,,,,,,7.0,20.0,11.0,45.833333333333,103.0,,,,,,,,,,,,,,,,,2.0,10,20.0
Vangelis Pavlidis,795236,F,vangelis-pavlidis,Benfica,3006,benfica,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,3.4597,0.0,,4.0,,2.0,1.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,10,20.0
Hans Vanaken,118085,M,hans-vanaken,Club Brugge KV,2888,club-brugge-kv,7.5625,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,3.0,2.085031,5.0,,,,,,,,,,5.0,16.0,,,,,,,,2.0,426.0,86.585365853659,27.0,,,,,,,,,3.0,15,20.0
Nicolas Pépé,593526,F,nicolas-pepe,Villarreal,2819,villarreal,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,1.0,1.4040333,,,,,3.0,0.0,,19.0,,,,19.0,14.0,42.424242424242,,,,,,,,,,,,,,,,,,1.0,5,20.0
João Pedro,975079,F,joao-pedro,Chelsea,38,chelsea,,overall,6,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,0.0,,,33.12,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,17,17.647058823529413
Felix Nmecha,907463,M,nmecha-felix,Borussia Dortmund,2673,borussia-dortmund,7.3,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19,15.789473684210526
Temirlan Anarbekov,1005884,G,temirlan-anarbekov,Kairat Almaty,5172,kairat-almaty,8.1666666666667,overall,6,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,0.0,,,,,,,,,,,,,,,,,34.0,4.3883,13.0,1.0,,,,,,,,,,,,,0.0,7,0.0
Elye Wahi,979315,F,elye-wahi,Eintracht Frankfurt,2674,eintracht-frankfurt,,overall,3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,7.73936,0.0,10,0.0
