name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,totalTackle,wonTackle,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,unsuccessfulTouch,fouls,keyPass,aerialWon,totalContest,blockedScoringAttempt,expectedGoals,wonContest,onTargetScoringAttempt,expectedGoalsOnTarget,wasFouled,totalOffside,shotOffTarget,goalAssist,dispossessed,bigChanceCreated,outfielderBlock,accurateCross,goals,goodHighClaim,lastManTackle,bigChanceMissed
Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",24.0,6.0,21.0,3.0,4.0,7.0,2.0,17.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,90.0,28.0,6.9,18.0,0.00038488,"{'original': 6.9, 'alternative': 7.3}",0,0.1637,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,674,M,,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",32.0,28.0,2.0,,15.0,16.0,13.0,17.0,1.0,,5.0,1.0,,,,,90.0,39.0,6.8,6.0,0.00521923,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2408,M,,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",53.0,40.0,17.0,8.0,21.0,26.0,19.0,28.0,5.0,6.0,9.0,2.0,2.0,,,,90.0,68.0,7.4,18.0,0.0176782,"{'original': 7.4, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,2.0,4.0,1.0,,,,1.0,3.0,1.0,1.0,0.0622,,,,,,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",44.0,39.0,4.0,2.0,25.0,27.0,14.0,17.0,3.0,6.0,5.0,,,,,,90.0,54.0,7.2,5.0,0.0141529,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,4.0,1.0,,,1.0,1.0,2.0,1.0,,0.0303,1.0,1.0,0.0801,,,,,,,,,,,,
Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,11977,M,daniel.chitiva,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",48.0,36.0,1.0,1.0,14.0,16.0,22.0,33.0,11.0,2.0,8.0,9.0,5.0,,,,89.0,76.0,7.7,14.0,0.0543291,"{'original': 7.7, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,
Adam Wharton,,,adam-wharton,A. Wharton,M,20,182,5314,M,,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",44.0,31.0,3.0,,11.0,13.0,20.0,32.0,6.0,2.0,6.0,5.0,2.0,,,,83.0,67.0,7.1,15.0,0.022215,"{'original': 7.1, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,2.0,2.0,,2.0,,,,2.0,0.0671,,1.0,0.0236,1.0,,1.0,,,,,,,,,
Will Hughes,,,will-hughes,W. Hughes,M,19,185,1013,M,,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",49.0,41.0,3.0,1.0,19.0,22.0,22.0,27.0,6.0,,7.0,1.0,1.0,,,,90.0,70.0,8.2,9.0,0.204141,"{'original': 8.2, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,3.0,3.0,,,2.0,,1.0,,0.0291,1.0,,,4.0,,1.0,1.0,1.0,1.0,3.0,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",38.0,29.0,3.0,1.0,12.0,18.0,17.0,20.0,3.0,,4.0,1.0,1.0,,,,90.0,60.0,6.8,14.0,0.0222911,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,,,2.0,,1.0,1.0,,1.0,0.0382,,,,1.0,,,,2.0,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",37.0,32.0,,,11.0,12.0,21.0,26.0,7.0,,6.0,3.0,2.0,,,,73.0,54.0,7.5,11.0,0.0801349,"{'original': 7.5, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,10.0,,,,1.0,1.0,,6.0,,0.0349,2.0,1.0,0.0209,2.0,,1.0,1.0,1.0,1.0,,,,,,
Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55112,M,eze,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",38.0,31.0,3.0,1.0,11.0,12.0,25.0,36.0,7.0,,5.0,,,,,,83.0,78.0,7.5,25.0,0.294245,"{'original': 7.5, 'alternative': 7.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,,11.0,,,4.0,2.0,3.0,,9.0,2.0,0.2312,4.0,1.0,0.2434,3.0,3.0,2.0,,4.0,,,5.0,,,,
