name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,keyPass,aerialWon,challengeLost,unsuccessfulTouch,fouls,shotOffTarget,wasFouled,totalOffside,expectedGoals,wonContest,blockedScoringAttempt,dispossessed,firstName,lastName,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,errorLeadToAGoal,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot,lastManTackle
Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,4980,M,CalvertLewin14,372344,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858470400,"{'value': 16200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'hi': 'डोमिनिक कैल्वर्ट-लेविन', 'bn': 'ডমিনিক কালভার্ট-লেউইন'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'hi': 'डी. कैल्वर्ट-लेविन', 'bn': 'ডি. কালভার্ট-লেউইন'}}",11.0,4.0,1.0,,1.0,2.0,3.0,9.0,5.0,,,84.0,28.0,7.8,8.0,0.00939329,"{'original': 7.8, 'alternative': 7.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,9.0,12.0,3.0,1.0,,1.0,1.0,,1.0,5.0,1.0,,1.0,1.0,5.0,3.0,0.5421,2.0,,,,,1.0,3.0,1.0,0.2518,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,2.0,,,13.0,7.0,6.6,1.0,0.0217693,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,1.0,,,,,,,,,,,0.0458,,1.0,,,,,,,,,,,,,
Beto,beto,Beto,F,9,194,3261,M,,987489,"{'alpha2': 'GW', 'alpha3': 'GNB', 'name': 'Guinea-Bissau', 'slug': 'guinea-bissau'}",EUR,886204800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتو', 'hi': 'बेटो', 'bn': 'বেটো'}, 'shortNameTranslation': {'ar': 'بيتو', 'hi': 'बेटो', 'bn': 'বেটো'}}",1.0,,,,,,,1.0,,,,13.0,8.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,3.0,1.0,2.0,,,,,,2.0,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,
Andy Lonergan,andy-lonergan,A. Lonergan,G,,192,87,M,,10343,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,435369600,,"{'nameTranslation': {'ar': 'آندي لونيرجان', 'hi': 'एंडी लोनेरगन', 'bn': 'অ্যান্ডি লোনারগান'}, 'shortNameTranslation': {'ar': 'آ. لونيرجان', 'hi': 'ए. लोनेरगन', 'bn': 'এ. লোনারগান'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Virgínia,joao-virginia,J. Virgínia,G,12,191,814,M,,930666,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,939513600,"{'value': 730000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو فيرجينيا', 'hi': 'जोआओ विरजीनिया', 'bn': 'জন ভার্জিনিয়া'}, 'shortNameTranslation': {'ar': 'ج. فيرجينيا', 'hi': 'जे. विरजीनिया', 'bn': 'জে. ভার্জিনিয়া'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,João,Virgínia,,,,,,,,,,
Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,576,M,,1020141,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1003190400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باترسون، ناثان', 'hi': 'पैटरसन, नाथन', 'bn': 'প্যাটারসন, নাথান'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'hi': 'एन. पैटरसन', 'bn': 'এন. প্যাটারসন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,Nathan,Patterson,,,,,,,,,,
Michael Keane,michael-keane,M. Keane,D,5,188,1521,M,,110846,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,726710400,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل كين', 'hi': 'माइकल कीन', 'bn': 'মাইকেল কিন'}, 'shortNameTranslation': {'ar': 'م. كين', 'hi': 'एम. कीन', 'bn': 'এম. কিন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Warrington,lewis-warrington,L. Warrington,M,28,182,60,M,,1113799,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 250000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس وارنغتون', 'hi': 'लुईस वॉरिंगटन', 'bn': 'লুইস ওয়ারিংটন'}, 'shortNameTranslation': {'ar': 'ل. وارنغتون', 'hi': 'एल. वारिंगटन', 'bn': 'এল. ওয়ারিংটন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Chermiti,youssef-chermiti,Y. Chermiti,F,9,192,1566,M,,1145627,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1085356800,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوسف شرميطي', 'hi': 'यूसुफ़ चेरमीटी', 'bn': 'ইউসুফ চেরমিতি'}, 'shortNameTranslation': {'ar': 'ي. شرميطي', 'hi': 'वाई. चेरमीटी', 'bn': 'ওয়াই. চেরমিতি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
