name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,duelLost,duelWon,dispossessed,bigChanceCreated,totalTackle,unsuccessfulTouch,wasFouled,possessionLostCtrl,keyPass,aerialLost,aerialWon,outfielderBlock,fouls,totalContest,wonContest,interceptionWon,challengeLost,wonTackle,shotOffTarget,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,hitWoodwork,goodHighClaim,blockedScoringAttempt,errorLeadToAGoal,totalOffside
Nick Pope,,,nick-pope,N. Pope,G,1,198,4568,M,npope29,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",21.0,21.0,2.0,2.0,20.0,20.0,1.0,1.0,2.0,7.0,1.0,3.0,1.0,1.0,1.0,90.0,32.0,7.5,6.983e-05,"{'original': 7.5, 'alternative': 7.6}",0,0.9957,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",83.0,70.0,6.0,4.0,35.0,38.0,39.0,54.0,,6.0,,,,,,69.0,112.0,7.7,0.484023,"{'original': 7.7, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,9.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,
Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,6,188,970,M,,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",95.0,85.0,5.0,2.0,59.0,64.0,26.0,31.0,4.0,8.0,,,,,,90.0,105.0,7.4,0.00782376,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,7.0,6.0,1.0,,,,,11.0,,3.0,6.0,3.0,3.0,,,,,,,,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",84.0,77.0,15.0,10.0,53.0,57.0,24.0,27.0,1.0,6.0,,,,,,90.0,92.0,7.6,0.0798518,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,,,,1.0,,8.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
Dan Burn,,,dan-burn,D. Burn,D,33,201,4399,M,,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",49.0,41.0,2.0,,24.0,27.0,17.0,22.0,2.0,4.0,,,,,,90.0,62.0,7.1,0.0151631,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,4.0,,,3.0,1.0,,10.0,,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,
Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1640,M,,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",46.0,35.0,3.0,3.0,13.0,14.0,22.0,33.0,1.0,6.0,,,,,,90.0,64.0,7.5,0.0114106,"{'original': 7.5, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,5.0,5.0,4.0,,,2.0,3.0,18.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.5694,0.8253,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",49.0,43.0,6.0,3.0,22.0,23.0,21.0,28.0,,6.0,,,,,,69.0,60.0,7.1,0.0140264,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,,2.0,7.0,,,1.0,,2.0,8.0,,1.0,1.0,,,3.0,3.0,,1.0,1.0,,1.0,,0.1269,0.2341,1.0,,,,,
Joelinton,,,joelinton,Joelinton,M,7,186,9814,M,joelinton34,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",22.0,17.0,2.0,2.0,9.0,9.0,8.0,13.0,,1.0,,,,,,80.0,35.0,6.6,0.00566914,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,7.0,4.0,1.0,,2.0,3.0,1.0,11.0,,3.0,1.0,,,2.0,,1.0,1.0,2.0,,,,,,,,,,,
Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3550,M,,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",35.0,26.0,2.0,1.0,6.0,8.0,21.0,32.0,2.0,5.0,,,,,,90.0,56.0,9.0,0.36615,"{'original': 9, 'alternative': 8.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,1.0,4.0,2.0,3.0,2.0,,2.0,1.0,19.0,2.0,,,,,2.0,1.0,,,,,2.0,1.0,0.0498,0.5191,,,,,,
Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3183,M,,113956,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,699148800,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم ويلسون', 'hi': 'कैलम विल्सन', 'bn': 'ক্যালাম উইলসন'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'hi': 'सी. विल्सन', 'bn': 'সি. উইলসন'}}",6.0,6.0,1.0,1.0,2.0,2.0,4.0,5.0,,1.0,,,,,,70.0,18.0,6.9,0.0110834,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,6.0,5.0,2.0,,,4.0,2.0,7.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.736,0.6616,1.0,,,,,
