name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,totalContest,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,possessionLostCtrl,aerialWon,challengeLost,wonTackle,errorLeadToAGoal,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,keyPass,sofascoreId,accurateCross,dispossessed,wonContest,goals,outfielderBlock,totalOffside,bigChanceCreated,firstName,lastName,bigChanceMissed,hitWoodwork,goalAssist
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",25.0,25.0,2.0,2.0,24.0,24.0,1.0,1.0,1.0,7.0,1.0,2.0,4.0,90.0,37.0,6.8,0.0,0.0,0.00039816,"{'original': 6.8, 'alternative': 6.4}",0,-0.0591,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Milner,james-milner,J. Milner,M,20,175,3314,M,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",52.0,46.0,4.0,3.0,11.0,11.0,35.0,46.0,3.0,3.0,,,,72.0,78.0,6.5,0.0,0.0,0.105868,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",113.0,100.0,7.0,5.0,35.0,41.0,65.0,72.0,3.0,10.0,,,,90.0,118.0,6.2,0.0,0.0,0.0543207,"{'original': 6.2, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,4.0,,1.0,1.0,,,,13.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",128.0,118.0,7.0,6.0,45.0,47.0,73.0,82.0,3.0,10.0,,,,90.0,142.0,7.5,0.1194,0.0894,0.0723211,"{'original': 7.5, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,4.0,7.0,,,2.0,1.0,,1.0,13.0,5.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14340,M,805465,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,885340800,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرفيس إستوبينيان', 'hi': 'परविस एस्टुपिनान', 'bn': 'পারভিস এস্তুপিনান'}, 'shortNameTranslation': {'ar': 'ب. إستوبينيان', 'hi': 'पी. एस्टुपिनान', 'bn': 'পি. এস্তুপিনান'}}",69.0,61.0,3.0,2.0,12.0,14.0,51.0,63.0,,10.0,,,,90.0,91.0,7.0,0.0,0.0,0.168943,"{'original': 7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,4.0,7.0,2.0,3.0,2.0,,3.0,1.0,,21.0,,,,,,,,2.0,pervisestupinan,2.0,1.0,1.0,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",109.0,97.0,8.0,6.0,23.0,23.0,78.0,98.0,,5.0,,,,90.0,133.0,9.2,0.1703,0.5778,0.394227,"{'original': 9.2, 'alternative': 8.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,,1.0,2.0,1.0,,1.0,,,,20.0,,1.0,1.0,,,4.0,1.0,6.0,pascalgross65,4.0,,1.0,1.0,,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",64.0,61.0,4.0,3.0,15.0,15.0,47.0,51.0,1.0,,,,,60.0,73.0,7.2,0.1963,0.0,0.293693,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,3.0,4.0,1.0,,,,,1.0,,4.0,,1.0,,,1.0,,1.0,2.0,billygilmour,1.0,,,,1.0,,,,,,,
Solly March,solly-march,S. March,M,7,180,1260,M,301288,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,774662400,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سولي مارتش', 'hi': 'सोली मार्च', 'bn': 'সলি মার্চ'}, 'shortNameTranslation': {'ar': 'س. مارتش', 'hi': 'एस. मार्च', 'bn': 'এস. মার্চ'}}",40.0,35.0,,,6.0,7.0,30.0,36.0,,6.0,,,,72.0,56.0,6.7,0.1498,0.0,0.0973371,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,5.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,11.0,1.0,1.0,,,,,2.0,2.0,,1.0,,1.0,,,1.0,,,,,,
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",21.0,18.0,1.0,,1.0,2.0,17.0,19.0,,,,,,60.0,29.0,6.7,0.0384,0.0,0.186677,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,5.0,5.0,1.0,,1.0,,2.0,,5.0,2.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",37.0,32.0,,,2.0,3.0,31.0,40.0,,2.0,,,,90.0,55.0,7.6,0.0566,0.0,0.379933,"{'original': 7.6, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,,4.0,4.0,4.0,,,2.0,1.0,2.0,15.0,,,,,2.0,,,2.0,KaoruM,1.0,1.0,3.0,,,,1.0,,,,,
