name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,totalContest,wonContest,outfielderBlock,totalTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,keyPass,aerialLost,aerialWon,bigChanceMissed,shotOffTarget,totalClearance,wonTackle,errorLeadToAShot,expectedGoals,firstName,lastName,challengeLost,interceptionWon,penaltyWon,dispossessed,blockedScoringAttempt,errorLeadToAGoal,goalAssist,onTargetScoringAttempt,expectedGoalsOnTarget,accurateCross,bigChanceCreated,goals,hitWoodwork,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,punches,penaltyConceded
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",30.0,26.0,6.0,2.0,26.0,28.0,2.0,9.0,2.0,90.0,41.0,6.3,4.0,6.937e-05,"{'original': 6.3, 'alternative': 6}",0,-0.9186,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",37.0,33.0,1.0,,14.0,15.0,23.0,3.0,,75.0,52.0,6.8,6.0,0.0489342,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,19.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",54.0,43.0,6.0,1.0,30.0,36.0,18.0,6.0,,75.0,64.0,6.6,11.0,0.0212018,"{'original': 6.6, 'alternative': 6.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,,1.0,6.0,,,1.0,2.0,,,,,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,0.1677,,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",67.0,61.0,7.0,4.0,48.0,50.0,17.0,5.0,,90.0,74.0,6.7,7.0,0.00608654,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,,,2.0,,,2.0,,1.0,,,,,,2.0,,1.0,2.0,,,0.0468,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",45.0,35.0,5.0,1.0,14.0,17.0,29.0,7.0,,90.0,63.0,6.8,13.0,0.0189613,"{'original': 6.8, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,21.0,1.0,6.0,5.0,1.0,,1.0,2.0,1.0,3.0,1.0,,1.0,,,,1.0,2.0,1.0,,0.0514,,,4.0,1.0,1.0,,,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",48.0,43.0,3.0,3.0,24.0,26.0,22.0,4.0,,71.0,63.0,6.1,9.0,0.0408182,"{'original': 6.1, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,19.0,,4.0,1.0,1.0,,2.0,1.0,2.0,,,,1.0,2.0,,,,1.0,,,0.047,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",82.0,71.0,9.0,7.0,35.0,39.0,43.0,9.0,,90.0,90.0,7.3,14.0,0.0646588,"{'original': 7.3, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,36.0,,2.0,1.0,,,,,1.0,,1.0,1.0,3.0,,1.0,,,,,,0.1798,,,1.0,,,,1.0,,1.0,1.0,0.1746,,,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",42.0,31.0,4.0,2.0,8.0,8.0,40.0,2.0,,90.0,75.0,10.0,21.0,0.421977,"{'original': 10, 'alternative': 10}",9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,26.0,6.0,3.0,5.0,2.0,1.0,,1.0,3.0,3.0,1.0,,8.0,,,,,,1.0,,1.8445,,,,2.0,,1.0,4.0,,,5.0,2.2074,3.0,1.0,3.0,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",33.0,27.0,2.0,1.0,12.0,12.0,22.0,6.0,,89.0,56.0,7.5,13.0,0.0845656,"{'original': 7.5, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,15.0,1.0,5.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,2.0,,1.0,,0.3874,,,1.0,2.0,,3.0,1.0,,,1.0,0.0291,,1.0,1.0,1.0,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",21.0,18.0,2.0,2.0,10.0,11.0,15.0,2.0,,71.0,38.0,6.7,11.0,0.065433,"{'original': 6.7, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,5.0,6.0,2.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,,,1.0,,,,0.1427,,,1.0,1.0,,2.0,1.0,,,1.0,0.1437,1.0,,,,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",27.0,23.0,1.0,,9.0,10.0,17.0,4.0,,90.0,36.0,7.0,7.0,0.133299,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,14.0,,5.0,3.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,3.0,,,,,1.0,,0.0592,Nicolas Jackson,,1.0,,,,,,,1.0,0.0221,,,,,,,,,
