minute,value
1.0,3
2.0,7
3.0,11
4.0,18
5.0,31
6.0,16
7.0,-14
8.0,22
9.0,-33
10.0,-19
11.0,-2
12.0,-25
13.0,-25
14.0,-8
15.0,8
16.0,54
17.0,13
18.0,9
19.0,15
20.0,38
21.0,17
22.0,12
23.0,12
24.0,27
25.0,52
26.0,25
27.0,14
28.0,7
29.0,30
30.0,5
31.0,-20
32.0,-12
33.0,-6
34.0,-82
35.0,-55
36.0,-62
37.0,-84
38.0,-49
39.0,-8
40.0,-2
41.0,25
42.0,15
43.0,-45
44.0,-19
45.0,-8
45.5,41
46.0,1
47.0,-5
48.0,-2
49.0,1
50.0,1
51.0,2
52.0,-53
53.0,-26
54.0,17
55.0,32
56.0,30
57.0,28
58.0,22
59.0,-41
60.0,48
61.0,19
62.0,32
63.0,23
64.0,20
65.0,19
66.0,14
67.0,-31
68.0,-12
69.0,-5
70.0,-1
71.0,-25
72.0,-10
73.0,14
74.0,8
75.0,8
76.0,10
77.0,9
78.0,100
79.0,100
80.0,86
81.0,84
82.0,53
83.0,26
84.0,14
85.0,11
86.0,8
87.0,57
88.0,75
89.0,40
90.0,19
90.5,47
