name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,penaltyConceded,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,challengeLost,dispossessed,totalContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,totalCross,wonContest,keyPass,firstName,lastName,accurateCross,totalOffside,goals,sofascoreId,savedShotsFromInsideTheBox,saves,outfielderBlock,goalAssist,bigChanceMissed,bigChanceCreated
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,1056,M,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",12.0,6.0,1.0,1.0,3.0,3.0,3.0,10.0,2.0,,,,,90.0,39.0,6.5,18.0,0.00411787,"{'original': 6.5, 'alternative': 6.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,10.0,4.0,1.0,1.0,3.0,,,1.0,0.3263,0.1806,1.0,3.0,4.0,2.0,,,,3.0,1.0,1.0,,,,,1.0,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",16.0,15.0,,,,,15.0,18.0,2.0,,,,,37.0,28.0,7.0,7.0,0.240526,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,5.0,2.0,,,,,,1.0,0.0159,,1.0,3.0,2.0,1.0,,,,1.0,2.0,2.0,3.0,,,,,,,,,,,,
Andros Townsend,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",20.0,16.0,1.0,,4.0,4.0,13.0,24.0,,,,,,22.0,34.0,6.4,16.0,0.0193679,"{'original': 6.4, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,4.0,,1.0,,,,,,0.0267,0.2436,,3.0,1.0,,,,,1.0,8.0,,,,,1.0,,,,,,,,,
Luke Berry,luke-berry,L. Berry,M,8,177,67,M,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",7.0,6.0,,,3.0,3.0,3.0,4.0,,,,,,13.0,9.0,6.6,2.0,0.024868,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,,1.0,,,,,0.2265,,,,,,,,,1.0,,,,,,,,,,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",4.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,13.0,4.0,6.5,1.0,0.00338861,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Krul,tim-krul,T. Krul,G,,193,426,M,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issa_kabore_29,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Brown,jacob-brown,J. Brown,F,19,178,152,M,858911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,892166400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
