name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,penaltyConceded,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,challengeLost,dispossessed,totalContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,totalCross,wonContest,keyPass,firstName,lastName,accurateCross,totalOffside,goals,sofascoreId,savedShotsFromInsideTheBox,saves,outfielderBlock,goalAssist,bigChanceMissed,bigChanceCreated
Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",31.0,6.0,30.0,5.0,1.0,2.0,5.0,29.0,8.0,1.0,1.0,,,90.0,36.0,7.0,25.0,0.00106919,"{'original': 7, 'alternative': 6.9}",0,1.1156,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",19.0,7.0,7.0,1.0,2.0,5.0,5.0,15.0,5.0,,,,,90.0,46.0,7.2,15.0,0.0219683,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,3.0,7.0,,,8.0,,1.0,1.0,,,1.0,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,
Mason Holgate,mason-holgate,M. Holgate,D,27,187,409,M,781544,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,845942400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايسون هولجيت', 'hi': 'मेसन होल्गेट', 'bn': 'মেসন হোলগেট'}, 'shortNameTranslation': {'ar': 'م. هولجيت', 'hi': 'एम. होल्गेट', 'bn': 'এম. হলগেট'}}",10.0,4.0,3.0,,3.0,6.0,1.0,6.0,3.0,,,,,90.0,39.0,6.7,17.0,0.00228957,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,8.0,3.0,,,6.0,,,2.0,,,2.0,,1.0,,2.0,1.0,,,2.0,1.0,,,,,,,,,,2.0,,,
Anel Ahmedhodžić,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",11.0,10.0,2.0,2.0,6.0,7.0,4.0,4.0,1.0,,,,,90.0,25.0,7.1,1.0,0.00167658,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,3.0,,5.0,,,11.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
Jack Robinson,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",15.0,9.0,4.0,,7.0,9.0,2.0,6.0,4.0,,,,,90.0,34.0,6.9,14.0,0.00118661,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,2.0,3.0,5.0,,,4.0,,1.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,1.0,,,
Rhys Norrington-Davies,rhys-norrington-davies,R. Norrington-Davies,D,18,181,103,M,911708,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,924739200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رايس نورينغتون-دافيز', 'hi': 'राइज़ नोरिंग्टन-डेविस', 'bn': 'রিস নরিংটন-ডেভিস'}, 'shortNameTranslation': {'ar': 'ر. نورينغتون-دافيز', 'hi': 'आर. नोरिंग्टन-डेविस', 'bn': 'আর. নরিংটন-ডেভিস'}}",,,,,,,,,,,,,,5.0,1.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
James McAtee,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",10.0,7.0,,,3.0,4.0,4.0,7.0,3.0,,,,,81.0,26.0,6.4,13.0,0.00433558,"{'original': 6.4, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,11.0,2.0,1.0,,1.0,,,1.0,0.8249,0.9965,1.0,5.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,jamesmcatee_,,,,,,
Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",25.0,18.0,6.0,2.0,9.0,11.0,9.0,14.0,8.0,,,,,90.0,47.0,7.8,8.0,0.00391496,"{'original': 7.8, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,8.0,3.0,15.0,1.0,1.0,7.0,1.0,1.0,2.0,0.2045,0.5052,1.0,1.0,1.0,,,6.0,4.0,,,1.0,,,,,,1.0,,,,1.0,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",7.0,4.0,3.0,1.0,2.0,2.0,3.0,7.0,3.0,,,,,60.0,14.0,6.6,5.0,0.0658074,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,2.0,,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,,,,
Ben Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",20.0,17.0,2.0,1.0,5.0,6.0,12.0,14.0,4.0,,,,,90.0,26.0,7.2,3.0,0.0549293,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,4.0,,,,,1.0,1.0,,,,,,,,3.0,1.0,,,,1.0,Ben,Osborn,,,,,,,,1.0,,
Cameron Archer,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",10.0,8.0,,,2.0,2.0,6.0,8.0,3.0,,,,,81.0,26.0,6.7,8.0,0.0177615,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,6.0,1.0,1.0,,2.0,,,,0.7692,0.9845,1.0,2.0,2.0,1.0,,,,3.0,,1.0,,,,,,1.0,,,,,,1.0,
Max Lowe,max-lowe,M. Lowe,D,3,175,114,M,355154,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,863308800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس لوي', 'hi': 'मैक्स लोवे', 'bn': 'ম্যাক্স লোয়ে'}, 'shortNameTranslation': {'ar': 'م. لوي', 'hi': 'एम. लोवे', 'bn': 'এম. লোয়ে'}}",21.0,12.0,4.0,2.0,6.0,8.0,6.0,14.0,,,,,,85.0,29.0,6.7,10.0,0.0174987,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,1.0,4.0,4.0,,,2.0,,,1.0,,,,,,,,3.0,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0
Tom Davies,tom-davies,T. Davies,M,22,179,345,M,795058,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899164800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم ديفيس', 'hi': 'टॉम डेविस', 'bn': 'টম ডেভিস'}, 'shortNameTranslation': {'ar': 'ت. ديفيس', 'hi': 'टी. डेविस', 'bn': 'টি. ডেভিস'}}",6.0,4.0,,,2.0,4.0,2.0,4.0,3.0,,,,,30.0,17.0,6.4,7.0,0.00174242,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,6.0,3.0,,,2.0,,,,,,1.0,1.0,2.0,,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",5.0,4.0,1.0,,1.0,1.0,3.0,4.0,2.0,,,,,9.0,6.0,6.3,2.0,0.00094191,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
Rhian Brewster,rhian-brewster,R. Brewster,F,10,180,873,M,878705,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,954547200,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان بروستر', 'hi': 'रियान ब्रूस्टर', 'bn': 'রায়ান ব্রুস্টার'}, 'shortNameTranslation': {'ar': 'ر. بروستر', 'hi': 'आर. ब्रूस्टर', 'bn': 'আর. ব্রুস্টার'}}",2.0,,,,,1.0,,3.0,1.0,,,,,9.0,8.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,5.0,2.0,,,,,,2.0,0.0103,,,2.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,
Jordan Amissah,jordan-amissah,J. Amissah,G,21,198,223,M,1388341,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,996710400,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان اميسا', 'hi': 'जॉर्डन अमिसाह', 'bn': 'জর্ডান আমিসাহ'}, 'shortNameTranslation': {'ar': 'ج. اميسا', 'hi': 'जे. अमिसाह', 'bn': 'জে. আমিসাহ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasser Larouci,larouci-yasser,Y. Larouci,D,76,175,3783,M,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,Yasser,Larouci,,,,larouci.yasseroff,,,,,,
Auston Trusty,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Brooks,andre-brooks,A. Brooks,M,11,180,187,M,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Osula,osula-william,W. Osula,F,18,191,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
