name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,aerialWon,duelWon,blockedScoringAttempt,clearanceOffLine,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,keyPass,aerialLost,duelLost,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,expectedGoalsOnTarget,challengeLost,goals,dispossessed,totalContest,wonContest,goalAssist,accurateCross,firstName,bigChanceCreated,bigChanceMissed,shotOffTarget,lastName,totalOffside
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",9.0,7.0,1.0,1.0,4.0,6.0,3.0,3.0,1.0,,,,,,,75.0,14.0,6.8,2.0,0.00352382,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,EvanFerguson9,,,3.0,,,,1.0,,,0.0198,1.0,1.0,2.0,1.0,,1.0,,0.1178,1.0,,,1.0,1.0,,,,,,,,
Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14340,M,805465,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,885340800,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرفيس إستوبينيان', 'hi': 'परविस एस्टुपिनान', 'bn': 'পারভিস এস্তুপিনান'}, 'shortNameTranslation': {'ar': 'ب. إستوبينيان', 'hi': 'पी. एस्टुपिनान', 'bn': 'পি. এস্তুপিনান'}}",14.0,12.0,,,3.0,3.0,10.0,14.0,,2.0,,,,,,30.0,21.0,6.6,5.0,0.22335,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,pervisestupinan,3.0,,3.0,,,,2.0,1.0,,,2.0,,4.0,,,,1.0,,2.0,,,2.0,1.0,,1.0,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",28.0,26.0,2.0,1.0,12.0,13.0,14.0,15.0,2.0,3.0,,,,,,29.0,35.0,6.8,3.0,0.0114857,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,3.0,,,1.0,1.0,1.0,1.0,,,1.0,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
Ansu Fati,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",13.0,10.0,,,4.0,5.0,6.0,8.0,,3.0,,,,,,29.0,22.0,6.8,4.0,0.00396288,"{'original': 6.8, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,AnsuFati,,,2.0,2.0,,,,,,0.2456,,,2.0,1.0,1.0,,,0.2853,1.0,,1.0,2.0,2.0,,,,,,,,
Julio Enciso,julio-enciso,J. Enciso,M,10,173,11901,M,973556,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,1074816000,"{'value': 18900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'خوليو إنسيسو', 'hi': 'जूलियो एनकिसो', 'bn': 'জুলিও এনসিসো'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'hi': 'जे. एनकिसो', 'bn': 'জে. এনসিসো'}}",9.0,3.0,,,1.0,1.0,2.0,9.0,,,,,,,,18.0,14.0,6.6,9.0,0.0068811,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,julioenciso.33,1.0,,,1.0,,,,,1.0,0.1055,1.0,,3.0,1.0,,,1.0,0.3715,1.0,,1.0,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",9.0,9.0,,,3.0,3.0,6.0,6.0,,1.0,,,,,,15.0,13.0,6.7,1.0,0.0132044,"{'original': 6.7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,3.0,,,,2.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Moder,jakub-moder,J. Moder,M,7,191,7259,M,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,kubamoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,carlos_baleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
