minute,value
1.0,-8
2.0,-17
3.0,-22
4.0,14
5.0,-14
6.0,-2
7.0,6
8.0,1
9.0,6
10.0,1
11.0,-36
12.0,-6
13.0,-10
14.0,-3
15.0,-1
16.0,35
17.0,28
18.0,22
19.0,9
20.0,7
21.0,-11
22.0,-1
23.0,8
24.0,10
25.0,26
26.0,47
27.0,37
28.0,35
29.0,56
30.0,23
31.0,57
32.0,64
33.0,39
34.0,28
35.0,25
36.0,43
37.0,41
38.0,68
39.0,40
40.0,23
41.0,11
42.0,-26
43.0,-1
44.0,7
45.0,-28
45.5,-11
46.0,4
47.0,11
48.0,17
49.0,19
50.0,66
51.0,42
52.0,67
53.0,42
54.0,27
55.0,14
56.0,35
57.0,10
58.0,3
59.0,11
60.0,49
61.0,37
62.0,58
63.0,43
64.0,-55
65.0,-18
66.0,-32
67.0,-19
68.0,-50
69.0,-35
70.0,-18
71.0,37
72.0,50
73.0,59
74.0,52
75.0,68
76.0,41
77.0,37
78.0,22
79.0,23
80.0,49
81.0,33
82.0,16
83.0,13
84.0,10
85.0,20
86.0,19
87.0,13
88.0,22
89.0,20
90.0,20
90.5,142
